address;source_location;insn;indent
0x62670e0;:0;PUSH	%RBP;
0x6267253;:0;JE	62672c3 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime3RunERKNS_22FunctionLibraryRuntime7OptionsEmN4absl12lts_202308024SpanIKNS_6TensorEEEPSt6vectorIS8_SaIS8_EESt8functionIFvRKNS6_6StatusEEE+0x1e3>;
0x6267255;:0;MOV	%R13,%RAX;
0x6267258;:0;XOR	%EDX,%EDX;
0x626725a;:0;DIV	%RDI;
0x626725d;:0;MOV	%RDX,%RCX;
0x6267260;:0;JMP	62672cc <_ZNK10tensorflow29ProcessFunctionLibraryRuntime3RunERKNS_22FunctionLibraryRuntime7OptionsEmN4absl12lts_202308024SpanIKNS_6TensorEEEPSt6vectorIS8_SaIS8_EESt8functionIFvRKNS6_6StatusEEE+0x1ec>;
0x6267262;:0;LEA	-0x130(%RBP),%RDI;
0x6267269;:0;LEA	-0x108(%RBP),%RDX;
0x6267270;:0;LEA	-0x140(%RBP),%RCX;
0x6267277;:0;MOV	%RBX,%RSI;
0x626727a;:0;CALL	763d950 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime16CreateRendezvousERNS_22FunctionLibraryRuntime7OptionsEPN3tsl4core11RefCountPtrINS_10RendezvousEEE@plt>;
0x626727f;:0;CMPQ	$0,-0x130(%RBP);
0x6267287;:0;JE	62677a9 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime3RunERKNS_22FunctionLibraryRuntime7OptionsEmN4absl12lts_202308024SpanIKNS_6TensorEEEPSt6vectorIS8_SaIS8_EESt8functionIFvRKNS6_6StatusEEE+0x6c9>;
0x626728d;:0;CMPQ	$0,0x10(%R12);
0x6267293;:0;JE	6267876 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime3RunERKNS_22FunctionLibraryRuntime7OptionsEmN4absl12lts_202308024SpanIKNS_6TensorEEEPSt6vectorIS8_SaIS8_EESt8functionIFvRKNS6_6StatusEEE+0x796>;
0x6267299;:0;LEA	-0x130(%RBP),%RSI;
0x62672a0;:0;MOV	%R12,%RDI;
0x62672a3;:0;CALLQ	0x18(%R12);
0x62672a8;:0;MOV	-0x130(%RBP),%RDI;
0x62672af;:0;TEST	$0x1,%DIL;
0x62672b3;:0;JE	62676be <_ZNK10tensorflow29ProcessFunctionLibraryRuntime3RunERKNS_22FunctionLibraryRuntime7OptionsEmN4absl12lts_202308024SpanIKNS_6TensorEEEPSt6vectorIS8_SaIS8_EESt8functionIFvRKNS6_6StatusEEE+0x5de>;
0x62672b9;:0;CALL	7632530 <_ZN4absl12lts_202308026Status15UnrefNonInlinedEm@plt>;
0x62672be;:0;JMP	62676be <_ZNK10tensorflow29ProcessFunctionLibraryRuntime3RunERKNS_22FunctionLibraryRuntime7OptionsEmN4absl12lts_202308024SpanIKNS_6TensorEEEPSt6vectorIS8_SaIS8_EESt8functionIFvRKNS6_6StatusEEE+0x5de>;
0x62672c3;:0;MOV	%R13D,%EAX;
0x62672c6;:0;XOR	%EDX,%EDX;
0x62672c8;:0;DIV	%EDI;
0x62672ca;:0;MOV	%EDX,%ECX;
0x62672cc;:0;MOV	0x1d8(%RBX),%RAX;
0x62672d3;:0;MOV	(%RAX,%RCX,8),%RAX;
0x62672d7;:0;TEST	%RAX,%RAX;
0x62672da;:0;JE	6267428 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime3RunERKNS_22FunctionLibraryRuntime7OptionsEmN4absl12lts_202308024SpanIKNS_6TensorEEEPSt6vectorIS8_SaIS8_EESt8functionIFvRKNS6_6StatusEEE+0x348>;
0x62672e0;:0;MOV	(%RAX),%R8;
0x62672e3;:0;CMP	%R13,0x8(%R8);
0x62672e7;:0;JE	6267334 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime3RunERKNS_22FunctionLibraryRuntime7OptionsEmN4absl12lts_202308024SpanIKNS_6TensorEEEPSt6vectorIS8_SaIS8_EESt8functionIFvRKNS6_6StatusEEE+0x254>;
0x62672e9;:0;NOPL	(%RAX);
0x62672f0;:0;MOV	(%R8),%R8;(5448) 
0x62672f3;:0;TEST	%R8,%R8;(5448) 
0x62672f6;:0;JE	6267428 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime3RunERKNS_22FunctionLibraryRuntime7OptionsEmN4absl12lts_202308024SpanIKNS_6TensorEEEPSt6vectorIS8_SaIS8_EESt8functionIFvRKNS6_6StatusEEE+0x348>;(5448) 
0x62672fc;:0;MOV	0x8(%R8),%RSI;(5448) 
0x6267300;:0;MOV	%RSI,%RAX;(5448) 
0x6267303;:0;OR	%RDI,%RAX;(5448) 
0x6267306;:0;SHR	$0x20,%RAX;(5448) 
0x626730a;:0;JE	6267320 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime3RunERKNS_22FunctionLibraryRuntime7OptionsEmN4absl12lts_202308024SpanIKNS_6TensorEEEPSt6vectorIS8_SaIS8_EESt8functionIFvRKNS6_6StatusEEE+0x240>;(5448) 
0x626730c;:0;MOV	%RSI,%RAX;(5448) 
0x626730f;:0;XOR	%EDX,%EDX;(5448) 
0x6267311;:0;DIV	%RDI;(5448) 
0x6267314;:0;CMP	%RCX,%RDX;(5448) 
0x6267317;:0;JE	626732f <_ZNK10tensorflow29ProcessFunctionLibraryRuntime3RunERKNS_22FunctionLibraryRuntime7OptionsEmN4absl12lts_202308024SpanIKNS_6TensorEEEPSt6vectorIS8_SaIS8_EESt8functionIFvRKNS6_6StatusEEE+0x24f>;(5448) 
0x6267319;:0;JMP	6267428 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime3RunERKNS_22FunctionLibraryRuntime7OptionsEmN4absl12lts_202308024SpanIKNS_6TensorEEEPSt6vectorIS8_SaIS8_EESt8functionIFvRKNS6_6StatusEEE+0x348>;
0x626731e;:0;XCHG	%AX,%AX;
0x6267320;:0;MOV	%ESI,%EAX;(5448) 
0x6267322;:0;XOR	%EDX,%EDX;(5448) 
0x6267324;:0;DIV	%EDI;(5448) 
0x6267326;:0;CMP	%RCX,%RDX;(5448) 
0x6267329;:0;JNE	6267428 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime3RunERKNS_22FunctionLibraryRuntime7OptionsEmN4absl12lts_202308024SpanIKNS_6TensorEEEPSt6vectorIS8_SaIS8_EESt8functionIFvRKNS6_6StatusEEE+0x348>;(5448) 
0x626732f;:0;CMP	%R13,%RSI;(5448) 
0x6267332;:0;JNE	62672f0 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime3RunERKNS_22FunctionLibraryRuntime7OptionsEmN4absl12lts_202308024SpanIKNS_6TensorEEEPSt6vectorIS8_SaIS8_EESt8functionIFvRKNS6_6StatusEEE+0x210>;(5448) 
0x6267334;:0;MOV	%R12,%RDI;
0x6267337;:0;CALL	7632a60 <_ZN3tsl5mutex13unlock_sharedEv@plt>;
0x626733c;:0;MOV	0x10(%RBP),%RCX;
0x6267340;:0;VMOVUPS	(%RCX),%XMM0;
0x6267344;:0;VMOVAPS	%XMM0,-0x130(%RBP);
0x626734c;:0;VMOVAPS	-0x1d0(%RBP),%XMM0;
0x6267354;:0;VMOVUPS	%XMM0,(%RCX);
0x6267358;:0;VMOVAPS	-0x130(%RBP),%XMM0;
0x6267360;:0;VMOVAPS	%XMM0,-0x1d0(%RBP);
0x6267368;:0;MOV	-0x1b8(%RBP),%RAX;
0x626736f;:0;VMOVUPS	0x10(%RCX),%XMM0;
0x6267374;:0;MOVQ	$0,0x10(%RCX);
0x626737c;:0;MOV	%RAX,0x18(%RCX);
0x6267380;:0;VMOVAPS	%XMM0,-0x1c0(%RBP);
0x6267388;:0;LEA	-0x178(%RBP),%RAX;
0x626738f;:0;MOV	%RAX,-0x1f0(%RBP);
0x6267396;:0;LEA	0x85b3(%RIP),%RAX;
0x626739d;:0;MOV	%RAX,-0x1d8(%RBP);
0x62673a4;:0;LEA	0x85d5(%RIP),%RAX;
0x62673ab;:0;MOV	%RAX,-0x1e0(%RBP);
0x62673b2;:0;SUB	$0x8,%RSP;
0x62673b6;:0;LEA	-0x1f0(%RBP),%RAX;
0x62673bd;:0;LEA	-0x108(%RBP),%RSI;
0x62673c4;:0;LEA	-0x1d0(%RBP),%R9;
0x62673cb;:0;MOV	%RBX,%RDI;
0x62673ce;:0;MOV	%R13,%RDX;
0x62673d1;:0;MOV	%R15,%RCX;
0x62673d4;:0;MOV	-0x168(%RBP),%R8;
0x62673db;:0;PUSH	%RAX;
0x62673dc;:0;CALL	763d8b0 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime19RunMultiDeviceAsyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EEPS5_ISt10unique_ptrINS0_11CleanUpItemESt14default_deleteISE_EESaISH_EESt8functionIFvRKN4absl12lts_202308026StatusEEESL_IFSO_RKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE@plt>;
0x62673e1;:0;ADD	$0x10,%RSP;
0x62673e5;:0;MOV	-0x1e0(%RBP),%RAX;
0x62673ec;:0;TEST	%RAX,%RAX;
0x62673ef;:0;JE	6267402 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime3RunERKNS_22FunctionLibraryRuntime7OptionsEmN4absl12lts_202308024SpanIKNS_6TensorEEEPSt6vectorIS8_SaIS8_EESt8functionIFvRKNS6_6StatusEEE+0x322>;
0x62673f1;:0;LEA	-0x1f0(%RBP),%RDI;
0x62673f8;:0;MOV	%RDI,%RSI;
0x62673fb;:0;MOV	$0x3,%EDX;
0x6267400;:0;CALL	%RAX;
0x6267402;:0;MOV	-0x1c0(%RBP),%RAX;
0x6267409;:0;TEST	%RAX,%RAX;
0x626740c;:0;JE	62676be <_ZNK10tensorflow29ProcessFunctionLibraryRuntime3RunERKNS_22FunctionLibraryRuntime7OptionsEmN4absl12lts_202308024SpanIKNS_6TensorEEEPSt6vectorIS8_SaIS8_EESt8functionIFvRKNS6_6StatusEEE+0x5de>;
0x6267412;:0;LEA	-0x1d0(%RBP),%RDI;
0x6267419;:0;MOV	%RDI,%RSI;
0x626741c;:0;MOV	$0x3,%EDX;
0x6267421;:0;CALL	%RAX;
0x6267423;:0;JMP	62676be <_ZNK10tensorflow29ProcessFunctionLibraryRuntime3RunERKNS_22FunctionLibraryRuntime7OptionsEmN4absl12lts_202308024SpanIKNS_6TensorEEEPSt6vectorIS8_SaIS8_EESt8functionIFvRKNS6_6StatusEEE+0x5de>;
0x6267428;:0;MOV	%R12,%RDI;
0x626742b;:0;CALL	7632a60 <_ZN3tsl5mutex13unlock_sharedEv@plt>;
0x6267430;:0;VXORPS	%XMM0,%XMM0,%XMM0;
0x6267434;:0;VMOVAPS	%XMM0,-0x160(%RBP);
0x626743c;:0;MOVQ	$0,-0x150(%RBP);
0x6267447;:0;MOV	-0x170(%RBP),%R14;
0x626744e;:0;TEST	%R14,%R14;
0x6267451;:0;JE	62675b0 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime3RunERKNS_22FunctionLibraryRuntime7OptionsEmN4absl12lts_202308024SpanIKNS_6TensorEEEPSt6vectorIS8_SaIS8_EESt8functionIFvRKNS6_6StatusEEE+0x4d0>;
0x6267457;:0;MOV	%R15,-0x180(%RBP);
0x626745e;:0;MOV	%RBX,-0x138(%RBP);
0x6267465;:0;MOV	-0x178(%RBP),%R12;
0x626746c;:0;SAL	$0x5,%R14;
0x6267470;:0;LEA	-0x130(%RBP),%R13;
0x6267477;:0;MOV	0x14a9aca(%RIP),%RBX;
0x626747e;:0;LEA	-0x188(%RBP),%R15;
0x6267485;:0;JMP	62674d0 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime3RunERKNS_22FunctionLibraryRuntime7OptionsEmN4absl12lts_202308024SpanIKNS_6TensorEEEPSt6vectorIS8_SaIS8_EESt8functionIFvRKNS6_6StatusEEE+0x3f0>;
0x6267487;:0;NOPW	(%RAX,%RAX,1);
0x6267490;:0;LEA	-0x160(%RBP),%RDI;(5447) 
0x6267497;:0;MOV	%R13,%RDX;(5447) 
0x626749a;:0;CALL	763d970 <_ZNSt6vectorISt7variantIJN10tensorflow6TensorEPNS1_5eager18RemoteTensorHandleEEESaIS6_EE17_M_realloc_insertIJS6_EEEvN9__gnu_cxx17__normal_iteratorIPS6_S8_EEDpOT_@plt>;(5447) 
0x626749f;:0;MOVZX	-0x110(%RBP),%EAX;(5447) 
0x62674a6;:0;LEA	0x1(%RAX),%RCX;(5447) 
0x62674aa;:0;CMP	$0xff,%RAX;(5447) 
0x62674b0;:0;MOV	$0,%EAX;(5447) 
0x62674b5;:0;CMOVE	%RAX,%RCX;(5447) 
0x62674b9;:0;MOV	%R15,%RDI;(5447) 
0x62674bc;:0;MOV	%R13,%RSI;(5447) 
0x62674bf;:0;CALLQ	(%RBX,%RCX,8);(5447) 
0x62674c2;:0;ADD	$0x20,%R12;(5447) 
0x62674c6;:0;ADD	$-0x20,%R14;(5447) 
0x62674ca;:0;JE	626758b <_ZNK10tensorflow29ProcessFunctionLibraryRuntime3RunERKNS_22FunctionLibraryRuntime7OptionsEmN4absl12lts_202308024SpanIKNS_6TensorEEEPSt6vectorIS8_SaIS8_EESt8functionIFvRKNS6_6StatusEEE+0x4ab>;(5447) 
0x62674d0;:0;MOV	0x10(%R12),%RAX;(5447) 
0x62674d5;:0;MOV	%RAX,-0x120(%RBP);(5447) 
0x62674dc;:0;CMPB	$0x2,0xf(%R12);(5447) 
0x62674e2;:0;JNE	6267500 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime3RunERKNS_22FunctionLibraryRuntime7OptionsEmN4absl12lts_202308024SpanIKNS_6TensorEEEPSt6vectorIS8_SaIS8_EESt8functionIFvRKNS6_6StatusEEE+0x420>;(5447) 
0x62674e4;:0;MOVB	$0,-0x121(%RBP);(5447) 
0x62674eb;:0;MOV	%R13,%RDI;(5447) 
0x62674ee;:0;MOV	%R12,%RSI;(5447) 
0x62674f1;:0;CALL	76326b0 <_ZN10tensorflow14TensorShapeRep12SlowCopyFromERKS0_@plt>;(5447) 
0x62674f6;:0;JMP	626750e <_ZNK10tensorflow29ProcessFunctionLibraryRuntime3RunERKNS_22FunctionLibraryRuntime7OptionsEmN4absl12lts_202308024SpanIKNS_6TensorEEEPSt6vectorIS8_SaIS8_EESt8functionIFvRKNS6_6StatusEEE+0x42e>;(5447) 
0x62674f8;:0;NOPL	(%RAX,%RAX,1);
0x6267500;:0;VMOVUPS	(%R12),%XMM0;(5447) 
0x6267506;:0;VMOVAPS	%XMM0,-0x130(%RBP);(5447) 
0x626750e;:0;MOV	0x18(%R12),%RAX;(5447) 
0x6267513;:0;MOV	%RAX,-0x118(%RBP);(5447) 
0x626751a;:0;TEST	%RAX,%RAX;(5447) 
0x626751d;:0;JE	6267524 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime3RunERKNS_22FunctionLibraryRuntime7OptionsEmN4absl12lts_202308024SpanIKNS_6TensorEEEPSt6vectorIS8_SaIS8_EESt8functionIFvRKNS6_6StatusEEE+0x444>;(5447) 
0x626751f;:0;LOCK INCQ	0x8(%RAX);(5447) 
0x6267524;:0;MOVB	$0,-0x110(%RBP);(5447) 
0x626752b;:0;MOV	-0x158(%RBP),%RSI;(5447) 
0x6267532;:0;CMP	-0x150(%RBP),%RSI;(5447) 
0x6267539;:0;JE	6267490 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime3RunERKNS_22FunctionLibraryRuntime7OptionsEmN4absl12lts_202308024SpanIKNS_6TensorEEEPSt6vectorIS8_SaIS8_EESt8functionIFvRKNS6_6StatusEEE+0x3b0>;(5447) 
0x626753f;:0;MOVB	$-0x1,0x20(%RSI);(5447) 
0x6267543;:0;MOVZX	-0x110(%RBP),%EAX;(5447) 
0x626754a;:0;MOV	%AL,0x20(%RSI);(5447) 
0x626754d;:0;MOV	%RSI,-0x188(%RBP);(5447) 
0x6267554;:0;MOVZX	-0x110(%RBP),%EAX;(5447) 
0x626755b;:0;LEA	0x1(%RAX),%RCX;(5447) 
0x626755f;:0;CMP	$0xff,%RAX;(5447) 
0x6267565;:0;MOV	$0,%EAX;(5447) 
0x626756a;:0;CMOVNE	%RCX,%RAX;(5447) 
0x626756e;:0;MOV	%R15,%RDI;(5447) 
0x6267571;:0;MOV	%R13,%RSI;(5447) 
0x6267574;:0;MOV	0x14a99f5(%RIP),%RCX;(5447) 
0x626757b;:0;CALLQ	(%RCX,%RAX,8);(5447) 
0x626757e;:0;ADDQ	$0x28,-0x158(%RBP);(5447) 
0x6267586;:0;JMP	626749f <_ZNK10tensorflow29ProcessFunctionLibraryRuntime3RunERKNS_22FunctionLibraryRuntime7OptionsEmN4absl12lts_202308024SpanIKNS_6TensorEEEPSt6vectorIS8_SaIS8_EESt8functionIFvRKNS6_6StatusEEE+0x3bf>;(5447) 
0x626758b;:0;MOV	-0x160(%RBP),%RCX;
0x6267592;:0;MOV	-0x158(%RBP),%RAX;
0x6267599;:0;MOV	-0x148(%RBP),%R13;
0x62675a0;:0;MOV	-0x138(%RBP),%RBX;
0x62675a7;:0;MOV	-0x180(%RBP),%R15;
0x62675ae;:0;JMP	62675b4 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime3RunERKNS_22FunctionLibraryRuntime7OptionsEmN4absl12lts_202308024SpanIKNS_6TensorEEEPSt6vectorIS8_SaIS8_EESt8functionIFvRKNS6_6StatusEEE+0x4d4>;
0x62675b0;:0;XOR	%EAX,%EAX;
0x62675b2;:0;XOR	%ECX,%ECX;
0x62675b4;:0;SUB	%RCX,%RAX;
0x62675b7;:0;SAR	$0x3,%RAX;
0x62675bb;:0;MOV	$-0x3333333333333333,%R8;
0x62675c5;:0;IMUL	%RAX,%R8;
0x62675c9;:0;MOV	0x10(%RBP),%RDX;
0x62675cd;:0;VMOVUPS	(%RDX),%XMM0;
0x62675d1;:0;VMOVAPS	%XMM0,-0x130(%RBP);
0x62675d9;:0;VMOVAPS	-0x1b0(%RBP),%XMM0;
0x62675e1;:0;VMOVUPS	%XMM0,(%RDX);
0x62675e5;:0;VMOVAPS	-0x130(%RBP),%XMM0;
0x62675ed;:0;VMOVAPS	%XMM0,-0x1b0(%RBP);
0x62675f5;:0;MOV	-0x198(%RBP),%RAX;
0x62675fc;:0;VMOVUPS	0x10(%RDX),%XMM0;
0x6267601;:0;MOVQ	$0,0x10(%RDX);
0x6267609;:0;MOV	%RAX,0x18(%RDX);
0x626760d;:0;VMOVAPS	%XMM0,-0x1a0(%RBP);
0x6267615;:0;LEA	-0x1b0(%RBP),%RAX;
0x626761c;:0;LEA	-0x108(%RBP),%RSI;
0x6267623;:0;MOV	%RBX,%RDI;
0x6267626;:0;MOV	%R13,%RDX;
0x6267629;:0;MOV	%R15,%R9;
0x626762c;:0;PUSH	%RAX;
0x626762d;:0;PUSHQ	-0x168(%RBP);
0x6267633;:0;CALL	763d870 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime11RunInternalERKNS_22FunctionLibraryRuntime7OptionsEmN4absl12lts_202308024SpanIKSt7variantIJNS_6TensorEPNS_5eager18RemoteTensorHandleEEEEEPSt6vectorIS8_IJS9_NS_11TensorShapeEEESaISI_EEPSG_ISt10unique_ptrINS0_11CleanUpItemESt14default_deleteISN_EESaISQ_EESt8functionIFvRKNS6_6StatusEEE@plt>;
0x6267638;:0;ADD	$0x10,%RSP;
0x626763c;:0;MOV	-0x1a0(%RBP),%RAX;
0x6267643;:0;TEST	%RAX,%RAX;
0x6267646;:0;JE	6267659 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime3RunERKNS_22FunctionLibraryRuntime7OptionsEmN4absl12lts_202308024SpanIKNS_6TensorEEEPSt6vectorIS8_SaIS8_EESt8functionIFvRKNS6_6StatusEEE+0x579>;
0x6267648;:0;LEA	-0x1b0(%RBP),%RDI;
0x626764f;:0;MOV	%RDI,%RSI;
0x6267652;:0;MOV	$0x3,%EDX;
0x6267657;:0;CALL	%RAX;
0x6267659;:0;MOV	-0x160(%RBP),%RBX;
0x6267660;:0;MOV	-0x158(%RBP),%R15;
0x6267667;:0;CMP	%R15,%RBX;
0x626766a;:0;JE	62676b1 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime3RunERKNS_22FunctionLibraryRuntime7OptionsEmN4absl12lts_202308024SpanIKNS_6TensorEEEPSt6vectorIS8_SaIS8_EESt8functionIFvRKNS6_6StatusEEE+0x5d1>;
0x626766c;:0;XOR	%R12D,%R12D;
0x626766f;:0;MOV	0x14a98d2(%RIP),%R13;
0x6267676;:0;LEA	-0x130(%RBP),%R14;
0x626767d;:0;NOPL	(%RAX);
0x6267680;:0;MOVZX	0x20(%RBX),%EAX;(5446) 
0x6267684;:0;LEA	0x1(%RAX),%RCX;(5446) 
0x6267688;:0;CMP	$0xff,%RAX;(5446) 
0x626768e;:0;CMOVE	%R12,%RCX;(5446) 
0x6267692;:0;MOV	%R14,%RDI;(5446) 
0x6267695;:0;MOV	%RBX,%RSI;(5446) 
0x6267698;:0;CALLQ	(%R13,%RCX,8);(5446) 
0x626769d;:0;MOVB	$-0x1,0x20(%RBX);(5446) 
0x62676a1;:0;ADD	$0x28,%RBX;(5446) 
0x62676a5;:0;CMP	%R15,%RBX;(5446) 
0x62676a8;:0;JNE	6267680 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime3RunERKNS_22FunctionLibraryRuntime7OptionsEmN4absl12lts_202308024SpanIKNS_6TensorEEEPSt6vectorIS8_SaIS8_EESt8functionIFvRKNS6_6StatusEEE+0x5a0>;(5446) 
0x62676aa;:0;MOV	-0x160(%RBP),%RBX;
0x62676b1;:0;TEST	%RBX,%RBX;
0x62676b4;:0;JE	62676be <_ZNK10tensorflow29ProcessFunctionLibraryRuntime3RunERKNS_22FunctionLibraryRuntime7OptionsEmN4absl12lts_202308024SpanIKNS_6TensorEEEPSt6vectorIS8_SaIS8_EESt8functionIFvRKNS6_6StatusEEE+0x5de>;
0x62676b6;:0;MOV	%RBX,%RDI;
0x62676b9;:0;CALL	7632540 <_ZdlPv@plt>;
0x62676be;:0;MOV	-0x140(%RBP),%R14;
0x62676c5;:0;TEST	%R14,%R14;
0x62676c8;:0;JE	62676e9 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime3RunERKNS_22FunctionLibraryRuntime7OptionsEmN4absl12lts_202308024SpanIKNS_6TensorEEEPSt6vectorIS8_SaIS8_EESt8functionIFvRKNS6_6StatusEEE+0x609>;
0x62676ca;:0;LOCK DECQ	0x10(%R14);
0x62676cf;:0;JNE	62676e9 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime3RunERKNS_22FunctionLibraryRuntime7OptionsEmN4absl12lts_202308024SpanIKNS_6TensorEEEPSt6vectorIS8_SaIS8_EESt8functionIFvRKNS6_6StatusEEE+0x609>;
0x62676d1;:0;LEA	0x8(%R14),%RBX;
0x62676d5;:0;MOV	0x8(%R14),%RAX;
0x62676d9;:0;MOV	%RBX,%RDI;
0x62676dc;:0;CALLQ	0x10(%RAX);
0x62676df;:0;MOV	0x8(%R14),%RAX;
0x62676e3;:0;MOV	%RBX,%RDI;
0x62676e6;:0;CALLQ	0x8(%RAX);
0x62676e9;:0;MOV	-0x58(%RBP),%RDI;
