address;source_location;insn;indent
0x62dd7ff;:0;CMPB	$0,0x14d0092(%RIP);
0x62dde45;:0;XOR	%EAX,%EAX;
0x62dde47;:0;CMP	$0x2,%RDX;
0x62dde4b;:0;MOV	$0x1b,%ECX;
0x62dde50;:0;CMOVNE	%RAX,%RCX;
0x62dde54;:0;CMP	$0x2,%EDX;
0x62dde57;:0;JNE	62dde60 <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0x740>;
0x62dde59;:0;MOV	0x1431f90(%RIP),%RAX;
0x62dde60;:0;MOV	(%RSI),%RDX;
0x62dde63;:0;MOV	0x8(%RSI),%RSI;
0x62dde67;:0;JMP	62ddfb8 <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0x898>;
0x62dde6c;:0;MOV	(%R14),%RDX;
0x62dde6f;:0;TEST	$0x1,%DL;
0x62dde72;:0;JNE	62de09d <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0x97d>;
0x62dde78;:0;AND	$0x3,%EDX;
0x62dde7b;:0;XOR	%EAX,%EAX;
0x62dde7d;:0;CMP	$0x2,%RDX;
0x62dde81;:0;MOV	$0x1b,%ECX;
0x62dde86;:0;CMOVNE	%RAX,%RCX;
0x62dde8a;:0;CMP	$0x2,%EDX;
0x62dde8d;:0;JNE	62de0a5 <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0x985>;
0x62dde93;:0;MOV	0x1431f56(%RIP),%RAX;
0x62dde9a;:0;JMP	62de0a5 <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0x985>;
0x62dde9f;:0;MOV	0x7(%RAX),%RCX;
0x62ddea3;:0;MOV	0xf(%RAX),%RDX;
0x62ddea7;:0;MOV	(%RSI),%RAX;
0x62ddeaa;:0;LEA	-0xb0(%RBP),%RDI;
0x62ddeb1;:0;CALLQ	0x18(%RAX);
0x62ddeb4;:0;MOV	(%R14),%RDX;
0x62ddeb7;:0;TEST	$0x1,%DL;
0x62ddeba;:0;JNE	62ddedc <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0x7bc>;
0x62ddebc;:0;AND	$0x3,%EDX;
0x62ddebf;:0;XOR	%EAX,%EAX;
0x62ddec1;:0;CMP	$0x2,%RDX;
0x62ddec5;:0;MOV	$0x1b,%ECX;
0x62ddeca;:0;CMOVNE	%RAX,%RCX;
0x62ddece;:0;CMP	$0x2,%EDX;
0x62dded1;:0;JNE	62ddee4 <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0x7c4>;
0x62dded3;:0;MOV	0x1431f16(%RIP),%RAX;
0x62ddeda;:0;JMP	62ddee4 <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0x7c4>;
0x62ddedc;:0;MOV	0x7(%RDX),%RAX;
0x62ddee0;:0;MOV	0xf(%RDX),%RCX;
0x62ddee4;:0;MOV	%RCX,-0x270(%RBP);
0x62ddeeb;:0;MOV	%RAX,-0x268(%RBP);
0x62ddef2;:0;MOV	-0xb0(%RBP),%RAX;
0x62ddef9;:0;MOV	-0xa8(%RBP),%RCX;
0x62ddf00;:0;MOV	%RCX,-0x80(%RBP);
0x62ddf04;:0;MOV	%RAX,-0x78(%RBP);
0x62ddf08;:0;LEA	-0xe0(%RBP),%RDI;
0x62ddf0f;:0;LEA	-0x270(%RBP),%RSI;
0x62ddf16;:0;LEA	-0x80(%RBP),%RDX;
0x62ddf1a;:0;CALL	7632c70 <_ZN3tsl7strings6StrCatB5cxx11ERKNS0_8AlphaNumES3_@plt>;
0x62ddf1f;:0;MOV	-0xe0(%RBP),%RCX;
0x62ddf26;:0;MOV	-0xd8(%RBP),%RDX;
0x62ddf2d;:0;LEA	-0x50(%RBP),%RDI;
0x62ddf31;:0;MOV	%R14,%RSI;
0x62ddf34;:0;CALL	76336c0 <_ZN3tsl6errors24CreateWithUpdatedMessageERKN4absl12lts_202308026StatusESt17basic_string_viewIcSt11char_traitsIcEE@plt>;
0x62ddf39;:0;MOV	(%R14),%RDI;
0x62ddf3c;:0;MOV	-0x50(%RBP),%RAX;
0x62ddf40;:0;CMP	%RDI,%RAX;
0x62ddf43;:0;JE	62ddf5f <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0x83f>;
0x62ddf45;:0;MOV	%RAX,(%R14);
0x62ddf48;:0;MOVQ	$0x36,-0x50(%RBP);
0x62ddf50;:0;TEST	$0x1,%DIL;
0x62ddf54;:0;JE	62ddf6a <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0x84a>;
0x62ddf56;:0;CALL	7632530 <_ZN4absl12lts_202308026Status15UnrefNonInlinedEm@plt>;
0x62ddf5b;:0;MOV	-0x50(%RBP),%RDI;
0x62ddf5f;:0;TEST	$0x1,%DIL;
0x62ddf63;:0;JE	62ddf6a <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0x84a>;
0x62ddf65;:0;CALL	7632530 <_ZN4absl12lts_202308026Status15UnrefNonInlinedEm@plt>;
0x62ddf6a;:0;MOV	-0xe0(%RBP),%RDI;
0x62ddf71;:0;LEA	-0xd0(%RBP),%RAX;
0x62ddf78;:0;CMP	%RAX,%RDI;
0x62ddf7b;:0;JE	62de134 <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0xa14>;
0x62ddf81;:0;CALL	7632540 <_ZdlPv@plt>;
0x62ddf86;:0;JMP	62de134 <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0xa14>;
0x62ddf8b;:0;LOCK INCL	-0x1(%RBX);
0x62ddf8f;:0;MOV	-0x2f8(%RBP),%RAX;
0x62ddf96;:0;MOV	0x8(%RAX),%RAX;
0x62ddf9a;:0;MOV	0x8(%RAX),%RAX;
0x62ddf9e;:0;MOV	0xa8(%RAX),%RAX;
0x62ddfa5;:0;AND	$-0x4,%RAX;
0x62ddfa9;:0;MOV	(%RAX),%RDX;
0x62ddfac;:0;MOV	0x8(%RAX),%RSI;
0x62ddfb0;:0;MOV	0x7(%RBX),%RAX;
0x62ddfb4;:0;MOV	0xf(%RBX),%RCX;
0x62ddfb8;:0;MOV	%RCX,-0x270(%RBP);
0x62ddfbf;:0;MOV	%RAX,-0x268(%RBP);
0x62ddfc6;:0;MOVQ	$0x21,-0x80(%RBP);
0x62ddfce;:0;LEA	-0x591aef4(%RIP),%RAX;
0x62ddfd5;:0;MOV	%RAX,-0x78(%RBP);
0x62ddfd9;:0;MOV	%RSI,-0xb0(%RBP);
0x62ddfe0;:0;MOV	%RDX,-0xa8(%RBP);
0x62ddfe7;:0;MOVQ	$0x7c,-0xe0(%RBP);
0x62ddff2;:0;LEA	-0x58a12c5(%RIP),%RAX;
0x62ddff9;:0;MOV	%RAX,-0xd8(%RBP);
0x62de000;:0;LEA	-0x50(%RBP),%RDI;
0x62de004;:0;LEA	-0x270(%RBP),%RSI;
0x62de00b;:0;LEA	-0x80(%RBP),%RDX;
0x62de00f;:0;LEA	-0xb0(%RBP),%RCX;
0x62de016;:0;LEA	-0xe0(%RBP),%R8;
0x62de01d;:0;CALL	7632810 <_ZN3tsl7strings6StrCatB5cxx11ERKNS0_8AlphaNumES3_S3_S3_@plt>;
0x62de022;:0;MOV	-0x50(%RBP),%RCX;
0x62de026;:0;MOV	-0x48(%RBP),%RDX;
0x62de02a;:0;LEA	-0x320(%RBP),%RDI;
0x62de031;:0;MOV	$0xd,%ESI;
0x62de036;:0;CALL	7632730 <_ZN4absl12lts_202308026StatusC1ENS0_10StatusCodeESt17basic_string_viewIcSt11char_traitsIcEE@plt>;
0x62de03b;:0;MOV	-0x50(%RBP),%RDI;
0x62de03f;:0;LEA	-0x40(%RBP),%RAX;
0x62de043;:0;CMP	%RAX,%RDI;
0x62de046;:0;JE	62de04d <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0x92d>;
0x62de048;:0;CALL	7632540 <_ZdlPv@plt>;
0x62de04d;:0;MOV	(%R14),%RDI;
0x62de050;:0;MOV	-0x320(%RBP),%RAX;
0x62de057;:0;CMP	%RDI,%RAX;
0x62de05a;:0;JE	62de07c <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0x95c>;
0x62de05c;:0;MOV	%RAX,(%R14);
0x62de05f;:0;MOVQ	$0x36,-0x320(%RBP);
0x62de06a;:0;TEST	$0x1,%DIL;
0x62de06e;:0;JE	62de087 <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0x967>;
0x62de070;:0;CALL	7632530 <_ZN4absl12lts_202308026Status15UnrefNonInlinedEm@plt>;
0x62de075;:0;MOV	-0x320(%RBP),%RDI;
0x62de07c;:0;TEST	$0x1,%DIL;
0x62de080;:0;JE	62de087 <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0x967>;
0x62de082;:0;CALL	7632530 <_ZN4absl12lts_202308026Status15UnrefNonInlinedEm@plt>;
0x62de087;:0;TEST	$0x1,%BL;
0x62de08a;:0;JE	62de14c <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0xa2c>;
0x62de090;:0;MOV	%RBX,%RDI;
0x62de093;:0;CALL	7632530 <_ZN4absl12lts_202308026Status15UnrefNonInlinedEm@plt>;
0x62de098;:0;JMP	62de14c <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0xa2c>;
0x62de09d;:0;MOV	0x7(%RDX),%RAX;
0x62de0a1;:0;MOV	0xf(%RDX),%RCX;
0x62de0a5;:0;MOV	%RCX,-0x270(%RBP);
0x62de0ac;:0;MOV	%RAX,-0x268(%RBP);
0x62de0b3;:0;MOVQ	$0xcb,-0x80(%RBP);
0x62de0bb;:0;LEA	-0x5914c36(%RIP),%RAX;
0x62de0c2;:0;MOV	%RAX,-0x78(%RBP);
0x62de0c6;:0;LEA	-0xb0(%RBP),%RDI;
0x62de0cd;:0;LEA	-0x270(%RBP),%RSI;
0x62de0d4;:0;LEA	-0x80(%RBP),%RDX;
0x62de0d8;:0;CALL	7632c70 <_ZN3tsl7strings6StrCatB5cxx11ERKNS0_8AlphaNumES3_@plt>;
0x62de0dd;:0;MOV	-0xb0(%RBP),%RCX;
0x62de0e4;:0;MOV	-0xa8(%RBP),%RDX;
0x62de0eb;:0;LEA	-0xe0(%RBP),%RDI;
0x62de0f2;:0;MOV	%R14,%RSI;
0x62de0f5;:0;CALL	76336c0 <_ZN3tsl6errors24CreateWithUpdatedMessageERKN4absl12lts_202308026StatusESt17basic_string_viewIcSt11char_traitsIcEE@plt>;
0x62de0fa;:0;MOV	(%R14),%RDI;
0x62de0fd;:0;MOV	-0xe0(%RBP),%RAX;
0x62de104;:0;CMP	%RDI,%RAX;
0x62de107;:0;JE	62de129 <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0xa09>;
0x62de109;:0;MOV	%RAX,(%R14);
0x62de10c;:0;MOVQ	$0x36,-0xe0(%RBP);
0x62de117;:0;TEST	$0x1,%DIL;
0x62de11b;:0;JE	62de134 <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0xa14>;
0x62de11d;:0;CALL	7632530 <_ZN4absl12lts_202308026Status15UnrefNonInlinedEm@plt>;
0x62de122;:0;MOV	-0xe0(%RBP),%RDI;
0x62de129;:0;TEST	$0x1,%DIL;
0x62de12d;:0;JE	62de134 <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0xa14>;
0x62de12f;:0;CALL	7632530 <_ZN4absl12lts_202308026Status15UnrefNonInlinedEm@plt>;
0x62de134;:0;MOV	-0xb0(%RBP),%RDI;
0x62de13b;:0;LEA	-0xa0(%RBP),%RAX;
0x62de142;:0;CMP	%RAX,%RDI;
0x62de145;:0;JE	62de14c <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0xa2c>;
0x62de147;:0;CALL	7632540 <_ZdlPv@plt>;
0x62de14c;:0;MOV	%FS:0x28,%RAX;
0x62de155;:0;CMP	-0x30(%RBP),%RAX;
0x62de159;:0;JNE	62de174 <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0xa54>;
0x62de174;:0;CALL	7632560 <__stack_chk_fail@plt>;
0x62de179;:0;LEA	0x14cf720(%RIP),%RDI;
0x62de180;:0;CALL	7632c20 <__cxa_guard_acquire@plt>;
0x62de185;:0;TEST	%EAX,%EAX;
0x62de187;:0;JE	62dd7ff <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0xdf>;
0x62de18d;:0;LEA	-0x590e534(%RIP),%RDI;
0x62de194;:0;MOV	$0x1,%ESI;
0x62de199;:0;CALL	7632c30 <_ZN3tsl8internal10LogMessage16VmoduleActivatedEPKci@plt>;
0x62de19e;:0;MOV	%AL,0x14cf6f4(%RIP);
0x62de1a4;:0;LEA	0x14cf6f5(%RIP),%RDI;
0x62de1ab;:0;CALL	7632c40 <__cxa_guard_release@plt>;
0x62de1b0;:0;JMP	62dd7ff <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE14ProcessOutputsERKNS_8NodeItemEPNS_15OpKernelContextEPNS_5EntryEPNS_22NodeExecStatsInterfaceE+0xdf>;
