address;source_location;insn;indent
0x62e6400;:0;MOV	%RAX,(%RSI,%RDX,8);
0x62e6500;:0;CMPL	$0x1,0x20(%R13,%R12,1);
0x62e6506;:0;JNE	62e654f <_ZN10tensorflow21SimplePropagatorState16PropagateOutputsERKNS0_10TaggedNodeEPN4absl12lts_2023080213InlinedVectorINS_5EntryELm4ESaIS7_EEEPNS6_IS1_Lm8ESaIS1_EEE+0x20f>;
0x62e6508;:0;MOV	%R10,%RDI;
0x62e650b;:0;MOV	%R8,-0x1d0(%RBP);
0x62e6512;:0;MOV	%RSI,-0x1c8(%RBP);
0x62e6519;:0;MOV	%R10,-0x1c0(%RBP);
0x62e6520;:0;CALL	76326c0 <_ZN10tensorflow6TensorD1Ev@plt>;
0x62e6525;:0;MOV	-0x1c0(%RBP),%R10;
0x62e652c;:0;MOV	-0x1c8(%RBP),%RSI;
0x62e6533;:0;MOV	-0x1d0(%RBP),%R8;
0x62e653a;:0;MOV	-0x1a0(%RBP),%R9;
0x62e6541;:0;MOV	-0x190(%RBP),%RDI;
0x62e6548;:0;MOV	-0x198(%RBP),%RCX;
0x62e654f;:0;LEA	(%R12,%R13,1),%RDX;
0x62e6553;:0;ADD	$0x20,%RDX;
0x62e6557;:0;MOV	0x20(%R14,%RBX,1),%EAX;
0x62e655c;:0;MOV	%EAX,(%RDX);
0x62e655e;:0;MOV	0x24(%R14,%RBX,1),%RDX;
0x62e6563;:0;MOV	%RDX,0x24(%R13,%R12,1);
0x62e6568;:0;CMP	$0x3,%EAX;
0x62e656b;:0;JE	62e65b0 <_ZN10tensorflow21SimplePropagatorState16PropagateOutputsERKNS0_10TaggedNodeEPN4absl12lts_2023080213InlinedVectorINS_5EntryELm4ESaIS7_EEEPNS6_IS1_Lm8ESaIS1_EEE+0x270>;
0x62e656d;:0;CMP	$0x2,%EAX;
0x62e6570;:0;JE	62e65a5 <_ZN10tensorflow21SimplePropagatorState16PropagateOutputsERKNS0_10TaggedNodeEPN4absl12lts_2023080213InlinedVectorINS_5EntryELm4ESaIS7_EEEPNS6_IS1_Lm8ESaIS1_EEE+0x265>;
0x62e6572;:0;CMP	$0x1,%EAX;
0x62e6575;:0;JNE	62e6494 <_ZN10tensorflow21SimplePropagatorState16PropagateOutputsERKNS0_10TaggedNodeEPN4absl12lts_2023080213InlinedVectorINS_5EntryELm4ESaIS7_EEEPNS6_IS1_Lm8ESaIS1_EEE+0x154>;
0x62e657b;:0;MOV	0x10(%RSI),%RAX;
0x62e657f;:0;MOV	%RAX,0x10(%R10);
0x62e6583;:0;VMOVUPS	(%RSI),%XMM0;
0x62e6587;:0;VMOVUPS	%XMM0,(%R10);
0x62e658c;:0;MOVB	$0,0xf(%RSI);
0x62e6590;:0;MOV	0x18(%RSI),%RAX;
0x62e6594;:0;MOV	%RAX,0x18(%R10);
0x62e6598;:0;MOVQ	$0,0x18(%RSI);
0x62e65a0;:0;JMP	62e6494 <_ZN10tensorflow21SimplePropagatorState16PropagateOutputsERKNS0_10TaggedNodeEPN4absl12lts_2023080213InlinedVectorINS_5EntryELm4ESaIS7_EEEPNS6_IS1_Lm8ESaIS1_EEE+0x154>;
0x62e65a5;:0;MOV	(%RSI),%RAX;
0x62e65a8;:0;MOV	%RAX,(%R10);
0x62e65ab;:0;JMP	62e6494 <_ZN10tensorflow21SimplePropagatorState16PropagateOutputsERKNS0_10TaggedNodeEPN4absl12lts_2023080213InlinedVectorINS_5EntryELm4ESaIS7_EEEPNS6_IS1_Lm8ESaIS1_EEE+0x154>;
0x62e65b0;:0;VMOVUPS	(%RSI),%XMM0;
0x62e65b4;:0;VMOVUPS	%XMM0,(%R10);
0x62e65b9;:0;JMP	62e6494 <_ZN10tensorflow21SimplePropagatorState16PropagateOutputsERKNS0_10TaggedNodeEPN4absl12lts_2023080213InlinedVectorINS_5EntryELm4ESaIS7_EEEPNS6_IS1_Lm8ESaIS1_EEE+0x154>;
0x62e65be;:0;MOV	%RCX,%RDI;
0x62e65c1;:0;LEA	-0xd0(%RBP),%RSI;
0x62e65c8;:0;CALL	763fd00 <_ZN4absl12lts_2023080223inlined_vector_internal7StorageIN10tensorflow21SimplePropagatorState10TaggedNodeELm8ESaIS5_EE15EmplaceBackSlowIJPKNS3_8NodeItemEEEERS5_DpOT_@plt>;
0x62e65cd;:0;MOV	-0x1a0(%RBP),%R9;
0x62e65d4;:0;MOV	-0x190(%RBP),%RDI;
0x62e65db;:0;MOV	-0x198(%RBP),%RCX;
0x62e65e2;:0;JMP	62e640b <_ZN10tensorflow21SimplePropagatorState16PropagateOutputsERKNS0_10TaggedNodeEPN4absl12lts_2023080213InlinedVectorINS_5EntryELm4ESaIS7_EEEPNS6_IS1_Lm8ESaIS1_EEE+0xcb>;
