address;source_location;insn;indent
0x523f0;:0;PUSH	%R15;
0x5261e;:0;MOV	0x8(%R14),%RAX;
0x52622;:0;MOV	0x333ff(%RIP),%RSI;
0x52629;:0;MOV	%R14,%RDI;
0x5262c;:0;MOV	0x90(%RAX),%RAX;
0x52633;:0;TEST	%RAX,%RAX;
0x52636;:0;JE	535ba <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x11ca>;
0x5263c;:0;CALL	%RAX;
0x5263e;:0;MOV	%RAX,%RBX;
0x52641;:0;CMP	0x2e980(%RIP),%RBP;
0x52648;:0;SETE	%R14B;
0x5264c;:0;TEST	%RBX,%RBX;
0x5264f;:0;JE	535aa <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x11ba>;
0x52655;:0;MOV	0x8(%RBX),%RAX;
0x52659;:0;CMP	0x2e878(%RIP),%RAX;
0x52660;:0;JE	530b0 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xcc0>;
0x52666;:0;CMP	0x2e923(%RIP),%RAX;
0x5266d;:0;JE	53256 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xe66>;
0x52673;:0;MOV	0x70(%RAX),%R13;
0x52677;:0;TEST	%R13,%R13;
0x5267a;:0;JE	53080 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xc90>;
0x52680;:0;CMPQ	$0,0x8(%R13);
0x52685;:0;JE	53080 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xc90>;
0x5268b;:0;XOR	%EDI,%EDI;
0x5268d;:0;CALL	78b0 <PyLong_FromSsize_t@plt>;
0x52692;:0;MOV	%RAX,%R12;
0x52695;:0;TEST	%RAX,%RAX;
0x52698;:0;JE	539d6 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x15e6>;
0x5269e;:0;MOV	%RAX,%RSI;
0x526a1;:0;MOV	%RBX,%RDI;
0x526a4;:0;CALLQ	0x8(%R13);
0x526a8;:0;SUBQ	$0x1,(%R12);
0x526ad;:0;MOV	%RAX,%R11;
0x526b0;:0;JE	532ff <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xf0f>;
0x526b6;:0;TEST	%R11,%R11;
0x526b9;:0;JE	5368c <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x129c>;
0x526bf;:0;SUBQ	$0x1,(%RBX);
0x526c3;:0;JE	530c0 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xcd0>;
0x526c9;:0;MOV	%R11,%RDI;
0x526cc;:0;MOV	%R11,0x18(%RSP);
0x526d1;:0;CALL	17350 <_ZL23__Pyx_PyIndex_AsSsize_tP7_object>;
0x526d6;:0;MOV	0x18(%RSP),%R11;
0x526db;:0;CMP	$-0x1,%RAX;
0x526df;:0;MOV	%RAX,0x10(%RSP);
0x526e4;:0;JE	53623 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x1233>;
0x526ea;:0;SUBQ	$0x1,(%R11);
0x526ee;:0;JE	530e0 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xcf0>;
0x526f4;:0;MOV	0x327c5(%RIP),%RAX;
0x526fb;:0;MOV	0x325a6(%RIP),%RBX;
0x52702;:0;CMP	%RBX,0x18(%RAX);
0x52706;:0;JNE	53656 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x1266>;
0x5270c;:0;MOV	0x3258d(%RIP),%RBX;
0x52713;:0;TEST	%RBX,%RBX;
0x52716;:0;JE	5369f <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x12af>;
0x5271c;:0;ADDQ	$0x1,(%RBX);
0x52720;:0;MOV	0x8(%RBX),%RAX;
0x52724;:0;MOV	0x3346d(%RIP),%RSI;
0x5272b;:0;MOV	%RBX,%RDI;
0x5272e;:0;MOV	0x90(%RAX),%RAX;
0x52735;:0;TEST	%RAX,%RAX;
0x52738;:0;JE	536cb <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x12db>;
0x5273e;:0;CALL	%RAX;
0x52740;:0;MOV	%RAX,%R13;
0x52743;:0;MOV	(%RBX),%RAX;
0x52746;:0;SUB	$0x1,%RAX;
0x5274a;:0;TEST	%R13,%R13;
0x5274d;:0;JE	536b0 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x12c0>;
0x52753;:0;MOV	%RAX,(%RBX);
0x52756;:0;TEST	%RAX,%RAX;
0x52759;:0;JE	53190 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xda0>;
0x5275f;:0;MOV	0x10(%RSP),%RDI;
0x52764;:0;CALL	78b0 <PyLong_FromSsize_t@plt>;
0x52769;:0;TEST	%RAX,%RAX;
0x5276c;:0;MOV	%RAX,0x18(%RSP);
0x52771;:0;JE	536e5 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x12f5>;
0x52777;:0;MOV	$0x1,%EDI;
0x5277c;:0;CALL	7830 <PyTuple_New@plt>;
0x52781;:0;MOV	0x18(%RSP),%R11;
0x52786;:0;TEST	%RAX,%RAX;
0x52789;:0;MOV	%RAX,%R9;
0x5278c;:0;JE	536f5 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x1305>;
0x52792;:0;MOV	%R11,0x18(%RAX);
0x52796;:0;MOV	%RAX,0x18(%RSP);
0x5279b;:0;CALL	7a50 <PyDict_New@plt>;
0x527a0;:0;MOV	0x18(%RSP),%R9;
0x527a5;:0;TEST	%RAX,%RAX;
0x527a8;:0;MOV	%RAX,%R11;
0x527ab;:0;JE	5370e <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x131e>;
0x527b1;:0;MOV	0x32708(%RIP),%RAX;
0x527b8;:0;MOV	0x324d9(%RIP),%RBX;
0x527bf;:0;CMP	%RBX,0x18(%RAX);
0x527c3;:0;JNE	53770 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x1380>;
0x527c9;:0;MOV	0x324c0(%RIP),%R12;
0x527d0;:0;TEST	%R12,%R12;
0x527d3;:0;JE	537e3 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x13f3>;
0x527d9;:0;ADDQ	$0x1,(%R12);
0x527de;:0;MOV	0x8(%R12),%RAX;
0x527e3;:0;MOV	%R9,0x30(%RSP);
0x527e8;:0;MOV	%R12,%RDI;
0x527eb;:0;MOV	%R11,0x18(%RSP);
0x527f0;:0;MOV	0x32f09(%RIP),%RSI;
0x527f7;:0;MOV	0x90(%RAX),%RAX;
0x527fe;:0;TEST	%RAX,%RAX;
0x52801;:0;JE	537cc <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x13dc>;
0x52807;:0;CALL	%RAX;
0x52809;:0;MOV	0x18(%RSP),%R11;
0x5280e;:0;MOV	0x30(%RSP),%R9;
0x52813;:0;MOV	%RAX,%R8;
0x52816;:0;TEST	%R8,%R8;
0x52819;:0;JE	53808 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x1418>;
0x5281f;:0;SUBQ	$0x1,(%R12);
0x52824;:0;JE	53459 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x1069>;
0x5282a;:0;MOV	0x32d1f(%RIP),%RSI;
0x52831;:0;MOV	%R8,%RDX;
0x52834;:0;MOV	%R11,%RDI;
0x52837;:0;MOV	%R9,0x38(%RSP);
0x5283c;:0;MOV	%R8,0x30(%RSP);
0x52841;:0;MOV	%R11,0x18(%RSP);
0x52846;:0;CALL	7a20 <PyDict_SetItem@plt>;
0x5284b;:0;MOV	0x18(%RSP),%R11;
0x52850;:0;MOV	0x30(%RSP),%R8;
0x52855;:0;TEST	%EAX,%EAX;
0x52857;:0;MOV	0x38(%RSP),%R9;
0x5285c;:0;JS	53743 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x1353>;
0x52862;:0;SUBQ	$0x1,(%R8);
0x52866;:0;JE	5356b <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x117b>;
0x5286c;:0;MOV	%R11,%RDX;
0x5286f;:0;MOV	%R9,%RSI;
0x52872;:0;MOV	%R13,%RDI;
0x52875;:0;MOV	%R11,0x30(%RSP);
0x5287a;:0;MOV	%R9,0x18(%RSP);
0x5287f;:0;CALL	15270 <_ZL19__Pyx_PyObject_CallP7_objectS0_S0_>;
0x52884;:0;MOV	0x18(%RSP),%R9;
0x52889;:0;MOV	0x30(%RSP),%R11;
0x5288e;:0;TEST	%RAX,%RAX;
0x52891;:0;MOV	%RAX,%R12;
0x52894;:0;JE	53812 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x1422>;
0x5289a;:0;SUBQ	$0x1,(%R13);
0x5289f;:0;JE	535eb <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x11fb>;
0x528a5;:0;SUBQ	$0x1,(%R9);
0x528a9;:0;JE	535d4 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x11e4>;
0x528af;:0;SUBQ	$0x1,(%R11);
0x528b3;:0;JE	535c7 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x11d7>;
0x528b9;:0;MOV	0x8(%RSP),%RDI;
0x528be;:0;XOR	%EAX,%EAX;
0x528c0;:0;MOV	$0x1a,%ECX;
0x528c5;:0;CMP	0x2e6fc(%RIP),%R12;
0x528cc;:0;MOVL	$0x11,0x40(%RSP);
0x528d4;:0;REP_STOSQ	(%RDI);
0x528d7;:0;JE	5336f <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xf7f>;
0x528dd;:0;LEA	0x40(%RSP),%RDI;
0x528e2;:0;SUB	$0x8,%RSP;
0x528e6;:0;MOV	$0x1,%EDX;
0x528eb;:0;MOV	$0x1d,%ESI;
0x528f0;:0;PUSH	%R12;
0x528f2;:0;MOV	0x18(%RSP),%R9;
0x528f7;:0;LEA	0x31b62(%RIP),%RCX;
0x528fe;:0;LEA	0x60(%RSP),%R8;
0x52903;:0;CALL	1e1f0 <_ZL34__Pyx_ValidateAndInit_memviewslicePiiiiP14__Pyx_TypeInfoP22__Pyx_BufFmt_StackElemP18__Pyx_memviewsliceP7_object.constprop.0>;
0x52908;:0;POP	%RDX;
0x52909;:0;POP	%RCX;
0x5290a;:0;CMP	$-0x1,%EAX;
0x5290d;:0;JE	539b8 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x15c8>;
0x52913;:0;MOVDQA	0x120(%RSP),%XMM5;
0x5291c;:0;MOVDQA	0x130(%RSP),%XMM6;
0x52925;:0;MOVDQA	0x140(%RSP),%XMM7;
0x5292e;:0;MOVDQA	0x150(%RSP),%XMM2;
0x52937;:0;MOVDQA	0x160(%RSP),%XMM3;
0x52940;:0;MOVAPS	%XMM5,0x50(%RSP);
0x52945;:0;MOVDQA	0x170(%RSP),%XMM4;
0x5294e;:0;MOVDQA	0x180(%RSP),%XMM5;
0x52957;:0;MOVAPS	%XMM6,0x60(%RSP);
0x5295c;:0;MOV	0x120(%RSP),%RBX;
0x52964;:0;MOVDQA	0x190(%RSP),%XMM6;
0x5296d;:0;MOVAPS	%XMM7,0x70(%RSP);
0x52972;:0;MOVDQA	0x1a0(%RSP),%XMM7;
0x5297b;:0;MOVAPS	%XMM2,0x80(%RSP);
0x52983;:0;MOV	0x128(%RSP),%R13;
0x5298b;:0;MOVDQA	0x1b0(%RSP),%XMM2;
0x52994;:0;MOVAPS	%XMM3,0x90(%RSP);
0x5299c;:0;MOV	0x170(%RSP),%R10;
0x529a4;:0;MOVDQA	0x1c0(%RSP),%XMM3;
0x529ad;:0;MOVAPS	%XMM4,0xa0(%RSP);
0x529b5;:0;MOVDQA	0x1d0(%RSP),%XMM4;
0x529be;:0;MOVAPS	%XMM5,0xb0(%RSP);
0x529c6;:0;MOVDQA	0x1e0(%RSP),%XMM5;
0x529cf;:0;MOVAPS	%XMM6,0xc0(%RSP);
0x529d7;:0;MOVAPS	%XMM7,0xd0(%RSP);
0x529df;:0;MOVAPS	%XMM2,0xe0(%RSP);
0x529e7;:0;MOVAPS	%XMM3,0xf0(%RSP);
0x529ef;:0;MOVAPS	%XMM4,0x100(%RSP);
0x529f7;:0;MOVAPS	%XMM5,0x110(%RSP);
0x529ff;:0;TEST	%RBX,%RBX;
0x52a02;:0;JE	5335f <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xf6f>;
0x52a08;:0;SUBQ	$0x1,(%R12);
0x52a0d;:0;JE	5360c <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x121c>;
0x52a13;:0;MOVDQA	0x50(%RSP),%XMM2;
0x52a19;:0;MOVDQA	0x60(%RSP),%XMM3;
0x52a1f;:0;MOV	%R10,0x8(%RSP);
0x52a24;:0;MOVDQA	0x80(%RSP),%XMM5;
0x52a2d;:0;MOVDQA	0x70(%RSP),%XMM4;
0x52a33;:0;MOVDQA	0x90(%RSP),%XMM6;
0x52a3c;:0;MOVAPS	%XMM2,0x120(%RSP);
0x52a44;:0;MOVDQA	0xa0(%RSP),%XMM7;
0x52a4d;:0;MOVDQA	0xb0(%RSP),%XMM2;
0x52a56;:0;MOVAPS	%XMM3,0x130(%RSP);
0x52a5e;:0;MOVDQA	0xc0(%RSP),%XMM3;
0x52a67;:0;MOVAPS	%XMM4,0x140(%RSP);
0x52a6f;:0;MOVDQA	0xd0(%RSP),%XMM4;
0x52a78;:0;MOVAPS	%XMM5,0x150(%RSP);
0x52a80;:0;MOVDQA	0xe0(%RSP),%XMM5;
0x52a89;:0;MOVAPS	%XMM6,0x160(%RSP);
0x52a91;:0;MOVDQA	0xf0(%RSP),%XMM6;
0x52a9a;:0;MOVAPS	%XMM7,0x170(%RSP);
0x52aa2;:0;MOVDQA	0x100(%RSP),%XMM7;
0x52aab;:0;MOVAPS	%XMM2,0x180(%RSP);
0x52ab3;:0;MOVDQA	0x110(%RSP),%XMM2;
0x52abc;:0;MOVAPS	%XMM3,0x190(%RSP);
0x52ac4;:0;MOVAPS	%XMM4,0x1a0(%RSP);
0x52acc;:0;MOVAPS	%XMM5,0x1b0(%RSP);
0x52ad4;:0;MOVAPS	%XMM6,0x1c0(%RSP);
0x52adc;:0;MOVAPS	%XMM7,0x1d0(%RSP);
0x52ae4;:0;MOVAPS	%XMM2,0x1e0(%RSP);
0x52aec;:0;CALL	74d0 <PyEval_SaveThread@plt>;
0x52af1;:0;CMPQ	$0,0x10(%RSP);
0x52af7;:0;MOV	0x8(%RSP),%R10;
0x52afc;:0;MOV	%RAX,%R12;
0x52aff;:0;JLE	52bca <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x7da>;
0x52b05;:0;MOV	(%RSP),%RAX;
0x52b09;:0;MOV	%RBX,0x8(%RSP);
0x52b0e;:0;XOR	%R8D,%R8D;
0x52b11;:0;XOR	%R11D,%R11D;
0x52b14;:0;MOV	0x339ad(%RIP),%RDI;
0x52b1b;:0;MOV	0x10(%RSP),%RBX;
0x52b20;:0;MOV	%RBP,(%RSP);
0x52b24;:0;MOV	0x50(%RAX),%RSI;
0x52b28;:0;MOV	0x28(%RSP),%RBP;
0x52b2d;:0;MOV	%R14B,0x18(%RSP);
0x52b32;:0;MOV	0x20(%RSP),%R14;
0x52b37;:0;NOPW	(%RAX,%RAX,1);
0x52b40;:0;MOV	(%RSI),%RDX;(308) 
0x52b43;:0;CMP	%RDX,%RDI;(308) 
0x52b46;:0;JE	53118 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xd28>;(308) 
0x52b4c;:0;MOV	%RSI,%RAX;(308) 
