address;source_location;insn;indent
0x642a2a0;:0;PUSH	%RBP;
0x642a3a0;:0;TZCNT	%R13D,%EAX;  (9992) 
0x642a3a5;:0;ADD	%RBX,%RAX;  (9992) 
0x642a3a8;:0;AND	%RDI,%RAX;  (9992) 
0x642a3ab;:0;IMUL	$0x38,%RAX,%R14;  (9992) 
0x642a3af;:0;CMP	%R15,0x8(%RSI,%R14,1);  (9992) 
0x642a3b4;:0;JNE	642a390 <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0xf0>;  (9992) 
0x642a3b6;:0;TEST	%R15,%R15;  (9992) 
0x642a3b9;:0;JE	642a40d <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x16d>;  (9992) 
0x642a3bb;:0;MOV	%RDI,-0x188(%RBP);  (9992) 
0x642a3c2;:0;MOV	0x10(%RSI,%R14,1),%RDI;  (9992) 
0x642a3c7;:0;MOV	%RSI,-0x190(%RBP);  (9992) 
0x642a3ce;:0;MOV	-0x1a0(%RBP),%RSI;  (9992) 
0x642a3d5;:0;MOV	%RDX,-0x198(%RBP);  (9992) 
0x642a3dc;:0;MOV	%R15,%RDX;  (9992) 
0x642a3df;:0;VMOVDQA	%XMM1,-0x1c0(%RBP);  (9992) 
0x642a3e7;:0;CALL	7632e30 <bcmp@plt>;  (9992) 
0x642a3ec;:0;VMOVDQA	-0x1c0(%RBP),%XMM1;  (9992) 
0x642a3f4;:0;MOV	-0x188(%RBP),%RDI;  (9992) 
0x642a3fb;:0;MOV	-0x190(%RBP),%RSI;  (9992) 
0x642a402;:0;MOV	-0x198(%RBP),%RDX;  (9992) 
0x642a409;:0;TEST	%EAX,%EAX;  (9992) 
0x642a40b;:0;JNE	642a390 <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0xf0>;  (9992) 
0x642a40d;:0;ADD	%RSI,%R14;  (9992) 
0x642a410;:0;MOV	-0x180(%RBP),%RAX;  (9992) 
0x642a417;:0;CMP	%RAX,(%R14);  (9992) 
0x642a41a;:0;JE	642a4bb <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x21b>;  (9992) 
0x642a420;:0;JMP	642a390 <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0xf0>;  (9992) 
0x642a425;:0;VPSIGNB	%XMM1,%XMM1,%XMM0;(9991) 
0x642a42a;:0;VPMOVMSKB	%XMM0,%EAX;(9991) 
0x642a42e;:0;TEST	%EAX,%EAX;(9991) 
0x642a430;:0;JNE	642a4ed <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x24d>;(9991) 
0x642a436;:0;MOV	-0x168(%RBP),%RAX;(9991) 
0x642a43d;:0;ADD	%RAX,%RBX;(9991) 
0x642a440;:0;ADD	$0x10,%RBX;(9991) 
0x642a444;:0;ADD	$0x10,%RAX;(9991) 
0x642a448;:0;MOV	%RAX,-0x168(%RBP);(9991) 
0x642a44f;:0;VMOVDQA	-0x1b0(%RBP),%XMM0;(9991) 
0x642a457;:0;JMP	642a36a <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0xca>;(9991) 
0x642a45c;:0;MOV	%R15,%R13;
0x642a45f;:0;LEA	-0x40(%RBP),%RAX;
0x642a463;:0;MOV	%RAX,-0x50(%RBP);
0x642a467;:0;MOV	(%R12),%RBX;
0x642a46b;:0;MOV	0x8(%R12),%R15;
0x642a470;:0;MOV	%R15,-0x158(%RBP);
0x642a477;:0;CMP	$0x10,%R15;
0x642a47b;:0;JB	642a49e <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x1fe>;
0x642a47d;:0;LEA	-0x50(%RBP),%RDI;
0x642a481;:0;LEA	-0x158(%RBP),%RSI;
0x642a488;:0;XOR	%EDX,%EDX;
0x642a48a;:0;CALL	76324f0 <_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE9_M_createERmm@plt>;
0x642a48f;:0;MOV	%RAX,-0x50(%RBP);
0x642a493;:0;MOV	-0x158(%RBP),%RCX;
0x642a49a;:0;MOV	%RCX,-0x40(%RBP);
0x642a49e;:0;TEST	%R15,%R15;
0x642a4a1;:0;JE	642a569 <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x2c9>;
0x642a4a7;:0;CMP	$0x1,%R15;
0x642a4ab;:0;JNE	642a55b <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x2bb>;
0x642a4b1;:0;MOVZX	(%RBX),%ECX;
0x642a4b4;:0;MOV	%CL,(%RAX);
0x642a4b6;:0;JMP	642a569 <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x2c9>;
0x642a4bb;:0;TEST	%RDX,%RDX;
0x642a4be;:0;JE	642a4ed <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x24d>;
0x642a4c0;:0;MOVZX	0x28(%R14),%EAX;
0x642a4c5;:0;CMP	$0x1,%EAX;
0x642a4c8;:0;JE	642a8a9 <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x609>;
0x642a4ce;:0;TEST	%EAX,%EAX;
0x642a4d0;:0;JNE	642a911 <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x671>;
0x642a4d6;:0;MOV	0x18(%R14),%R14;
0x642a4da;:0;LOCK INCQ	0x8(%R14);
0x642a4df;:0;TEST	%R14,%R14;
0x642a4e2;:0;JNE	642a8f7 <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x657>;
0x642a4e8;:0;JMP	642a911 <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x671>;
0x642a4ed;:0;LEA	-0xa0(%RBP),%R13;
0x642a4f4;:0;MOV	%R13,-0xb0(%RBP);
0x642a4fb;:0;MOV	(%R12),%RBX;
0x642a4ff;:0;MOV	0x8(%R12),%R15;
0x642a504;:0;MOV	%R15,-0x158(%RBP);
0x642a50b;:0;MOV	%R13,%RAX;
0x642a50e;:0;CMP	$0x10,%R15;
0x642a512;:0;JB	642a53e <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x29e>;
0x642a514;:0;LEA	-0xb0(%RBP),%RDI;
0x642a51b;:0;LEA	-0x158(%RBP),%RSI;
0x642a522;:0;XOR	%EDX,%EDX;
0x642a524;:0;CALL	76324f0 <_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE9_M_createERmm@plt>;
0x642a529;:0;MOV	%RAX,-0xb0(%RBP);
0x642a530;:0;MOV	-0x158(%RBP),%RCX;
0x642a537;:0;MOV	%RCX,-0xa0(%RBP);
0x642a53e;:0;TEST	%R15,%R15;
0x642a541;:0;JE	642a6f8 <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x458>;
0x642a547;:0;CMP	$0x1,%R15;
0x642a54b;:0;JNE	642a6ea <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x44a>;
0x642a551;:0;MOVZX	(%RBX),%ECX;
0x642a554;:0;MOV	%CL,(%RAX);
0x642a556;:0;JMP	642a6f8 <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x458>;
0x642a55b;:0;MOV	%RAX,%RDI;
0x642a55e;:0;MOV	%RBX,%RSI;
0x642a561;:0;MOV	%R15,%RDX;
0x642a564;:0;CALL	7632500 <memcpy@plt>;
0x642a569;:0;MOV	-0x158(%RBP),%RAX;
0x642a570;:0;MOV	%RAX,-0x48(%RBP);
0x642a574;:0;MOV	-0x50(%RBP),%RCX;
0x642a578;:0;MOVB	$0,(%RCX,%RAX,1);
0x642a57c;:0;LEA	-0x60(%RBP),%RAX;
0x642a580;:0;MOV	%RAX,-0x70(%RBP);
0x642a584;:0;MOV	(%R12),%RBX;
0x642a588;:0;MOV	0x8(%R12),%R15;
0x642a58d;:0;MOV	%R15,-0x158(%RBP);
0x642a594;:0;CMP	$0x10,%R15;
0x642a598;:0;JB	642a5bb <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x31b>;
0x642a59a;:0;LEA	-0x70(%RBP),%RDI;
0x642a59e;:0;LEA	-0x158(%RBP),%RSI;
0x642a5a5;:0;XOR	%EDX,%EDX;
0x642a5a7;:0;CALL	76324f0 <_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE9_M_createERmm@plt>;
0x642a5ac;:0;MOV	%RAX,-0x70(%RBP);
0x642a5b0;:0;MOV	-0x158(%RBP),%RCX;
0x642a5b7;:0;MOV	%RCX,-0x60(%RBP);
0x642a5bb;:0;TEST	%R15,%R15;
0x642a5be;:0;JE	642a5db <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x33b>;
0x642a5c0;:0;CMP	$0x1,%R15;
0x642a5c4;:0;JNE	642a5cd <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x32d>;
0x642a5c6;:0;MOVZX	(%RBX),%ECX;
0x642a5c9;:0;MOV	%CL,(%RAX);
0x642a5cb;:0;JMP	642a5db <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x33b>;
0x642a5cd;:0;MOV	%RAX,%RDI;
0x642a5d0;:0;MOV	%RBX,%RSI;
0x642a5d3;:0;MOV	%R15,%RDX;
0x642a5d6;:0;CALL	7632500 <memcpy@plt>;
0x642a5db;:0;MOV	%R14,%R12;
0x642a5de;:0;MOV	-0x158(%RBP),%RAX;
0x642a5e5;:0;MOV	%RAX,-0x68(%RBP);
0x642a5e9;:0;MOV	-0x70(%RBP),%RCX;
0x642a5ed;:0;MOVB	$0,(%RCX,%RAX,1);
0x642a5f1;:0;LEA	-0x80(%RBP),%R15;
0x642a5f5;:0;MOV	%R15,-0x90(%RBP);
0x642a5fc;:0;MOV	(%R13),%RBX;
0x642a600;:0;MOV	0x8(%R13),%R14;
0x642a604;:0;MOV	%R14,-0x158(%RBP);
0x642a60b;:0;MOV	%R15,%RAX;
0x642a60e;:0;CMP	$0x10,%R14;
0x642a612;:0;JB	642a63b <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x39b>;
0x642a614;:0;LEA	-0x90(%RBP),%RDI;
0x642a61b;:0;LEA	-0x158(%RBP),%RSI;
0x642a622;:0;XOR	%EDX,%EDX;
0x642a624;:0;CALL	76324f0 <_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE9_M_createERmm@plt>;
0x642a629;:0;MOV	%RAX,-0x90(%RBP);
0x642a630;:0;MOV	-0x158(%RBP),%RCX;
0x642a637;:0;MOV	%RCX,-0x80(%RBP);
0x642a63b;:0;TEST	%R14,%R14;
0x642a63e;:0;JE	642a65b <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x3bb>;
0x642a640;:0;CMP	$0x1,%R14;
0x642a644;:0;JNE	642a64d <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x3ad>;
0x642a646;:0;MOVZX	(%RBX),%ECX;
0x642a649;:0;MOV	%CL,(%RAX);
0x642a64b;:0;JMP	642a65b <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x3bb>;
0x642a64d;:0;MOV	%RAX,%RDI;
0x642a650;:0;MOV	%RBX,%RSI;
0x642a653;:0;MOV	%R14,%RDX;
0x642a656;:0;CALL	7632500 <memcpy@plt>;
0x642a65b;:0;MOV	-0x158(%RBP),%RAX;
0x642a662;:0;MOV	%RAX,-0x88(%RBP);
0x642a669;:0;MOV	-0x90(%RBP),%RCX;
0x642a670;:0;MOVB	$0,(%RCX,%RAX,1);
0x642a674;:0;LEA	-0x5a5b0f4(%RIP),%RAX;
0x642a67b;:0;LEA	-0x90(%RBP),%R10;
0x642a682;:0;LEA	-0x5a4dd5f(%RIP),%RSI;
0x642a689;:0;LEA	-0x5a2d15b(%RIP),%RCX;
0x642a690;:0;LEA	-0x5a7a943(%RIP),%R9;
0x642a697;:0;LEA	-0x50(%RBP),%RDX;
0x642a69b;:0;LEA	-0x70(%RBP),%R8;
0x642a69f;:0;MOV	%R12,%RBX;
0x642a6a2;:0;MOV	%R12,%RDI;
0x642a6a5;:0;PUSH	%RAX;
0x642a6a6;:0;PUSH	%R10;
0x642a6a8;:0;CALL	7646b00 <_ZN3tsl6errors8NotFoundIJPKcNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES3_S9_S3_S9_S3_EEEN4absl12lts_202308026StatusEDpT_@plt>;
0x642a6ad;:0;ADD	$0x10,%RSP;
0x642a6b1;:0;MOV	-0x90(%RBP),%RDI;
0x642a6b8;:0;CMP	%R15,%RDI;
0x642a6bb;:0;JE	642a6c2 <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x422>;
0x642a6bd;:0;CALL	7632540 <_ZdlPv@plt>;
0x642a6c2;:0;MOV	-0x70(%RBP),%RDI;
0x642a6c6;:0;LEA	-0x60(%RBP),%RAX;
0x642a6ca;:0;CMP	%RAX,%RDI;
0x642a6cd;:0;JE	642a6d4 <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x434>;
0x642a6cf;:0;CALL	7632540 <_ZdlPv@plt>;
0x642a6d4;:0;MOV	-0x50(%RBP),%RDI;
0x642a6d8;:0;LEA	-0x40(%RBP),%RAX;
0x642a6dc;:0;CMP	%RAX,%RDI;
0x642a6df;:0;JNE	642ab2a <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x88a>;
0x642a6e5;:0;JMP	642ab2f <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x88f>;
0x642a6ea;:0;MOV	%RAX,%RDI;
0x642a6ed;:0;MOV	%RBX,%RSI;
0x642a6f0;:0;MOV	%R15,%RDX;
0x642a6f3;:0;CALL	7632500 <memcpy@plt>;
0x642a6f8;:0;MOV	-0x158(%RBP),%RAX;
0x642a6ff;:0;MOV	%RAX,-0xa8(%RBP);
0x642a706;:0;MOV	-0xb0(%RBP),%RCX;
0x642a70d;:0;MOVB	$0,(%RCX,%RAX,1);
0x642a711;:0;LEA	-0xc0(%RBP),%R15;
0x642a718;:0;MOV	%R15,-0xd0(%RBP);
0x642a71f;:0;MOV	-0x178(%RBP),%RAX;
0x642a726;:0;MOV	(%RAX),%RBX;
0x642a729;:0;MOV	0x8(%RAX),%R14;
0x642a72d;:0;MOV	%R14,-0x158(%RBP);
0x642a734;:0;MOV	%R15,%RAX;
0x642a737;:0;CMP	$0x10,%R14;
0x642a73b;:0;JB	642a767 <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x4c7>;
0x642a73d;:0;LEA	-0xd0(%RBP),%RDI;
0x642a744;:0;LEA	-0x158(%RBP),%RSI;
0x642a74b;:0;XOR	%EDX,%EDX;
0x642a74d;:0;CALL	76324f0 <_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE9_M_createERmm@plt>;
0x642a752;:0;MOV	%RAX,-0xd0(%RBP);
0x642a759;:0;MOV	-0x158(%RBP),%RCX;
0x642a760;:0;MOV	%RCX,-0xc0(%RBP);
0x642a767;:0;TEST	%R14,%R14;
0x642a76a;:0;JE	642a787 <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x4e7>;
0x642a76c;:0;CMP	$0x1,%R14;
0x642a770;:0;JNE	642a779 <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x4d9>;
0x642a772;:0;MOVZX	(%RBX),%ECX;
0x642a775;:0;MOV	%CL,(%RAX);
0x642a777;:0;JMP	642a787 <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x4e7>;
0x642a779;:0;MOV	%RAX,%RDI;
0x642a77c;:0;MOV	%RBX,%RSI;
0x642a77f;:0;MOV	%R14,%RDX;
0x642a782;:0;CALL	7632500 <memcpy@plt>;
0x642a787;:0;MOV	-0x158(%RBP),%RAX;
0x642a78e;:0;MOV	%RAX,-0xc8(%RBP);
0x642a795;:0;MOV	-0xd0(%RBP),%RCX;
0x642a79c;:0;MOVB	$0,(%RCX,%RAX,1);
0x642a7a0;:0;LEA	-0xe0(%RBP),%R12;
0x642a7a7;:0;MOV	%R12,-0xf0(%RBP);
0x642a7ae;:0;MOV	-0x170(%RBP),%RAX;
0x642a7b5;:0;MOV	(%RAX),%RBX;
0x642a7b8;:0;MOV	0x8(%RAX),%R14;
0x642a7bc;:0;MOV	%R14,-0x158(%RBP);
0x642a7c3;:0;MOV	%R12,%RAX;
0x642a7c6;:0;CMP	$0x10,%R14;
0x642a7ca;:0;JB	642a7f6 <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x556>;
0x642a7cc;:0;LEA	-0xf0(%RBP),%RDI;
0x642a7d3;:0;LEA	-0x158(%RBP),%RSI;
0x642a7da;:0;XOR	%EDX,%EDX;
0x642a7dc;:0;CALL	76324f0 <_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE9_M_createERmm@plt>;
0x642a7e1;:0;MOV	%RAX,-0xf0(%RBP);
0x642a7e8;:0;MOV	-0x158(%RBP),%RCX;
0x642a7ef;:0;MOV	%RCX,-0xe0(%RBP);
0x642a7f6;:0;TEST	%R14,%R14;
0x642a7f9;:0;JE	642a816 <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x576>;
0x642a7fb;:0;CMP	$0x1,%R14;
0x642a7ff;:0;JNE	642a808 <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x568>;
0x642a801;:0;MOVZX	(%RBX),%ECX;
0x642a804;:0;MOV	%CL,(%RAX);
0x642a806;:0;JMP	642a816 <_ZNK10tensorflow11ResourceMgr8DoLookupERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEEmS8_S8_PPNS_12ResourceBaseE+0x576>;
0x642a808;:0;MOV	%RAX,%RDI;
0x642a80b;:0;MOV	%RBX,%RSI;
0x642a80e;:0;MOV	%R14,%RDX;
0x642a811;:0;CALL	7632500 <memcpy@plt>;
0x642a816;:0;MOV	-0x158(%RBP),%RAX;
0x642a81d;:0;MOV	%RAX,-0xe8(%RBP);
0x642a824;:0;MOV	-0xf0(%RBP),%RCX;
0x642a82b;:0;MOVB	$0,(%RCX,%RAX,1);
0x642a82f;:0;LEA	-0x5a60ab2(%RIP),%RAX;
0x642a836;:0;LEA	-0xf0(%RBP),%R10;
0x642a83d;:0;LEA	-0x5a8c2d6(%RIP),%RSI;
0x642a844;:0;LEA	-0x5a7aaf7(%RIP),%RCX;
0x642a84b;:0;LEA	-0xb0(%RBP),%RDX;
0x642a852;:0;LEA	-0xd0(%RBP),%R8;
0x642a859;:0;MOV	-0x160(%RBP),%RBX;
0x642a860;:0;MOV	%RBX,%RDI;
0x642a863;:0;MOV	%RCX,%R9;
0x642a866;:0;PUSH	%RAX;
0x642a867;:0;PUSH	%R10;
0x642a869;:0;CALL	7646b00 <_ZN3tsl6errors8NotFoundIJPKcNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES3_S9_S3_S9_S3_EEEN4absl12lts_202308026StatusEDpT_@plt>;
0x642a86e;:0;ADD	$0x10,%RSP;
0x642a872;:0;MOV	-0xf0(%RBP),%RDI;
0x642a879;:0;CMP	%R12,%RDI;
