address;source_location;insn;indent
0x62613b0;:0;MOV	-0x430(%RBP),%R14;
0x6261578;:0;MOV	%R14,%RDI;  (5404) 
0x626157b;:0;CALL	763d850 <_ZN10tensorflow5eager18RemoteTensorHandleD1Ev@plt>;  (5404) 
0x6261580;:0;MOV	%R14,%RDI;  (5404) 
0x6261583;:0;CALL	7632540 <_ZdlPv@plt>;  (5404) 
0x6261588;:0;JMP	6261560 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x290>;  (5404) 
0x6261590;:0;MOV	-0x498(%RBP),%RBX;
0x6261597;:0;TEST	%RBX,%RBX;
0x626159a;:0;JNE	62614b6 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x1e6>;
0x62615a0;:0;JMP	62614be <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x1ee>;
0x62615b0;:0;MOVSXD	0x48(%R14),%RAX;
0x62615b4;:0;MOV	-0x440(%RBP),%RDI;
0x62615bb;:0;MOV	(%RDI),%RCX;
0x62615be;:0;MOV	0x8(%RDI),%R15;
0x62615c2;:0;MOV	%R15,%RDX;
0x62615c5;:0;SUB	%RCX,%RDX;
0x62615c8;:0;SAR	$0x3,%RDX;
0x62615cc;:0;MOV	$-0x3333333333333333,%RSI;
0x62615d6;:0;IMUL	%RSI,%RDX;
0x62615da;:0;MOV	%RAX,%RSI;
0x62615dd;:0;SUB	%RDX,%RSI;
0x62615e0;:0;MOV	%R12,-0x410(%RBP);
0x62615e7;:0;JBE	62615f0 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x320>;
0x62615e9;:0;CALL	763d860 <_ZNSt6vectorISt7variantIJN10tensorflow6TensorENS1_11TensorShapeEEESaIS4_EE17_M_default_appendEm@plt>;
0x62615ee;:0;JMP	6261660 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x390>;
0x62615f0;:0;JAE	6261660 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x390>;
0x62615f2;:0;LEA	(%RAX,%RAX,4),%RAX;
0x62615f6;:0;LEA	(%RCX,%RAX,8),%R14;
0x62615fa;:0;CMP	%R14,%R15;
0x62615fd;:0;JE	6261660 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x390>;
0x62615ff;:0;MOV	%R14,-0x438(%RBP);
0x6261606;:0;MOV	0x14af943(%RIP),%R12;
0x626160d;:0;NOPL	(%RAX);
0x6261610;:0;MOVZX	0x20(%R14),%EAX;  (5411) 
0x6261615;:0;LEA	0x1(%RAX),%RCX;  (5411) 
0x6261619;:0;CMP	$0xff,%RAX;  (5411) 
0x626161f;:0;MOV	$0,%EAX;  (5411) 
0x6261624;:0;CMOVNE	%RCX,%RAX;  (5411) 
0x6261628;:0;MOV	%R13,%RDI;  (5411) 
0x626162b;:0;MOV	%R14,%RSI;  (5411) 
0x626162e;:0;CALLQ	(%R12,%RAX,8);  (5411) 
0x6261632;:0;MOVB	$-0x1,0x20(%R14);  (5411) 
0x6261637;:0;ADD	$0x28,%R14;  (5411) 
0x626163b;:0;CMP	%R15,%R14;  (5411) 
0x626163e;:0;JNE	6261610 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x340>;  (5411) 
0x6261640;:0;MOV	-0x440(%RBP),%RAX;
0x6261647;:0;MOV	-0x438(%RBP),%RCX;
0x626164e;:0;MOV	%RCX,0x8(%RAX);
0x6261652;:0;MOV	-0x410(%RBP),%R12;
0x6261659;:0;NOPL	(%RAX);
0x6261660;:0;MOVZX	0x154b3e9(%RIP),%EAX;
0x6261667;:0;TEST	%AL,%AL;
0x6261669;:0;JE	62620f7 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0xe27>;
0x626166f;:0;CMPB	$0,0x154b3d2(%RIP);
0x6261676;:0;JNE	6261ed4 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0xc04>;
0x626167c;:0;MOV	-0x470(%RBP),%RDI;
0x6261683;:0;MOV	-0x448(%RBP),%RSI;
0x626168a;:0;CALL	763d1f0 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime6GetFLRERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEE@plt>;
0x626168f;:0;TEST	%RAX,%RAX;
0x6261692;:0;MOV	$0,%R15D;
0x6261698;:0;MOV	0x14af8b1(%RIP),%R12;
0x626169f;:0;JE	62616d4 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x404>;
0x62616a1;:0;MOV	%RAX,%R14;
0x62616a4;:0;MOVB	$0,-0xf8(%RBP);
0x62616ab;:0;MOV	(%RAX),%RAX;
0x62616ae;:0;MOV	%R14,%RDI;
0x62616b1;:0;CALLQ	0x68(%RAX);
0x62616b4;:0;MOV	(%RAX),%RCX;
0x62616b7;:0;MOV	%RAX,%RDI;
0x62616ba;:0;CALLQ	0x20(%RCX);
0x62616bd;:0;TEST	%RAX,%RAX;
0x62616c0;:0;JE	62618a7 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x5d7>;
0x62616c6;:0;MOV	(%R14),%RAX;
0x62616c9;:0;MOV	%R14,%RDI;
0x62616cc;:0;CALLQ	0x78(%RAX);
0x62616cf;:0;JMP	62618b2 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x5e2>;
0x62616d4;:0;MOVB	$0x1,-0xf8(%RBP);
0x62616db;:0;MOVZX	0x154b3ae(%RIP),%EAX;
0x62616e2;:0;TEST	%AL,%AL;
0x62616e4;:0;JE	62621ab <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0xedb>;
0x62616ea;:0;CMPB	$0,0x154b397(%RIP);
0x62616f1;:0;LEA	-0x500(%RBP),%RBX;
0x62616f8;:0;JNE	626201b <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0xd4b>;
0x62616fe;:0;VXORPS	%XMM0,%XMM0,%XMM0;
0x6261702;:0;VMOVAPS	%XMM0,-0x2f0(%RBP);
0x626170a;:0;MOVQ	$0,-0x2e0(%RBP);
0x6261715;:0;MOVQ	$0,-0x90(%RBP);
0x6261720;:0;MOVB	$0,-0x88(%RBP);
0x6261727;:0;MOV	-0x418(%RBP),%RAX;
0x626172e;:0;MOVQ	$0,(%RAX);
0x6261735;:0;VMOVAPS	%XMM0,-0x60(%RBP);
0x626173a;:0;MOVQ	$0,-0x50(%RBP);
0x6261742;:0;MOV	-0x4b0(%RBP),%RCX;
0x6261749;:0;MOV	-0x4a8(%RBP),%R8;
0x6261750;:0;SUB	%RCX,%R8;
0x6261753;:0;SAR	$0x3,%R8;
0x6261757;:0;MOV	$-0x3333333333333333,%RDX;
0x6261761;:0;IMUL	%RDX,%R8;
0x6261765;:0;LEA	-0x90(%RBP),%RDX;
0x626176c;:0;MOV	%RDX,-0x500(%RBP);
0x6261773;:0;MOV	%RAX,-0x4f8(%RBP);
0x626177a;:0;LEA	0xc4bf(%RIP),%RAX;
0x6261781;:0;MOV	%RAX,-0x4e8(%RBP);
0x6261788;:0;LEA	0xc4e1(%RIP),%RAX;
0x626178f;:0;MOV	%RAX,-0x4f0(%RBP);
0x6261796;:0;MOV	-0x470(%RBP),%RDI;
0x626179d;:0;LEA	-0x168(%RBP),%RSI;
0x62617a4;:0;MOV	-0x410(%RBP),%RDX;
0x62617ab;:0;LEA	-0x60(%RBP),%R9;
0x62617af;:0;PUSH	%RBX;
0x62617b0;:0;PUSH	%R13;
0x62617b2;:0;CALL	763d870 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime11RunInternalERKNS_22FunctionLibraryRuntime7OptionsEmN4absl12lts_202308024SpanIKSt7variantIJNS_6TensorEPNS_5eager18RemoteTensorHandleEEEEEPSt6vectorIS8_IJS9_NS_11TensorShapeEEESaISI_EEPSG_ISt10unique_ptrINS0_11CleanUpItemESt14default_deleteISN_EESaISQ_EESt8functionIFvRKNS6_6StatusEEE@plt>;
0x62617b7;:0;ADD	$0x10,%RSP;
0x62617bb;:0;MOV	-0x4f0(%RBP),%RAX;
0x62617c2;:0;TEST	%RAX,%RAX;
0x62617c5;:0;JE	62617d4 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x504>;
0x62617c7;:0;MOV	%RBX,%RDI;
0x62617ca;:0;MOV	%RBX,%RSI;
0x62617cd;:0;MOV	$0x3,%EDX;
0x62617d2;:0;CALL	%RAX;
0x62617d4;:0;LEA	-0x90(%RBP),%RDI;
0x62617db;:0;CALL	7633470 <_ZNK4absl12lts_2023080212Notification19WaitForNotificationEv@plt>;
0x62617e0;:0;MOV	-0x60(%RBP),%RBX;
0x62617e4;:0;MOV	-0x58(%RBP),%R14;
0x62617e8;:0;CMP	%R14,%RBX;
0x62617eb;:0;JE	6261834 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x564>;
0x62617ed;:0;LEA	-0x3e8(%RBP),%R13;
0x62617f4;:0;NOPW	%CS:(%RAX,%RAX,1);
0x6261800;:0;MOVZX	0x20(%RBX),%EAX;  (5406) 
0x6261804;:0;LEA	0x1(%RAX),%RCX;  (5406) 
0x6261808;:0;CMP	$0xff,%RAX;  (5406) 
0x626180e;:0;CMOVE	%R15,%RCX;  (5406) 
0x6261812;:0;MOV	%R13,%RDI;  (5406) 
0x6261815;:0;MOV	%RBX,%RSI;  (5406) 
0x6261818;:0;CALLQ	(%R12,%RCX,8);  (5406) 
0x626181c;:0;MOVB	$-0x1,0x20(%RBX);  (5406) 
0x6261820;:0;ADD	$0x28,%RBX;  (5406) 
0x6261824;:0;CMP	%R14,%RBX;  (5406) 
0x6261827;:0;JNE	6261800 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x530>;  (5406) 
0x6261829;:0;MOV	-0x60(%RBP),%RBX;
0x626182d;:0;LEA	-0x2f0(%RBP),%R13;
0x6261834;:0;TEST	%RBX,%RBX;
0x6261837;:0;JE	6261841 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x571>;
0x6261839;:0;MOV	%RBX,%RDI;
0x626183c;:0;CALL	7632540 <_ZdlPv@plt>;
0x6261841;:0;LEA	-0x90(%RBP),%RDI;
0x6261848;:0;CALL	7633480 <_ZN4absl12lts_2023080212NotificationD1Ev@plt>;
0x626184d;:0;MOV	-0x2f0(%RBP),%RBX;
0x6261854;:0;MOV	-0x2e8(%RBP),%R15;
0x626185b;:0;CMP	%R15,%RBX;
0x626185e;:0;JNE	626188c <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x5bc>;
0x6261860;:0;JMP	62619fb <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x72b>;
0x6261870;:0;MOV	%R14,%RDI;  (5405) 
0x6261873;:0;CALL	7632540 <_ZdlPv@plt>;  (5405) 
0x6261878;:0;MOVQ	$0,(%RBX);  (5405) 
0x626187f;:0;ADD	$0x8,%RBX;  (5405) 
0x6261883;:0;CMP	%R15,%RBX;  (5405) 
0x6261886;:0;JE	62619f4 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x724>;  (5405) 
0x626188c;:0;MOV	(%RBX),%R14;  (5405) 
0x626188f;:0;TEST	%R14,%R14;  (5405) 
0x6261892;:0;JE	6261878 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x5a8>;  (5405) 
0x6261894;:0;MOV	(%R14),%RDI;  (5405) 
0x6261897;:0;LEA	0x10(%R14),%RAX;  (5405) 
0x626189b;:0;CMP	%RAX,%RDI;  (5405) 
0x626189e;:0;JE	6261870 <_ZNK10tensorflow29ProcessFunctionLibraryRuntime18RunMultiDeviceSyncERKNS_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS_6TensorENS_11TensorShapeEEESaIS9_EESt8functionIFN4absl12lts_202308026StatusERKNS0_21ComponentFunctionDataEPNS0_12InternalArgsEEE+0x5a0>;  (5405) 
