address;source_location;insn;indent
0x62c2f00;:0;PUSH	%RBP;
0x62c3096;:0;CALL	7633c20 <_ZN10tensorflow9LogMemory9IsEnabledEv@plt>;    (6565) 
0x62c309b;:0;MOV	%AL,0x9(%R13);    (6565) 
0x62c309f;:0;MOV	(%R14),%RAX;    (6565) 
0x62c30a2;:0;MOV	%RAX,0x10(%R13);    (6565) 
0x62c30a6;:0;CMPB	$0,0x10(%R14);    (6565) 
0x62c30ab;:0;JE	62c30b1 <_ZN10tensorflow12_GLOBAL__N_112ExecutorImpl16RunAsyncInternalERKNS_8Executor4ArgsESt8functionIFvRKN4absl12lts_202308026StatusEEE+0x1b1>;    (6565) 
0x62c30ad;:0;MOV	0x8(%R14),%RAX;    (6565) 
0x62c30b1;:0;MOV	%RAX,0x18(%R13);    (6565) 
0x62c30b5;:0;MOV	0x90(%R14),%RAX;    (6565) 
0x62c30bc;:0;MOV	%RAX,0x20(%R13);    (6565) 
0x62c30c0;:0;VMOVUPS	0x98(%R14),%XMM0;    (6565) 
0x62c30c9;:0;VMOVUPS	%XMM0,0x28(%R13);    (6565) 
0x62c30cf;:0;VMOVUPS	0x38(%R14),%XMM0;    (6565) 
0x62c30d5;:0;VMOVSD	0x78(%R14),%XMM1;    (6565) 
0x62c30db;:0;VMOVSD	0x18(%R14),%XMM2;    (6565) 
0x62c30e1;:0;VMOVLHPS	%XMM1,%XMM2,%XMM1;    (6565) 
0x62c30e5;:0;VMOVUPS	%XMM0,0x48(%R13);    (6565) 
0x62c30eb;:0;VMOVUPS	%XMM1,0x38(%R13);    (6565) 
0x62c30f1;:0;LEA	0x68(%R13),%R15;    (6565) 
0x62c30f5;:0;MOV	%R15,0x58(%R13);    (6565) 
0x62c30f9;:0;MOV	0x48(%R14),%RSI;    (6565) 
0x62c30fd;:0;MOV	0x50(%R14),%R12;    (6565) 
0x62c3101;:0;MOV	%R12,-0x140(%RBP);    (6565) 
0x62c3108;:0;CMP	$0x10,%R12;    (6565) 
0x62c310c;:0;JB	62c3141 <_ZN10tensorflow12_GLOBAL__N_112ExecutorImpl16RunAsyncInternalERKNS_8Executor4ArgsESt8functionIFvRKN4absl12lts_202308026StatusEEE+0x241>;    (6565) 
0x62c310e;:0;LEA	0x58(%R13),%RBX;    (6565) 
0x62c3112;:0;MOV	%RSI,-0x188(%RBP);    (6565) 
0x62c3119;:0;LEA	-0x140(%RBP),%RSI;    (6565) 
0x62c3120;:0;MOV	%RBX,%RDI;    (6565) 
0x62c3123;:0;XOR	%EDX,%EDX;    (6565) 
0x62c3125;:0;CALL	76324f0 <_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE9_M_createERmm@plt>;    (6565) 
0x62c312a;:0;MOV	-0x188(%RBP),%RSI;    (6565) 
0x62c3131;:0;MOV	%RAX,(%RBX);    (6565) 
0x62c3134;:0;MOV	-0x140(%RBP),%RCX;    (6565) 
0x62c313b;:0;MOV	%RCX,(%R15);    (6565) 
0x62c313e;:0;MOV	%RAX,%R15;    (6565) 
0x62c3141;:0;TEST	%R12,%R12;    (6565) 
0x62c3144;:0;JE	62c3383 <_ZN10tensorflow12_GLOBAL__N_112ExecutorImpl16RunAsyncInternalERKNS_8Executor4ArgsESt8functionIFvRKN4absl12lts_202308026StatusEEE+0x483>;    (6565) 
0x62c314a;:0;CMP	$0x1,%R12;    (6565) 
0x62c314e;:0;JNE	62c3378 <_ZN10tensorflow12_GLOBAL__N_112ExecutorImpl16RunAsyncInternalERKNS_8Executor4ArgsESt8functionIFvRKN4absl12lts_202308026StatusEEE+0x478>;    (6565) 
0x62c3154;:0;MOVZX	(%RSI),%EAX;    (6565) 
0x62c3157;:0;MOV	%AL,(%R15);    (6565) 
0x62c315a;:0;JMP	62c3383 <_ZN10tensorflow12_GLOBAL__N_112ExecutorImpl16RunAsyncInternalERKNS_8Executor4ArgsESt8functionIFvRKN4absl12lts_202308026StatusEEE+0x483>;    (6565) 
0x62c315f;:0;MOV	$0x1e0,%EDI;
0x62c3164;:0;CALL	76325c0 <_Znwm@plt>;
0x62c3169;:0;MOV	%RAX,%R13;
0x62c316c;:0;MOVQ	$0,(%RAX);
0x62c3173;:0;MOVZX	0x14ea556(%RIP),%EAX;
0x62c317a;:0;TEST	%AL,%AL;
0x62c317c;:0;JE	62c41b2 <_ZN10tensorflow12_GLOBAL__N_112ExecutorImpl16RunAsyncInternalERKNS_8Executor4ArgsESt8functionIFvRKN4absl12lts_202308026StatusEEE+0x12b2>;
0x62c3182;:0;MOVZX	0x14ea53f(%RIP),%EAX;
0x62c3189;:0;MOV	%AL,0x8(%R13);
0x62c318d;:0;CALL	7633c20 <_ZN10tensorflow9LogMemory9IsEnabledEv@plt>;
0x62c3192;:0;MOV	%AL,0x9(%R13);
0x62c3196;:0;MOV	(%R14),%RAX;
0x62c3199;:0;MOV	%RAX,0x10(%R13);
0x62c319d;:0;CMPB	$0,0x10(%R14);
0x62c31a2;:0;JE	62c31a8 <_ZN10tensorflow12_GLOBAL__N_112ExecutorImpl16RunAsyncInternalERKNS_8Executor4ArgsESt8functionIFvRKN4absl12lts_202308026StatusEEE+0x2a8>;
0x62c31a4;:0;MOV	0x8(%R14),%RAX;
0x62c31a8;:0;MOV	%RAX,0x18(%R13);
0x62c31ac;:0;MOV	0x90(%R14),%RAX;
0x62c31b3;:0;MOV	%RAX,0x20(%R13);
0x62c31b7;:0;VMOVUPS	0x98(%R14),%XMM0;
0x62c31c0;:0;VMOVUPS	%XMM0,0x28(%R13);
0x62c31c6;:0;VMOVUPS	0x38(%R14),%XMM0;
0x62c31cc;:0;VMOVSD	0x78(%R14),%XMM1;
0x62c31d2;:0;VMOVSD	0x18(%R14),%XMM2;
0x62c31d8;:0;VMOVLHPS	%XMM1,%XMM2,%XMM1;
0x62c31dc;:0;VMOVUPS	%XMM0,0x48(%R13);
0x62c31e2;:0;VMOVUPS	%XMM1,0x38(%R13);
0x62c31e8;:0;LEA	0x68(%R13),%R15;
0x62c31ec;:0;MOV	%R15,0x58(%R13);
0x62c31f0;:0;MOV	0x48(%R14),%RSI;
0x62c31f4;:0;MOV	0x50(%R14),%R12;
0x62c31f8;:0;MOV	%R12,-0x140(%RBP);
0x62c31ff;:0;CMP	$0x10,%R12;
0x62c3203;:0;JB	62c3238 <_ZN10tensorflow12_GLOBAL__N_112ExecutorImpl16RunAsyncInternalERKNS_8Executor4ArgsESt8functionIFvRKN4absl12lts_202308026StatusEEE+0x338>;
0x62c3205;:0;LEA	0x58(%R13),%RBX;
0x62c3209;:0;MOV	%RSI,-0x188(%RBP);
0x62c3210;:0;LEA	-0x140(%RBP),%RSI;
0x62c3217;:0;MOV	%RBX,%RDI;
0x62c321a;:0;XOR	%EDX,%EDX;
0x62c321c;:0;CALL	76324f0 <_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE9_M_createERmm@plt>;
0x62c3221;:0;MOV	-0x188(%RBP),%RSI;
0x62c3228;:0;MOV	%RAX,(%RBX);
0x62c322b;:0;MOV	-0x140(%RBP),%RCX;
0x62c3232;:0;MOV	%RCX,(%R15);
0x62c3235;:0;MOV	%RAX,%R15;
0x62c3238;:0;TEST	%R12,%R12;
0x62c323b;:0;JE	62c386f <_ZN10tensorflow12_GLOBAL__N_112ExecutorImpl16RunAsyncInternalERKNS_8Executor4ArgsESt8functionIFvRKN4absl12lts_202308026StatusEEE+0x96f>;
0x62c3241;:0;CMP	$0x1,%R12;
0x62c3245;:0;JNE	62c3864 <_ZN10tensorflow12_GLOBAL__N_112ExecutorImpl16RunAsyncInternalERKNS_8Executor4ArgsESt8functionIFvRKN4absl12lts_202308026StatusEEE+0x964>;
0x62c324b;:0;MOVZX	(%RSI),%EAX;
0x62c324e;:0;MOV	%AL,(%R15);
0x62c3251;:0;JMP	62c386f <_ZN10tensorflow12_GLOBAL__N_112ExecutorImpl16RunAsyncInternalERKNS_8Executor4ArgsESt8functionIFvRKN4absl12lts_202308026StatusEEE+0x96f>;
0x62c3256;:0;MOV	%R13,%RDI;  (6564) 
0x62c3259;:0;MOV	%R12,%RDX;  (6564) 
0x62c325c;:0;CALL	7632500 <memcpy@plt>;  (6564) 
0x62c3261;:0;MOV	-0x190(%RBP),%R12;  (6564) 
0x62c3268;:0;LEA	0x8(%R12),%R13;  (6564) 
0x62c326d;:0;MOV	-0x140(%RBP),%RAX;  (6564) 
0x62c3274;:0;MOV	%RAX,0x60(%R15);  (6564) 
0x62c3278;:0;MOV	0x58(%R15),%RCX;  (6564) 
0x62c327c;:0;MOVB	$0,(%RCX,%RAX,1);  (6564) 
0x62c3280;:0;MOV	0x10(%R12),%RAX;  (6564) 
0x62c3285;:0;ADD	$0x118,%R12;  (6564) 
0x62c328c;:0;MOV	%RAX,0x78(%R15);  (6564) 
0x62c3290;:0;VMOVUPS	0x68(%R14),%XMM0;  (6564) 
0x62c3296;:0;VMOVUPS	%XMM0,0x80(%R15);  (6564) 
0x62c329f;:0;MOV	0x20(%R14),%RAX;  (6564) 
0x62c32a3;:0;MOV	%RAX,0x90(%R15);  (6564) 
0x62c32aa;:0;CALL	763f680 <_ZN3tsl8profiler19threadpool_listener9IsEnabledEv@plt>;  (6564) 
0x62c32af;:0;TEST	%AL,%AL;  (6564) 
0x62c32b1;:0;JE	62c32c0 <_ZN10tensorflow12_GLOBAL__N_112ExecutorImpl16RunAsyncInternalERKNS_8Executor4ArgsESt8functionIFvRKN4absl12lts_202308026StatusEEE+0x3c0>;  (6564) 
0x62c32b3;:0;MOV	0x144ddb6(%RIP),%RAX;  (6564) 
0x62c32ba;:0;MOV	0x10(%RAX),%RAX;  (6564) 
0x62c32be;:0;JMP	62c32c2 <_ZN10tensorflow12_GLOBAL__N_112ExecutorImpl16RunAsyncInternalERKNS_8Executor4ArgsESt8functionIFvRKN4absl12lts_202308026StatusEEE+0x3c2>;  (6564) 
0x62c32c0;:0;XOR	%EAX,%EAX;  (6564) 
0x62c32c2;:0;MOV	%RAX,0x98(%R15);  (6564) 
0x62c32c9;:0;MOV	$0x18,%EDI;  (6564) 
0x62c32ce;:0;CALL	76325c0 <_Znwm@plt>;  (6564) 
0x62c32d3;:0;MOV	%RAX,%RBX;  (6564) 
0x62c32d6;:0;MOV	%RAX,%RDI;  (6564) 
0x62c32d9;:0;CALL	763f690 <_ZN10tensorflow10checkpoint29TensorSliceReaderCacheWrapperC1Ev@plt>;  (6564) 
0x62c32de;:0;MOV	%RBX,0xa8(%R15);  (6564) 
0x62c32e5;:0;MOV	0x28(%R14),%RAX;  (6564) 
0x62c32e9;:0;MOV	%RAX,0xb0(%R15);  (6564) 
0x62c32f0;:0;MOV	%R13,0xb8(%R15);  (6564) 
0x62c32f7;:0;MOV	%R12,0xc0(%R15);  (6564) 
0x62c32fe;:0;MOV	0x30(%R14),%RAX;  (6564) 
0x62c3302;:0;MOV	%RAX,0xc8(%R15);  (6564) 
0x62c3309;:0;MOV	0x88(%R14),%RAX;  (6564) 
0x62c3310;:0;MOV	%RAX,0xd0(%R15);  (6564) 
0x62c3317;:0;MOVB	$0,0xf0(%R15);  (6564) 
0x62c331f;:0;CMPB	$0,0xc0(%R14);  (6564) 
0x62c3327;:0;JE	62c34ad <_ZN10tensorflow12_GLOBAL__N_112ExecutorImpl16RunAsyncInternalERKNS_8Executor4ArgsESt8functionIFvRKN4absl12lts_202308026StatusEEE+0x5ad>;  (6564) 
0x62c332d;:0;MOV	0x144d594(%RIP),%RAX;  (6564) 
0x62c3334;:0;ADD	$0x10,%RAX;  (6564) 
0x62c3338;:0;MOV	%RAX,0xd8(%R15);  (6564) 
0x62c333f;:0;MOV	0xb8(%R14),%RAX;  (6564) 
0x62c3346;:0;VMOVUPS	0xb0(%R14),%XMM0;  (6564) 
0x62c334f;:0;VMOVUPS	%XMM0,0xe0(%R15);  (6564) 
0x62c3358;:0;TEST	%RAX,%RAX;  (6564) 
0x62c335b;:0;JE	62c34a5 <_ZN10tensorflow12_GLOBAL__N_112ExecutorImpl16RunAsyncInternalERKNS_8Executor4ArgsESt8functionIFvRKN4absl12lts_202308026StatusEEE+0x5a5>;  (6564) 
0x62c3361;:0;CMPQ	$0,0x144c9f7(%RIP);  (6564) 
0x62c3369;:0;JE	62c34a2 <_ZN10tensorflow12_GLOBAL__N_112ExecutorImpl16RunAsyncInternalERKNS_8Executor4ArgsESt8functionIFvRKN4absl12lts_202308026StatusEEE+0x5a2>;  (6564) 
0x62c336f;:0;LOCK INCL	0x8(%RAX);  (6564) 
0x62c3373;:0;JMP	62c34a5 <_ZN10tensorflow12_GLOBAL__N_112ExecutorImpl16RunAsyncInternalERKNS_8Executor4ArgsESt8functionIFvRKN4absl12lts_202308026StatusEEE+0x5a5>;  (6564) 
0x62c3378;:0;MOV	%R15,%RDI;    (6565) 
0x62c337b;:0;MOV	%R12,%RDX;    (6565) 
0x62c337e;:0;CALL	7632500 <memcpy@plt>;    (6565) 
0x62c3383;:0;MOV	-0x140(%RBP),%RAX;    (6565) 
0x62c338a;:0;MOV	%RAX,0x60(%R13);    (6565) 
0x62c338e;:0;MOV	0x58(%R13),%RCX;    (6565) 
0x62c3392;:0;MOVB	$0,(%RCX,%RAX,1);    (6565) 
0x62c3396;:0;MOV	-0x190(%RBP),%RAX;    (6565) 
0x62c339d;:0;MOV	0x10(%RAX),%RAX;    (6565) 
0x62c33a1;:0;MOV	%RAX,0x78(%R13);    (6565) 
0x62c33a5;:0;VMOVUPS	0x68(%R14),%XMM0;    (6565) 
0x62c33ab;:0;VMOVUPS	%XMM0,0x80(%R13);    (6565) 
0x62c33b4;:0;MOV	0x20(%R14),%RAX;    (6565) 
0x62c33b8;:0;MOV	%RAX,0x90(%R13);    (6565) 
0x62c33bf;:0;CALL	763f680 <_ZN3tsl8profiler19threadpool_listener9IsEnabledEv@plt>;    (6565) 
0x62c33c4;:0;TEST	%AL,%AL;    (6565) 
0x62c33c6;:0;JE	62c33d5 <_ZN10tensorflow12_GLOBAL__N_112ExecutorImpl16RunAsyncInternalERKNS_8Executor4ArgsESt8functionIFvRKN4absl12lts_202308026StatusEEE+0x4d5>;    (6565) 
0x62c33c8;:0;MOV	0x144dca1(%RIP),%RAX;    (6565) 
0x62c33cf;:0;MOV	0x10(%RAX),%RAX;    (6565) 
0x62c33d3;:0;JMP	62c33d7 <_ZN10tensorflow12_GLOBAL__N_112ExecutorImpl16RunAsyncInternalERKNS_8Executor4ArgsESt8functionIFvRKN4absl12lts_202308026StatusEEE+0x4d7>;    (6565) 
0x62c33d5;:0;XOR	%EAX,%EAX;    (6565) 
0x62c33d7;:0;MOV	-0x150(%RBP),%R15;    (6565) 
0x62c33de;:0;MOV	-0x158(%RBP),%R12;    (6565) 
0x62c33e5;:0;MOV	%RAX,0x98(%R13);    (6565) 
0x62c33ec;:0;MOV	$0x18,%EDI;    (6565) 
0x62c33f1;:0;CALL	76325c0 <_Znwm@plt>;    (6565) 
0x62c33f6;:0;MOV	%RAX,%RBX;    (6565) 
0x62c33f9;:0;MOV	%RAX,%RDI;    (6565) 
0x62c33fc;:0;CALL	763f690 <_ZN10tensorflow10checkpoint29TensorSliceReaderCacheWrapperC1Ev@plt>;    (6565) 
0x62c3401;:0;MOV	%RBX,0xa8(%R13);    (6565) 
0x62c3408;:0;MOV	0x28(%R14),%RAX;    (6565) 
0x62c340c;:0;MOV	%RAX,0xb0(%R13);    (6565) 
0x62c3413;:0;MOV	-0x160(%RBP),%RBX;    (6565) 
0x62c341a;:0;MOV	%RBX,0xb8(%R13);    (6565) 
0x62c3421;:0;MOV	%R12,0xc0(%R13);    (6565) 
0x62c3428;:0;MOV	0x30(%R14),%RAX;    (6565) 
0x62c342c;:0;MOV	%RAX,0xc8(%R13);    (6565) 
0x62c3433;:0;MOV	0x88(%R14),%RAX;    (6565) 
0x62c343a;:0;MOV	%RAX,0xd0(%R13);    (6565) 
0x62c3441;:0;MOVB	$0,0xf0(%R13);    (6565) 
0x62c3449;:0;CMPB	$0,0xc0(%R14);    (6565) 
0x62c3451;:0;JE	62c3999 <_ZN10tensorflow12_GLOBAL__N_112ExecutorImpl16RunAsyncInternalERKNS_8Executor4ArgsESt8functionIFvRKN4absl12lts_202308026StatusEEE+0xa99>;    (6565) 
0x62c3457;:0;MOV	0x144d46a(%RIP),%RAX;    (6565) 
0x62c345e;:0;ADD	$0x10,%RAX;    (6565) 
0x62c3462;:0;MOV	%RAX,0xd8(%R13);    (6565) 
0x62c3469;:0;MOV	0xb8(%R14),%RAX;    (6565) 
0x62c3470;:0;VMOVUPS	0xb0(%R14),%XMM0;    (6565) 
0x62c3479;:0;VMOVUPS	%XMM0,0xe0(%R13);    (6565) 
0x62c3482;:0;TEST	%RAX,%RAX;    (6565) 
0x62c3485;:0;JE	62c3991 <_ZN10tensorflow12_GLOBAL__N_112ExecutorImpl16RunAsyncInternalERKNS_8Executor4ArgsESt8functionIFvRKN4absl12lts_202308026StatusEEE+0xa91>;    (6565) 
0x62c348b;:0;CMPQ	$0,0x144c8cd(%RIP);    (6565) 
0x62c3493;:0;JE	62c398e <_ZN10tensorflow12_GLOBAL__N_112ExecutorImpl16RunAsyncInternalERKNS_8Executor4ArgsESt8functionIFvRKN4absl12lts_202308026StatusEEE+0xa8e>;    (6565) 
0x62c3499;:0;LOCK INCL	0x8(%RAX);    (6565) 
0x62c349d;:0;JMP	62c3991 <_ZN10tensorflow12_GLOBAL__N_112ExecutorImpl16RunAsyncInternalERKNS_8Executor4ArgsESt8functionIFvRKN4absl12lts_202308026StatusEEE+0xa91>;    (6565) 
0x62c34a2;:0;INCL	0x8(%RAX);  (6564) 
0x62c34a5;:0;MOVB	$0x1,0xf0(%R15);  (6564) 
0x62c34ad;:0;MOVQ	$0,0xf8(%R15);  (6564) 
0x62c34b8;:0;MOVQ	$0,0x110(%R15);  (6564) 
0x62c34c3;:0;MOV	0xe0(%R14),%RAX;  (6564) 
0x62c34ca;:0;TEST	%RAX,%RAX;  (6564) 
0x62c34cd;:0;JE	62c34f6 <_ZN10tensorflow12_GLOBAL__N_112ExecutorImpl16RunAsyncInternalERKNS_8Executor4ArgsESt8functionIFvRKN4absl12lts_202308026StatusEEE+0x5f6>;  (6564) 
0x62c34cf;:0;LEA	0xd0(%R14),%RSI;  (6564) 
0x62c34d6;:0;LEA	0x100(%R15),%RDI;  (6564) 
0x62c34dd;:0;MOV	$0x2,%EDX;  (6564) 
0x62c34e2;:0;CALL	%RAX;  (6564) 
0x62c34e4;:0;VMOVUPS	0xe0(%R14),%XMM0;  (6564) 
0x62c34ed;:0;VMOVUPS	%XMM0,0x110(%R15);  (6564) 
0x62c34f6;:0;MOVZX	0xc8(%R14),%EAX;  (6564) 
0x62c34fe;:0;MOV	%AL,0x120(%R15);  (6564) 
0x62c3505;:0;MOVZX	0xf0(%R14),%EAX;  (6564) 
0x62c350d;:0;MOV	%AL,0x121(%R15);  (6564) 
0x62c3514;:0;LEA	0x128(%R15),%R12;  (6564) 
0x62c351b;:0;MOV	0x10(%R15),%RDX;  (6564) 
0x62c351f;:0;MOVZX	0x8(%R15),%ECX;  (6564) 
0x62c3524;:0;MOV	%R12,%RDI;  (6564) 
0x62c3527;:0;MOV	%R13,%RSI;  (6564) 
0x62c352a;:0;CALL	763f6a0 <_ZN10tensorflow15PropagatorStateC2ERKNS_22ImmutableExecutorStateElb@plt>;  (6564) 
0x62c352f;:0;MOVQ	$0,0x188(%R15);  (6564) 
0x62c353a;:0;MOVQ	$0,0x198(%R15);  (6564) 
0x62c3545;:0;LEA	0x1a0(%R15),%RDI;  (6564) 
0x62c354c;:0;CALL	76328b0 <_ZN3tsl5mutexC1Ev@plt>;  (6564) 
0x62c3551;:0;MOVQ	$0,0x1b0(%R15);  (6564) 
0x62c355c;:0;MOVB	$0,0x1b8(%R15);  (6564) 
0x62c3564;:0;MOV	%R15,%RDI;  (6564) 
0x62c3567;:0;ADD	$0x1c0,%RDI;  (6564) 
0x62c356e;:0;CALL	76328b0 <_ZN3tsl5mutexC1Ev@plt>;  (6564) 
0x62c3573;:0;MOVQ	$0,0x1d0(%R15);  (6564) 
0x62c357e;:0;CMPQ	$0,0x80(%R14);  (6564) 
0x62c3586;:0;JE	62c35f9 <_ZN10tensorflow12_GLOBAL__N_112ExecutorImpl16RunAsyncInternalERKNS_8Executor4ArgsESt8functionIFvRKN4absl12lts_202308026StatusEEE+0x6f9>;  (6564) 
0x62c3588;:0;MOV	0xb8(%R15),%RAX;  (6564) 
0x62c358f;:0;MOV	(%RAX),%RBX;  (6564) 
0x62c3592;:0;MOV	(%RBX),%RAX;  (6564) 
0x62c3595;:0;MOV	%RBX,%RDI;  (6564) 
0x62c3598;:0;CALLQ	0x80(%RAX);  (6564) 
