address;source_location;insn;indent
0x62dce0f;:0;CMPB	$0,0x14d0a92(%RIP);
0x62dceca;:0;JNE	62dd06f <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x45f>;
0x62dced0;:0;CMP	$0x2,%R12;
0x62dced4;:0;JAE	62dd087 <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x477>;
0x62dceda;:0;TEST	%RAX,%RAX;
0x62dcedd;:0;JE	62dceeb <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x2db>;
0x62dcedf;:0;MOV	-0x158(%RBP),%RDI;
0x62dcee6;:0;CALL	7632540 <_ZdlPv@plt>;
0x62dceeb;:0;MOVQ	$0,-0x160(%RBP);
0x62dcef6;:0;LEA	-0x70(%RBP),%RSI;
0x62dcefa;:0;LEA	-0x2e8(%RBP),%RDX;
0x62dcf01;:0;MOV	%RBX,%RDI;
0x62dcf04;:0;MOV	%R14,%RCX;
0x62dcf07;:0;XOR	%R8D,%R8D;
0x62dcf0a;:0;CALL	62db3d0 <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE8NodeDoneERKN4absl12lts_202308026StatusEPNS5_13InlinedVectorINS2_10TaggedNodeELm8ESaISA_EEEPNS_22NodeExecStatsInterfaceEPNS2_20TaggedNodeReadyQueueE>;
0x62dcf0f;:0;MOV	%EAX,%R14D;
0x62dcf12;:0;MOV	0x8(%R13),%R15;
0x62dcf16;:0;TEST	%R15,%R15;
0x62dcf19;:0;JE	62dcfd4 <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x3c4>;
0x62dcf1f;:0;LEA	0x230(%R15),%RDI;
0x62dcf26;:0;CALL	763e810 <_ZN10tensorflow15OpKernelContextD1Ev@plt>;
0x62dcf2b;:0;MOV	0xa0(%R15),%RDI;
0x62dcf32;:0;TEST	%RDI,%RDI;
0x62dcf35;:0;JE	62dcf3d <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x32d>;
0x62dcf37;:0;MOV	(%RDI),%RAX;
0x62dcf3a;:0;CALLQ	0x8(%RAX);
0x62dcf3d;:0;CMPB	$0,0x200(%R15);
0x62dcf45;:0;JE	62dcf5b <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x34b>;
0x62dcf47;:0;LEA	0x1e8(%R15),%RDI;
0x62dcf4e;:0;MOVB	$0,0x200(%R15);
0x62dcf56;:0;CALL	763a530 <_ZN10tensorflow17ManagedStackTraceD2Ev@plt>;
0x62dcf5b;:0;MOV	0x1d8(%R15),%RAX;
0x62dcf62;:0;TEST	%RAX,%RAX;
0x62dcf65;:0;JE	62dcf78 <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x368>;
0x62dcf67;:0;LEA	0x1c8(%R15),%RDI;
0x62dcf6e;:0;MOV	%RDI,%RSI;
0x62dcf71;:0;MOV	$0x3,%EDX;
0x62dcf76;:0;CALL	%RAX;
0x62dcf78;:0;MOV	0x1b8(%R15),%RAX;
0x62dcf7f;:0;TEST	%RAX,%RAX;
0x62dcf82;:0;JE	62dcf95 <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x385>;
0x62dcf84;:0;LEA	0x1a8(%R15),%RDI;
0x62dcf8b;:0;MOV	%RDI,%RSI;
0x62dcf8e;:0;MOV	$0x3,%EDX;
0x62dcf93;:0;CALL	%RAX;
0x62dcf95;:0;MOV	0xe8(%R15),%RDI;
0x62dcf9c;:0;LEA	0xf8(%R15),%RAX;
0x62dcfa3;:0;CMP	%RAX,%RDI;
0x62dcfa6;:0;JE	62dcfad <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x39d>;
0x62dcfa8;:0;CALL	7632540 <_ZdlPv@plt>;
0x62dcfad;:0;TESTB	$0x1,0x48(%R15);
0x62dcfb2;:0;JE	62dcfbd <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x3ad>;
0x62dcfb4;:0;MOV	0x50(%R15),%RDI;
0x62dcfb8;:0;CALL	7632540 <_ZdlPv@plt>;
0x62dcfbd;:0;TESTB	$0x1,(%R15);
0x62dcfc1;:0;JE	62dcfcc <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x3bc>;
0x62dcfc3;:0;MOV	0x8(%R15),%RDI;
0x62dcfc7;:0;CALL	7632540 <_ZdlPv@plt>;
0x62dcfcc;:0;MOV	%R15,%RDI;
0x62dcfcf;:0;CALL	7632540 <_ZdlPv@plt>;
0x62dcfd4;:0;TEST	%R14B,%R14B;
0x62dcfd7;:0;JE	62dd005 <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x3f5>;
0x62dcfd9;:0;LEA	0x1a8(%RBX),%R14;
0x62dcfe0;:0;MOV	%R14,%RDI;
0x62dcfe3;:0;CALL	7632630 <_ZN3tsl5mutex4lockEv@plt>;
0x62dcfe8;:0;CMPQ	$0,0x1b8(%RBX);
0x62dcff0;:0;JLE	62dd0e5 <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x4d5>;
0x62dcff6;:0;MOVB	$0x1,0x1c0(%RBX);
0x62dcffd;:0;MOV	%R14,%RDI;
0x62dd000;:0;CALL	76326d0 <_ZN3tsl5mutex6unlockEv@plt>;
0x62dd005;:0;TESTB	$0x1,-0x2e8(%RBP);
0x62dd00c;:0;JE	62dd01a <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x40a>;
0x62dd00e;:0;MOV	-0x2e0(%RBP),%RDI;
0x62dd015;:0;CALL	7632540 <_ZdlPv@plt>;
0x62dd01a;:0;MOV	-0x70(%RBP),%RDI;
0x62dd01e;:0;TEST	$0x1,%DIL;
0x62dd022;:0;JE	62dd029 <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x419>;
0x62dd024;:0;CALL	7632530 <_ZN4absl12lts_202308026Status15UnrefNonInlinedEm@plt>;
0x62dd029;:0;CMPQ	$0,-0x160(%RBP);
0x62dd031;:0;JE	62dd03f <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x42f>;
0x62dd033;:0;LEA	-0x160(%RBP),%RDI;
0x62dd03a;:0;CALL	763f8b0 <_ZN4absl12lts_2023080223inlined_vector_internal7StorageIN10tensorflow5EntryELm4ESaIS4_EE15DestroyContentsEv@plt>;
0x62dd03f;:0;CMPQ	$0,-0x78(%RBP);
0x62dd044;:0;JNE	62dd3a5 <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x795>;
0x62dd04a;:0;MOV	%FS:0x28,%RAX;
0x62dd053;:0;CMP	-0x30(%RBP),%RAX;
0x62dd057;:0;JNE	62dd615 <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0xa05>;
0x62dd06f;:0;MOV	-0x158(%RBP),%RCX;
0x62dd076;:0;MOV	%RCX,-0x2f0(%RBP);
0x62dd07d;:0;CMP	$0x2,%R12;
0x62dd081;:0;JB	62dceda <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x2ca>;
0x62dd087;:0;SHR	$0x1,%R12;
0x62dd08a;:0;LEA	(%R12,%R12,2),%RAX;
0x62dd08e;:0;SAL	$0x4,%RAX;
0x62dd092;:0;MOV	-0x2f0(%RBP),%RCX;
0x62dd099;:0;LEA	(%RAX,%RCX,1),%R15;
0x62dd09d;:0;ADD	$-0x30,%R15;
0x62dd0a1;:0;JMP	62dd0bc <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x4ac>;
0x62dd0b0;:0;DEC	%R12;  (6688) 
0x62dd0b3;:0;ADD	$-0x30,%R15;  (6688) 
0x62dd0b7;:0;TEST	%R12,%R12;  (6688) 
0x62dd0ba;:0;JE	62dd0cd <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x4bd>;  (6688) 
0x62dd0bc;:0;CMPL	$0x1,0x20(%R15);  (6688) 
0x62dd0c1;:0;JNE	62dd0b0 <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x4a0>;  (6688) 
0x62dd0c3;:0;MOV	%R15,%RDI;  (6688) 
0x62dd0c6;:0;CALL	76326c0 <_ZN10tensorflow6TensorD1Ev@plt>;  (6688) 
0x62dd0cb;:0;JMP	62dd0b0 <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x4a0>;  (6688) 
0x62dd0cd;:0;MOV	-0x160(%RBP),%RAX;
0x62dd0d4;:0;AND	$0x1,%EAX;
0x62dd0d7;:0;TEST	%RAX,%RAX;
0x62dd0da;:0;JNE	62dcedf <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x2cf>;
0x62dd0e0;:0;JMP	62dceeb <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x2db>;
0x62dd0e5;:0;MOV	%R14,%RDI;
0x62dd0e8;:0;CALL	76326d0 <_ZN3tsl5mutex6unlockEv@plt>;
0x62dd0ed;:0;MOV	%RBX,%RDI;
0x62dd0f0;:0;CALL	62db770 <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE6FinishEv>;
0x62dd0f5;:0;TESTB	$0x1,-0x2e8(%RBP);
0x62dd0fc;:0;JNE	62dd00e <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x3fe>;
0x62dd102;:0;JMP	62dd01a <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x40a>;
0x62dd333;:0;MOV	0x1433d8e(%RIP),%RAX;
0x62dd33a;:0;MOVZX	(%RAX),%EAX;
0x62dd33d;:0;TEST	%AL,%AL;
0x62dd33f;:0;JE	62dd65b <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0xa4b>;
0x62dd345;:0;MOV	0x1433d84(%RIP),%RAX;
0x62dd34c;:0;CMPB	$0,(%RAX);
0x62dd34f;:0;JE	62dce7a <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x26a>;
0x62dd355;:0;LEA	0x160(%RBX),%R15;
0x62dd35c;:0;MOV	%R15,%RDI;
0x62dd35f;:0;CALL	7632630 <_ZN3tsl5mutex4lockEv@plt>;
0x62dd364;:0;MOV	0x170(%RBX),%RAX;
0x62dd36b;:0;MOV	0x218(%R12),%RCX;
0x62dd373;:0;MOVSXD	(%RCX),%RCX;
0x62dd376;:0;MOV	(%RAX),%RAX;
0x62dd379;:0;MOV	%RCX,%RDX;
0x62dd37c;:0;MOV	$-0x2,%RSI;
0x62dd383;:0;ROL	%CL,%RSI;
0x62dd386;:0;SHR	$0x6,%RDX;
0x62dd38a;:0;AND	%RSI,(%RAX,%RDX,8);
0x62dd38e;:0;MOV	%R15,%RDI;
0x62dd391;:0;CALL	76326d0 <_ZN3tsl5mutex6unlockEv@plt>;
0x62dd396;:0;JMP	62dce7a <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x26a>;
0x62dd39b;:0;CALL	763f7f0 <_ZN10tensorflow16activity_watcher12tfw_internal17RecordActivityEndEm@plt>;
0x62dd3a0;:0;JMP	62dce87 <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x277>;
0x62dd3a5;:0;MOV	0x143367c(%RIP),%RAX;
0x62dd3ac;:0;MOV	(%RAX),%EAX;
0x62dd3ae;:0;LEA	-0x88(%RBP),%RBX;
0x62dd3b5;:0;TEST	%EAX,%EAX;
0x62dd3b7;:0;JLE	62dd5fb <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x9eb>;
0x62dd3bd;:0;LEA	-0x2d8(%RBP),%R14;
0x62dd3c4;:0;MOV	%R14,-0x2e8(%RBP);
0x62dd3cb;:0;MOV	-0x98(%RBP),%RAX;
0x62dd3d2;:0;CMP	%RBX,%RAX;
0x62dd3d5;:0;JE	62dd597 <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x987>;
0x62dd3db;:0;MOV	%RAX,-0x2e8(%RBP);
0x62dd3e2;:0;MOV	-0x88(%RBP),%RAX;
0x62dd3e9;:0;MOV	%RAX,-0x2d8(%RBP);
0x62dd3f0;:0;JMP	62dd5a0 <_ZNSt17_Function_handlerIFvvEZN10tensorflow12_GLOBAL__N_113ExecutorStateINS1_21SimplePropagatorStateEE12ProcessAsyncERKNS1_8NodeItemERKNS1_15OpKernelContext6ParamsERKNS4_10TaggedNodeEPNS1_5EntryEPNS1_22NodeExecStatsInterfaceEmEUlvE1_E9_M_invokeERKSt9_Any_data+0x990>;
0x62dd3f5;:0;LEA	-0x590d79c(%RIP),%RSI;
0x62dd3fc;:0;LEA	-0x2e8(%RBP),%R12;
0x62dd403;:0;MOV	%R12,%RDI;
0x62dd406;:0;MOV	$0x2aa,%EDX;
0x62dd40b;:0;XOR	%ECX,%ECX;
0x62dd40d;:0;CALL	7632c00 <_ZN3tsl8internal10LogMessageC1EPKcii@plt>;
0x62dd412;:0;LEA	-0x594be90(%RIP),%RSI;
0x62dd419;:0;MOV	$0x13,%EDX;
