address;source_location;insn;indent
0x6243450;:0;PUSH	%RBP;
0x6243505;:0;LEA	-0x1d8(%RBP),%RDI;
0x624350c;:0;MOV	%RDI,%RSI;
0x624350f;:0;MOV	$0x3,%EDX;
0x6243514;:0;CALL	%RAX;
0x6243516;:0;MOV	-0x300(%RBP),%R14;
0x624351d;:0;MOV	-0x2f8(%RBP),%RBX;
0x6243524;:0;CMP	%RBX,%R14;
0x6243527;:0;MOV	%R15,-0x328(%RBP);
0x624352e;:0;JE	6243920 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x4d0>;
0x6243534;:0;XOR	%EAX,%EAX;
0x6243536;:0;MOV	%RAX,-0x2e0(%RBP);
0x624353d;:0;MOV	%RBX,-0x2d8(%RBP);
0x6243544;:0;JMP	624355d <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x10d>;
0x6243546;:0;NOPW	%CS:(%RAX,%RAX,1);
0x6243550;:0;ADD	$0x8,%R14;(5138) 
0x6243554;:0;CMP	%RBX,%R14;(5138) 
0x6243557;:0;JE	6243929 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x4d9>;(5138) 
0x624355d;:0;MOV	(%R14),%R12;(5138) 
0x6243560;:0;CMPL	$0x2,0x10(%R12);(5138) 
0x6243566;:0;JL	6243550 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x100>;(5138) 
0x6243568;:0;MOV	%R15,%RDI;(5138) 
0x624356b;:0;MOV	%R12,%RSI;(5138) 
0x624356e;:0;CALL	763ca40 <_ZN10tensorflow20MklLayoutRewritePass19CanOpRunOnCPUDeviceEPKNS_4NodeE@plt>;(5138) 
0x6243573;:0;TEST	%AL,%AL;(5138) 
0x6243575;:0;JE	6243550 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x100>;(5138) 
0x6243577;:0;MOV	%R15,%RDI;(5138) 
0x624357a;:0;MOV	%R12,%RSI;(5138) 
0x624357d;:0;CALL	763c880 <_ZNK10tensorflow20MklLayoutRewritePass17CheckForNodeMergeEPKNS_4NodeE@plt>;(5138) 
0x6243582;:0;TEST	%RAX,%RAX;(5138) 
0x6243585;:0;JE	6243550 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x100>;(5138) 
0x6243587;:0;MOV	%RAX,%R13;(5138) 
0x624358a;:0;MOV	%R15,%RDI;(5138) 
0x624358d;:0;MOV	%RAX,%RSI;(5138) 
0x6243590;:0;CALL	763ca40 <_ZN10tensorflow20MklLayoutRewritePass19CanOpRunOnCPUDeviceEPKNS_4NodeE@plt>;(5138) 
0x6243595;:0;TEST	%AL,%AL;(5138) 
0x6243597;:0;JE	6243550 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x100>;(5138) 
0x6243599;:0;MOV	%R12,%RDI;(5138) 
0x624359c;:0;CALL	763b610 <_ZNK10tensorflow4Node4nameB5cxx11Ev@plt>;(5138) 
0x62435a1;:0;LEA	-0x240(%RBP),%RCX;(5138) 
0x62435a8;:0;MOV	%RCX,-0x250(%RBP);(5138) 
0x62435af;:0;MOV	(%RAX),%RBX;(5138) 
0x62435b2;:0;MOV	0x8(%RAX),%R15;(5138) 
0x62435b6;:0;MOV	%R15,-0x1d8(%RBP);(5138) 
0x62435bd;:0;MOV	%RCX,%RAX;(5138) 
0x62435c0;:0;CMP	$0x10,%R15;(5138) 
0x62435c4;:0;JB	62435f0 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x1a0>;(5138) 
0x62435c6;:0;LEA	-0x250(%RBP),%RDI;(5138) 
0x62435cd;:0;LEA	-0x1d8(%RBP),%RSI;(5138) 
0x62435d4;:0;XOR	%EDX,%EDX;(5138) 
0x62435d6;:0;CALL	76324f0 <_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE9_M_createERmm@plt>;(5138) 
0x62435db;:0;MOV	%RAX,-0x250(%RBP);(5138) 
0x62435e2;:0;MOV	-0x1d8(%RBP),%RCX;(5138) 
0x62435e9;:0;MOV	%RCX,-0x240(%RBP);(5138) 
0x62435f0;:0;TEST	%R15,%R15;(5138) 
0x62435f3;:0;JE	6243610 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x1c0>;(5138) 
0x62435f5;:0;CMP	$0x1,%R15;(5138) 
0x62435f9;:0;JNE	6243602 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x1b2>;(5138) 
0x62435fb;:0;MOVZX	(%RBX),%ECX;(5138) 
0x62435fe;:0;MOV	%CL,(%RAX);(5138) 
0x6243600;:0;JMP	6243610 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x1c0>;(5138) 
0x6243602;:0;MOV	%RAX,%RDI;(5138) 
0x6243605;:0;MOV	%RBX,%RSI;(5138) 
0x6243608;:0;MOV	%R15,%RDX;(5138) 
0x624360b;:0;CALL	7632500 <memcpy@plt>;(5138) 
0x6243610;:0;MOV	-0x1d8(%RBP),%RAX;(5138) 
0x6243617;:0;MOV	%RAX,-0x248(%RBP);(5138) 
0x624361e;:0;MOV	-0x250(%RBP),%RCX;(5138) 
0x6243625;:0;MOVB	$0,(%RCX,%RAX,1);(5138) 
0x6243629;:0;MOV	%R13,%RDI;(5138) 
0x624362c;:0;CALL	763b610 <_ZNK10tensorflow4Node4nameB5cxx11Ev@plt>;(5138) 
0x6243631;:0;LEA	-0x40(%RBP),%RCX;(5138) 
0x6243635;:0;MOV	%RCX,-0x50(%RBP);(5138) 
0x6243639;:0;MOV	(%RAX),%RBX;(5138) 
0x624363c;:0;MOV	0x8(%RAX),%R15;(5138) 
0x6243640;:0;MOV	%R15,-0x1d8(%RBP);(5138) 
0x6243647;:0;MOV	%RCX,%RAX;(5138) 
0x624364a;:0;CMP	$0x10,%R15;(5138) 
0x624364e;:0;JB	6243671 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x221>;(5138) 
0x6243650;:0;LEA	-0x50(%RBP),%RDI;(5138) 
0x6243654;:0;LEA	-0x1d8(%RBP),%RSI;(5138) 
0x624365b;:0;XOR	%EDX,%EDX;(5138) 
0x624365d;:0;CALL	76324f0 <_ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE9_M_createERmm@plt>;(5138) 
0x6243662;:0;MOV	%RAX,-0x50(%RBP);(5138) 
0x6243666;:0;MOV	-0x1d8(%RBP),%RCX;(5138) 
0x624366d;:0;MOV	%RCX,-0x40(%RBP);(5138) 
0x6243671;:0;TEST	%R15,%R15;(5138) 
0x6243674;:0;JE	6243691 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x241>;(5138) 
0x6243676;:0;CMP	$0x1,%R15;(5138) 
0x624367a;:0;JNE	6243683 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x233>;(5138) 
0x624367c;:0;MOVZX	(%RBX),%ECX;(5138) 
0x624367f;:0;MOV	%CL,(%RAX);(5138) 
0x6243681;:0;JMP	6243691 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x241>;(5138) 
0x6243683;:0;MOV	%RAX,%RDI;(5138) 
0x6243686;:0;MOV	%RBX,%RSI;(5138) 
0x6243689;:0;MOV	%R15,%RDX;(5138) 
0x624368c;:0;CALL	7632500 <memcpy@plt>;(5138) 
0x6243691;:0;MOV	-0x1d8(%RBP),%RAX;(5138) 
0x6243698;:0;MOV	%RAX,-0x48(%RBP);(5138) 
0x624369c;:0;MOV	-0x50(%RBP),%RCX;(5138) 
0x62436a0;:0;MOVB	$0,(%RCX,%RAX,1);(5138) 
0x62436a4;:0;MOVZX	0x1569235(%RIP),%EAX;(5138) 
0x62436ab;:0;TEST	%AL,%AL;(5138) 
0x62436ad;:0;JE	62438a8 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x458>;(5138) 
0x62436b3;:0;CMPB	$0,0x156921e(%RIP);(5138) 
0x62436ba;:0;MOV	-0x328(%RBP),%R15;(5138) 
0x62436c1;:0;LEA	-0x1d8(%RBP),%RBX;(5138) 
0x62436c8;:0;JNE	6243797 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x347>;(5138) 
0x62436ce;:0;MOV	%RBX,%RDI;(5138) 
0x62436d1;:0;MOV	%R15,%RSI;(5138) 
0x62436d4;:0;MOV	-0x2d0(%RBP),%RDX;(5138) 
0x62436db;:0;MOV	%R12,%RCX;(5138) 
0x62436de;:0;MOV	%R13,%R8;(5138) 
0x62436e1;:0;CALL	763c910 <_ZN10tensorflow20MklLayoutRewritePass9MergeNodeEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EEPNS_4NodeES8_@plt>;(5138) 
0x62436e6;:0;MOVQ	$0,-0x320(%RBP);(5138) 
0x62436f1;:0;CMPQ	$0,-0x1d8(%RBP);(5138) 
0x62436f9;:0;JE	6243720 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x2d0>;(5138) 
0x62436fb;:0;MOV	%RBX,%RDI;(5138) 
0x62436fe;:0;LEA	-0x320(%RBP),%RSI;(5138) 
0x6243705;:0;CALL	763c950 <_ZN4absl12lts_202308026Status10EqualsSlowERKS1_S3_@plt>;(5138) 
0x624370a;:0;MOV	%EAX,%EBX;(5138) 
0x624370c;:0;MOV	-0x320(%RBP),%RDI;(5138) 
0x6243713;:0;TEST	$0x1,%DIL;(5138) 
0x6243717;:0;JE	6243722 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x2d2>;(5138) 
0x6243719;:0;CALL	7632530 <_ZN4absl12lts_202308026Status15UnrefNonInlinedEm@plt>;(5138) 
0x624371e;:0;JMP	6243722 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x2d2>;(5138) 
0x6243720;:0;MOV	$0x1,%BL;(5138) 
0x6243722;:0;MOV	-0x1d8(%RBP),%RDI;(5138) 
0x6243729;:0;TEST	$0x1,%DIL;(5138) 
0x624372d;:0;JE	6243734 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x2e4>;(5138) 
0x624372f;:0;CALL	7632530 <_ZN4absl12lts_202308026Status15UnrefNonInlinedEm@plt>;(5138) 
0x6243734;:0;TEST	%BL,%BL;(5138) 
0x6243736;:0;MOV	-0x2d8(%RBP),%RBX;(5138) 
0x624373d;:0;JE	6243764 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x314>;(5138) 
0x624373f;:0;MOVZX	0x15691aa(%RIP),%EAX;(5138) 
0x6243746;:0;TEST	%AL,%AL;(5138) 
0x6243748;:0;JE	62438e4 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x494>;(5138) 
0x624374e;:0;MOV	$0x1,%AL;(5138) 
0x6243750;:0;MOV	%RAX,-0x2e0(%RBP);(5138) 
0x6243757;:0;CMPB	$0,0x156918a(%RIP);(5138) 
0x624375e;:0;JNE	6243826 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x3d6>;(5138) 
0x6243764;:0;MOV	-0x50(%RBP),%RDI;(5138) 
0x6243768;:0;LEA	-0x40(%RBP),%RAX;(5138) 
0x624376c;:0;CMP	%RAX,%RDI;(5138) 
0x624376f;:0;JE	6243776 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x326>;(5138) 
0x6243771;:0;CALL	7632540 <_ZdlPv@plt>;(5138) 
0x6243776;:0;MOV	-0x250(%RBP),%RDI;(5138) 
0x624377d;:0;LEA	-0x240(%RBP),%RAX;(5138) 
0x6243784;:0;CMP	%RAX,%RDI;(5138) 
0x6243787;:0;JE	6243550 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x100>;(5138) 
0x624378d;:0;CALL	7632540 <_ZdlPv@plt>;(5138) 
0x6243792;:0;JMP	6243550 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x100>;(5138) 
0x6243797;:0;MOV	%RBX,%RDI;(5138) 
0x624379a;:0;LEA	-0x5806ded(%RIP),%RSI;(5138) 
0x62437a1;:0;MOV	$0x1001,%EDX;(5138) 
0x62437a6;:0;XOR	%ECX,%ECX;(5138) 
0x62437a8;:0;CALL	7632c00 <_ZN3tsl8internal10LogMessageC1EPKcii@plt>;(5138) 
0x62437ad;:0;MOV	$0x26,%EDX;(5138) 
0x62437b2;:0;MOV	%RBX,%RDI;(5138) 
0x62437b5;:0;LEA	-0x588de2d(%RIP),%RSI;(5138) 
0x62437bc;:0;CALL	7632a30 <_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l@plt>;(5138) 
0x62437c1;:0;MOV	-0x250(%RBP),%RSI;(5138) 
0x62437c8;:0;MOV	-0x248(%RBP),%RDX;(5138) 
0x62437cf;:0;MOV	%RBX,%RDI;(5138) 
0x62437d2;:0;CALL	7632a30 <_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l@plt>;(5138) 
0x62437d7;:0;MOV	%RAX,%RBX;(5138) 
0x62437da;:0;MOV	$0x5,%EDX;(5138) 
0x62437df;:0;MOV	%RAX,%RDI;(5138) 
0x62437e2;:0;LEA	-0x585341b(%RIP),%RSI;(5138) 
0x62437e9;:0;CALL	7632a30 <_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l@plt>;(5138) 
0x62437ee;:0;MOV	-0x50(%RBP),%RSI;(5138) 
0x62437f2;:0;MOV	-0x48(%RBP),%RDX;(5138) 
0x62437f6;:0;MOV	%RBX,%RDI;(5138) 
0x62437f9;:0;LEA	-0x1d8(%RBP),%RBX;(5138) 
0x6243800;:0;CALL	7632a30 <_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l@plt>;(5138) 
0x6243805;:0;MOV	$0xc,%EDX;(5138) 
0x624380a;:0;MOV	%RAX,%RDI;(5138) 
0x624380d;:0;LEA	-0x580c909(%RIP),%RSI;(5138) 
0x6243814;:0;CALL	7632a30 <_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l@plt>;(5138) 
0x6243819;:0;MOV	%RBX,%RDI;(5138) 
0x624381c;:0;CALL	7632c10 <_ZN3tsl8internal10LogMessageD1Ev@plt>;(5138) 
0x6243821;:0;JMP	62436ce <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x27e>;(5138) 
0x6243826;:0;LEA	-0x1d8(%RBP),%R12;(5138) 
0x624382d;:0;MOV	%R12,%RDI;(5138) 
0x6243830;:0;LEA	-0x5806e83(%RIP),%RSI;(5138) 
0x6243837;:0;MOV	$0x1005,%EDX;(5138) 
0x624383c;:0;XOR	%ECX,%ECX;(5138) 
0x624383e;:0;CALL	7632c00 <_ZN3tsl8internal10LogMessageC1EPKcii@plt>;(5138) 
0x6243843;:0;MOV	$0x23,%EDX;(5138) 
0x6243848;:0;MOV	%R12,%RDI;(5138) 
0x624384b;:0;LEA	-0x5887a3d(%RIP),%RSI;(5138) 
0x6243852;:0;CALL	7632a30 <_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l@plt>;(5138) 
0x6243857;:0;MOV	-0x250(%RBP),%RSI;(5138) 
0x624385e;:0;MOV	-0x248(%RBP),%RDX;(5138) 
0x6243865;:0;MOV	%R12,%RDI;(5138) 
0x6243868;:0;CALL	7632a30 <_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l@plt>;(5138) 
0x624386d;:0;MOV	%RAX,%RBX;(5138) 
0x6243870;:0;MOV	$0x5,%EDX;(5138) 
0x6243875;:0;MOV	%RAX,%RDI;(5138) 
0x6243878;:0;LEA	-0x58534b1(%RIP),%RSI;(5138) 
0x624387f;:0;CALL	7632a30 <_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l@plt>;(5138) 
0x6243884;:0;MOV	-0x50(%RBP),%RSI;(5138) 
0x6243888;:0;MOV	-0x48(%RBP),%RDX;(5138) 
0x624388c;:0;MOV	%RBX,%RDI;(5138) 
0x624388f;:0;MOV	-0x2d8(%RBP),%RBX;(5138) 
0x6243896;:0;CALL	7632a30 <_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l@plt>;(5138) 
0x624389b;:0;MOV	%R12,%RDI;(5138) 
0x624389e;:0;CALL	7632c10 <_ZN3tsl8internal10LogMessageD1Ev@plt>;(5138) 
0x62438a3;:0;JMP	6243764 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x314>;(5138) 
0x62438a8;:0;LEA	0x1569031(%RIP),%RDI;(5138) 
0x62438af;:0;CALL	7632c20 <__cxa_guard_acquire@plt>;(5138) 
0x62438b4;:0;TEST	%EAX,%EAX;(5138) 
0x62438b6;:0;JE	62436b3 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x263>;(5138) 
0x62438bc;:0;LEA	-0x5806f0f(%RIP),%RDI;(5138) 
0x62438c3;:0;MOV	$0x1,%ESI;(5138) 
0x62438c8;:0;CALL	7632c30 <_ZN3tsl8internal10LogMessage16VmoduleActivatedEPKci@plt>;(5138) 
0x62438cd;:0;MOV	%AL,0x1569005(%RIP);(5138) 
0x62438d3;:0;LEA	0x1569006(%RIP),%RDI;(5138) 
0x62438da;:0;CALL	7632c40 <__cxa_guard_release@plt>;(5138) 
0x62438df;:0;JMP	62436b3 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x263>;(5138) 
0x62438e4;:0;LEA	0x1569005(%RIP),%RDI;(5138) 
0x62438eb;:0;CALL	7632c20 <__cxa_guard_acquire@plt>;(5138) 
0x62438f0;:0;TEST	%EAX,%EAX;(5138) 
0x62438f2;:0;JE	624374e <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x2fe>;(5138) 
0x62438f8;:0;LEA	-0x5806f4b(%RIP),%RDI;(5138) 
0x62438ff;:0;MOV	$0x1,%ESI;(5138) 
0x6243904;:0;CALL	7632c30 <_ZN3tsl8internal10LogMessage16VmoduleActivatedEPKci@plt>;(5138) 
0x6243909;:0;MOV	%AL,0x1568fd9(%RIP);(5138) 
0x624390f;:0;LEA	0x1568fda(%RIP),%RDI;(5138) 
0x6243916;:0;CALL	7632c40 <__cxa_guard_release@plt>;(5138) 
0x624391b;:0;JMP	624374e <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x2fe>;(5138) 
0x6243920;:0;XOR	%EAX,%EAX;
0x6243922;:0;MOV	%RAX,-0x2e0(%RBP);
0x6243929;:0;MOV	-0x2d0(%RBP),%RAX;
0x6243930;:0;MOV	(%RAX),%RDX;
0x6243933;:0;LEA	-0x5847025(%RIP),%RSI;
0x624393a;:0;MOV	$0x2d,%EDI;
0x624393f;:0;CALL	763ca20 <_ZN10tensorflow9DumpGraphESt17basic_string_viewIcSt11char_traitsIcEEPKNS_5GraphE@plt>;
0x6243944;:0;MOV	-0x300(%RBP),%RAX;
0x624394b;:0;CMP	%RAX,-0x2f8(%RBP);
0x6243952;:0;JE	624395b <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x50b>;
0x6243954;:0;MOV	%RAX,-0x2f8(%RBP);
0x624395b;:0;MOV	-0x2d0(%RBP),%RAX;
0x6243962;:0;MOV	(%RAX),%RDI;
0x6243965;:0;MOVQ	$0,-0x1c8(%RBP);
0x6243970;:0;MOVQ	$0,-0x240(%RBP);
0x624397b;:0;LEA	-0x300(%RBP),%RSI;
0x6243982;:0;LEA	-0x1d8(%RBP),%RDX;
0x6243989;:0;LEA	-0x250(%RBP),%RCX;
0x6243990;:0;CALL	763ca30 <_ZN10tensorflow19GetReversePostOrderERKNS_5GraphEPSt6vectorIPNS_4NodeESaIS5_EERKSt8functionIFbPKS4_SB_EERKS9_IFbRKNS_4EdgeEEE@plt>;
0x6243995;:0;MOV	-0x240(%RBP),%RAX;
0x624399c;:0;TEST	%RAX,%RAX;
0x624399f;:0;JE	62439b2 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x562>;
0x62439a1;:0;LEA	-0x250(%RBP),%RDI;
0x62439a8;:0;MOV	%RDI,%RSI;
0x62439ab;:0;MOV	$0x3,%EDX;
0x62439b0;:0;CALL	%RAX;
0x62439b2;:0;MOV	-0x1c8(%RBP),%RAX;
0x62439b9;:0;TEST	%RAX,%RAX;
0x62439bc;:0;JE	62439cf <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x57f>;
0x62439be;:0;LEA	-0x1d8(%RBP),%RDI;
0x62439c5;:0;MOV	%RDI,%RSI;
0x62439c8;:0;MOV	$0x3,%EDX;
0x62439cd;:0;CALL	%RAX;
0x62439cf;:0;MOV	-0x300(%RBP),%R12;
0x62439d6;:0;MOV	-0x2f8(%RBP),%R14;
0x62439dd;:0;CMP	%R14,%R12;
0x62439e0;:0;JE	6243e57 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0xa07>;
0x62439e6;:0;MOV	%R14,-0x2d8(%RBP);
0x62439ed;:0;JMP	62439fd <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x5ad>;
0x62439ef;:0;NOP;
0x62439f0;:0;ADD	$0x8,%R12;(5134) 
0x62439f4;:0;CMP	%R14,%R12;(5134) 
0x62439f7;:0;JE	6243e57 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0xa07>;(5134) 
0x62439fd;:0;MOV	(%R12),%RBX;(5134) 
0x6243a01;:0;CMPL	$0x2,0x10(%RBX);(5134) 
0x6243a05;:0;JL	62439f0 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x5a0>;(5134) 
0x6243a07;:0;MOV	%R15,%RDI;(5134) 
0x6243a0a;:0;MOV	%RBX,%RSI;(5134) 
0x6243a0d;:0;CALL	763ca40 <_ZN10tensorflow20MklLayoutRewritePass19CanOpRunOnCPUDeviceEPKNS_4NodeE@plt>;(5134) 
0x6243a12;:0;TEST	%AL,%AL;(5134) 
0x6243a14;:0;JE	62439f0 <_ZN10tensorflow20MklLayoutRewritePass7RunPassEPSt10unique_ptrINS_5GraphESt14default_deleteIS2_EE+0x5a0>;(5134) 
0x6243a16;:0;LEA	-0x1d8(%RBP),%RDI;(5134) 
0x6243a1d;:0;MOV	%R15,%RSI;(5134) 
0x6243a20;:0;MOV	%RBX,%RDX;(5134) 
0x6243a23;:0;CALL	763c9b0 <_ZNK10tensorflow20MklLayoutRewritePass18CheckForNodeFusionEPNS_4NodeE@plt>;(5134) 
0x6243a28;:0;MOV	-0x158(%RBP),%RDI;(5134) 
0x6243a2f;:0;MOV	-0x160(%RBP),%RAX;(5134) 
0x6243a36;:0;MOV	%RDI,%R14;(5134) 
0x6243a39;:0;SUB	%RAX,%R14;(5134) 
0x6243a3c;:0;SAR	$0x3,%R14;(5134) 
0x6243a40;:0;MOVZX	-0x148(%RBP),%R13D;(5134) 
