address;source_location;insn;indent
0x626dd70;:0;CMPB	$0,0x153ed81(%RIP);
0x626e0cc;:0;CALL	7632c00 <_ZN3tsl8internal10LogMessageC1EPKcii@plt>;
0x626e0d1;:0;LEA	-0x5819279(%RIP),%RSI;
0x626e0d8;:0;MOV	$0x27,%EDX;
0x626e0dd;:0;MOV	%R14,%RDI;
0x626e0e0;:0;CALL	7632a30 <_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l@plt>;
0x626e0e5;:0;MOV	0xd0(%R12),%RSI;
0x626e0ed;:0;MOV	0xd8(%R12),%RDX;
0x626e0f5;:0;MOV	%R14,%RDI;
0x626e0f8;:0;CALL	7632a30 <_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l@plt>;
0x626e0fd;:0;MOV	%RAX,%R15;
0x626e100;:0;LEA	-0x5863910(%RIP),%RSI;
0x626e107;:0;MOV	$0x6,%EDX;
0x626e10c;:0;MOV	%RAX,%RDI;
0x626e10f;:0;CALL	7632a30 <_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l@plt>;
0x626e114;:0;MOV	0xc0(%R12),%RAX;
0x626e11c;:0;MOV	(%RAX),%RSI;
0x626e11f;:0;MOV	0x8(%RAX),%RDX;
0x626e123;:0;MOV	%R15,%RDI;
0x626e126;:0;CALL	7632a30 <_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l@plt>;
0x626e12b;:0;MOV	%RAX,%R15;
0x626e12e;:0;LEA	-0x587162a(%RIP),%RSI;
0x626e135;:0;MOV	$0xd,%EDX;
0x626e13a;:0;MOV	%RAX,%RDI;
0x626e13d;:0;CALL	7632a30 <_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l@plt>;
0x626e142;:0;MOV	0xc8(%R12),%RSI;
0x626e14a;:0;MOV	%R15,%RDI;
0x626e14d;:0;CALL	7637070 <_ZNSo9_M_insertImEERSoT_@plt>;
0x626e152;:0;MOV	%RAX,%R15;
0x626e155;:0;LEA	-0x5871b3c(%RIP),%RSI;
0x626e15c;:0;MOV	$0x9,%EDX;
0x626e161;:0;MOV	%RAX,%RDI;
0x626e164;:0;CALL	7632a30 <_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l@plt>;
0x626e169;:0;MOV	%R15,%RDI;
0x626e16c;:0;MOV	%RBX,%RSI;
0x626e16f;:0;CALL	7634190 <_ZN4absl12lts_20230802lsERSoRKNS0_6StatusE@plt>;
0x626e174;:0;MOV	%R14,%RDI;
0x626e177;:0;CALL	7632c10 <_ZN3tsl8internal10LogMessageD1Ev@plt>;
0x626e17c;:0;JMP	626dd7d <_ZNSt17_Function_handlerIFvRKN4absl12lts_202308026StatusEEZNK10tensorflow29ProcessFunctionLibraryRuntime19RunMultiDeviceAsyncERKNS6_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS6_6TensorENS6_11TensorShapeEEESaISG_EEPSC_ISt10unique_ptrINS7_11CleanUpItemESt14default_deleteISL_EESaISO_EESt8functionIS5_ESS_IFS2_RKNS7_21ComponentFunctionDataEPNS7_12InternalArgsEEEE3$_1E9_M_invokeERKSt9_Any_dataS4_+0x4d>;
0x626e240;:0;CALL	7632560 <__stack_chk_fail@plt>;
0x626e245;:0;LEA	0x153e8b4(%RIP),%RDI;
0x626e24c;:0;CALL	7632c20 <__cxa_guard_acquire@plt>;
0x626e251;:0;TEST	%EAX,%EAX;
0x626e253;:0;JE	626dd70 <_ZNSt17_Function_handlerIFvRKN4absl12lts_202308026StatusEEZNK10tensorflow29ProcessFunctionLibraryRuntime19RunMultiDeviceAsyncERKNS6_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS6_6TensorENS6_11TensorShapeEEESaISG_EEPSC_ISt10unique_ptrINS7_11CleanUpItemESt14default_deleteISL_EESaISO_EESt8functionIS5_ESS_IFS2_RKNS7_21ComponentFunctionDataEPNS7_12InternalArgsEEEE3$_1E9_M_invokeERKSt9_Any_dataS4_+0x40>;
0x626e259;:0;LEA	-0x5863aac(%RIP),%RDI;
0x626e260;:0;MOV	$0x2,%ESI;
0x626e265;:0;CALL	7632c30 <_ZN3tsl8internal10LogMessage16VmoduleActivatedEPKci@plt>;
0x626e26a;:0;MOV	%AL,0x153e888(%RIP);
0x626e270;:0;LEA	0x153e889(%RIP),%RDI;
0x626e277;:0;CALL	7632c40 <__cxa_guard_release@plt>;
0x626e27c;:0;JMP	626dd70 <_ZNSt17_Function_handlerIFvRKN4absl12lts_202308026StatusEEZNK10tensorflow29ProcessFunctionLibraryRuntime19RunMultiDeviceAsyncERKNS6_22FunctionLibraryRuntime7OptionsEmPSt6vectorISt7variantIJNS6_6TensorENS6_11TensorShapeEEESaISG_EEPSC_ISt10unique_ptrINS7_11CleanUpItemESt14default_deleteISL_EESaISO_EESt8functionIS5_ESS_IFS2_RKNS7_21ComponentFunctionDataEPNS7_12InternalArgsEEEE3$_1E9_M_invokeERKSt9_Any_dataS4_+0x40>;
