address;source_location;insn;indent
0x34fd0;:0;PUSH	%R15;
0x3508b;:0;TEST	%R13D,%R13D;
0x3508e;:0;JE	35c80 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xcb0>;
0x35094;:0;MOV	0x4ad35(%RIP),%R8;
0x3509b;:0;MOV	0x90(%RSI),%RAX;
0x350a2;:0;MOV	%R12,%RDI;
0x350a5;:0;MOV	%R8,%RSI;
0x350a8;:0;TEST	%RAX,%RAX;
0x350ab;:0;JE	35d79 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xda9>;
0x350b1;:0;CALL	%RAX;
0x350b3;:0;MOV	%RAX,%R15;
0x350b6;:0;TEST	%R15,%R15;
0x350b9;:0;JE	35d6a <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xd9a>;
0x350bf;:0;MOV	0x4a892(%RIP),%R13;
0x350c6;:0;MOV	0x4a673(%RIP),%RDI;
0x350cd;:0;MOV	0x18(%R13),%RDX;
0x350d1;:0;MOV	%R13,%RSI;
0x350d4;:0;CALL	77a0 <_PyDict_GetItem_KnownHash@plt>;
0x350d9;:0;MOV	%RAX,%RBP;
0x350dc;:0;TEST	%RAX,%RAX;
0x350df;:0;JE	35d86 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xdb6>;
0x350e5;:0;MOV	(%RAX),%EAX;
0x350e7;:0;ADD	$0x1,%EAX;
0x350ea;:0;JE	350ef <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x11f>;
0x350ec;:0;MOV	%EAX,(%RBP);
0x350ef;:0;MOV	$0x3,%EDX;
0x350f4;:0;MOV	%RBP,%RSI;
0x350f7;:0;MOV	%R15,%RDI;
0x350fa;:0;CALL	7590 <PyObject_RichCompare@plt>;
0x350ff;:0;MOV	%RAX,%R13;
0x35102;:0;TEST	%RAX,%RAX;
0x35105;:0;JE	3594d <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x97d>;
0x3510b;:0;MOV	(%R15),%RAX;
0x3510e;:0;TEST	%EAX,%EAX;
0x35110;:0;JS	3511f <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x14f>;
0x35112;:0;SUB	$0x1,%RAX;
0x35116;:0;MOV	%RAX,(%R15);
0x35119;:0;JE	35b48 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xb78>;
0x3511f;:0;MOV	(%RBP),%RAX;
0x35123;:0;TEST	%EAX,%EAX;
0x35125;:0;JS	35135 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x165>;
0x35127;:0;SUB	$0x1,%RAX;
0x3512b;:0;MOV	%RAX,(%RBP);
0x3512f;:0;JE	35b38 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xb68>;
0x35135;:0;CMP	0x46e44(%RIP),%R13;
0x3513c;:0;SETE	%AL;
0x3513f;:0;CMP	0x46e1a(%RIP),%R13;
0x35146;:0;SETE	%DL;
0x35149;:0;OR	%AL,%DL;
0x3514b;:0;JNE	35920 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x950>;
0x35151;:0;CMP	0x46e70(%RIP),%R13;
0x35158;:0;JE	35920 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x950>;
0x3515e;:0;MOV	%R13,%RDI;
0x35161;:0;CALL	71d0 <PyObject_IsTrue@plt>;
0x35166;:0;MOV	%EAX,%EBP;
0x35168;:0;TEST	%EAX,%EAX;
0x3516a;:0;JS	35dd9 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xe09>;
0x35170;:0;MOV	(%R13),%RAX;
0x35174;:0;TEST	%EAX,%EAX;
0x35176;:0;JS	35186 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x1b6>;
0x35178;:0;SUB	$0x1,%RAX;
0x3517c;:0;MOV	%RAX,(%R13);
0x35180;:0;JE	35b58 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xb88>;
0x35186;:0;TEST	%EBP,%EBP;
0x35188;:0;JNE	35f3c <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xf6c>;
0x3518e;:0;XOR	%EAX,%EAX;
0x35190;:0;LEA	0x120(%RSP),%RDI;
0x35198;:0;MOV	$0x1a,%ECX;
0x3519d;:0;CMP	0x46e24(%RIP),%R12;
0x351a4;:0;MOV	%RDI,0x18(%RSP);
0x351a9;:0;REP_STOSQ	(%RDI);
0x351ac;:0;MOV	0x3e36d(%RIP),%RAX;
0x351b3;:0;MOV	%RAX,0x40(%RSP);
0x351b8;:0;JE	35a80 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xab0>;
0x351be;:0;LEA	0x40(%RSP),%RDI;
0x351c3;:0;SUB	$0x8,%RSP;
0x351c7;:0;MOV	$0x1c,%ESI;
0x351cc;:0;MOV	$0x2,%EDX;
0x351d1;:0;PUSH	%R12;
0x351d3;:0;MOV	0x28(%RSP),%R9;
0x351d8;:0;LEA	0x49d41(%RIP),%RCX;
0x351df;:0;LEA	0x60(%RSP),%R8;
0x351e4;:0;CALL	1d1e0 <_ZL34__Pyx_ValidateAndInit_memviewslicePiiiiP14__Pyx_TypeInfoP22__Pyx_BufFmt_StackElemP18__Pyx_memviewsliceP7_object.constprop.0>;
0x351e9;:0;POP	%RSI;
0x351ea;:0;POP	%RDI;
0x351eb;:0;CMP	$-0x1,%EAX;
0x351ee;:0;JE	35e0b <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xe3b>;
0x351f4;:0;MOV	0x170(%RSP),%RAX;
0x351fc;:0;MOV	0x128(%RSP),%RDI;
0x35204;:0;MOV	0x178(%RSP),%RBX;
0x3520c;:0;MOV	%RAX,0x30(%RSP);
0x35211;:0;MOV	0x120(%RSP),%RAX;
0x35219;:0;MOV	%RDI,0x28(%RSP);
0x3521e;:0;MOV	%RAX,(%RSP);
0x35222;:0;TEST	%RAX,%RAX;
0x35225;:0;JE	36184 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x11b4>;
0x3522b;:0;MOV	0x8(%R12),%RAX;
0x35230;:0;MOV	0x4b071(%RIP),%RSI;
0x35237;:0;MOV	%R12,%RDI;
0x3523a;:0;MOV	0x90(%RAX),%RAX;
0x35241;:0;TEST	%RAX,%RAX;
0x35244;:0;JE	3603b <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x106b>;
0x3524a;:0;CALL	%RAX;
0x3524c;:0;MOV	%RAX,%R14;
0x3524f;:0;MOV	(%RSP),%RAX;
0x35253;:0;CMP	0x46d6e(%RIP),%RAX;
0x3525a;:0;SETEB	0xf(%RSP);
0x3525f;:0;TEST	%R14,%R14;
0x35262;:0;JE	36048 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x1078>;
0x35268;:0;XOR	%ECX,%ECX;
0x3526a;:0;XOR	%EDX,%EDX;
0x3526c;:0;XOR	%ESI,%ESI;
0x3526e;:0;MOV	%R14,%RDI;
0x35271;:0;CALL	170d0 <_ZL21__Pyx_GetItemInt_FastP7_objectliii.constprop.0>;
0x35276;:0;MOV	%RAX,%RBP;
0x35279;:0;TEST	%RAX,%RAX;
0x3527c;:0;JE	3606e <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x109e>;
0x35282;:0;MOV	(%R14),%RAX;
0x35285;:0;TEST	%EAX,%EAX;
0x35287;:0;JS	35296 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x2c6>;
0x35289;:0;SUB	$0x1,%RAX;
0x3528d;:0;MOV	%RAX,(%R14);
0x35290;:0;JE	35d50 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xd80>;
0x35296;:0;MOV	%RBP,%RDI;
0x35299;:0;CALL	16a70 <_ZL23__Pyx_PyIndex_AsSsize_tP7_object>;
0x3529e;:0;MOV	%RAX,0x20(%RSP);
0x352a3;:0;CMP	$-0x1,%RAX;
0x352a7;:0;JE	36080 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x10b0>;
0x352ad;:0;MOV	(%RBP),%RAX;
0x352b1;:0;TEST	%EAX,%EAX;
0x352b3;:0;JS	352c3 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x2f3>;
0x352b5;:0;SUB	$0x1,%RAX;
0x352b9;:0;MOV	%RAX,(%RBP);
0x352bd;:0;JE	35d5d <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xd8d>;
0x352c3;:0;MOV	0x4ae7e(%RIP),%RDI;
0x352ca;:0;CALL	22b10 <_ZL26__Pyx__GetModuleGlobalNameP7_object>;
0x352cf;:0;MOV	%RAX,%R14;
0x352d2;:0;TEST	%RAX,%RAX;
0x352d5;:0;JE	360bd <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x10ed>;
0x352db;:0;MOV	0x8(%RAX),%RAX;
0x352df;:0;MOV	0x4b132(%RIP),%RSI;
0x352e6;:0;MOV	%R14,%RDI;
0x352e9;:0;MOV	0x90(%RAX),%RAX;
0x352f0;:0;TEST	%RAX,%RAX;
0x352f3;:0;JE	3610e <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x113e>;
0x352f9;:0;CALL	%RAX;
0x352fb;:0;MOV	%RAX,%R13;
0x352fe;:0;MOV	(%R14),%RAX;
0x35301;:0;TEST	%R13,%R13;
0x35304;:0;JE	360f3 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x1123>;
0x3530a;:0;TEST	%EAX,%EAX;
0x3530c;:0;JS	3531b <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x34b>;
0x3530e;:0;SUB	$0x1,%RAX;
0x35312;:0;MOV	%RAX,(%R14);
0x35315;:0;JE	35dcc <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xdfc>;
0x3531b;:0;MOV	0x20(%RSP),%RDI;
0x35320;:0;CALL	78c0 <PyLong_FromSsize_t@plt>;
0x35325;:0;MOV	%RAX,%RBP;
0x35328;:0;TEST	%RAX,%RAX;
0x3532b;:0;JE	3611b <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x114b>;
0x35331;:0;MOV	$0x1,%EDI;
0x35336;:0;CALL	7840 <PyTuple_New@plt>;
0x3533b;:0;MOV	%RAX,%R15;
0x3533e;:0;TEST	%RAX,%RAX;
0x35341;:0;JE	3612a <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x115a>;
0x35347;:0;MOV	%RBP,0x18(%RAX);
0x3534b;:0;CALL	7a70 <PyDict_New@plt>;
0x35350;:0;MOV	%RAX,%RBP;
0x35353;:0;TEST	%RAX,%RAX;
0x35356;:0;JE	36142 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x1172>;
0x3535c;:0;MOV	0x4ade5(%RIP),%RDI;
0x35363;:0;CALL	22b10 <_ZL26__Pyx__GetModuleGlobalNameP7_object>;
0x35368;:0;MOV	%RAX,%R12;
0x3536b;:0;TEST	%RAX,%RAX;
0x3536e;:0;JE	3616f <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x119f>;
0x35374;:0;MOV	0x4ac05(%RIP),%RSI;
0x3537b;:0;MOV	%RAX,%RDI;
0x3537e;:0;CALL	15240 <_ZL25__Pyx_PyObject_GetAttrStrP7_objectS0_>;
0x35383;:0;MOV	%RAX,%R8;
0x35386;:0;TEST	%RAX,%RAX;
0x35389;:0;JE	3619b <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x11cb>;
0x3538f;:0;MOV	(%R12),%RAX;
0x35393;:0;TEST	%EAX,%EAX;
0x35395;:0;JS	353a5 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x3d5>;
0x35397;:0;SUB	$0x1,%RAX;
0x3539b;:0;MOV	%RAX,(%R12);
0x3539f;:0;JE	36057 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x1087>;
0x353a5;:0;MOV	0x4aa24(%RIP),%RSI;
0x353ac;:0;MOV	%R8,%RDX;
0x353af;:0;MOV	%RBP,%RDI;
0x353b2;:0;MOV	%R8,0x38(%RSP);
0x353b7;:0;CALL	7a40 <PyDict_SetItem@plt>;
0x353bc;:0;MOV	0x38(%RSP),%R8;
0x353c1;:0;TEST	%EAX,%EAX;
0x353c3;:0;JS	3615a <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x118a>;
0x353c9;:0;MOV	(%R8),%RAX;
0x353cc;:0;TEST	%EAX,%EAX;
0x353ce;:0;JS	353dd <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x40d>;
0x353d0;:0;SUB	$0x1,%RAX;
0x353d4;:0;MOV	%RAX,(%R8);
0x353d7;:0;JE	360b0 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x10e0>;
0x353dd;:0;MOV	%RBP,%RDX;
0x353e0;:0;MOV	%R15,%RSI;
0x353e3;:0;MOV	%R13,%RDI;
0x353e6;:0;CALL	15190 <_ZL19__Pyx_PyObject_CallP7_objectS0_S0_>;
0x353eb;:0;MOV	%RAX,%R12;
0x353ee;:0;TEST	%RAX,%RAX;
0x353f1;:0;JE	361ad <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x11dd>;
0x353f7;:0;MOV	(%R13),%RAX;
0x353fb;:0;TEST	%EAX,%EAX;
0x353fd;:0;JS	3540d <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x43d>;
0x353ff;:0;SUB	$0x1,%RAX;
0x35403;:0;MOV	%RAX,(%R13);
0x35407;:0;JE	360cc <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x10fc>;
0x3540d;:0;MOV	(%R15),%RAX;
0x35410;:0;TEST	%EAX,%EAX;
0x35412;:0;JS	35421 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x451>;
0x35414;:0;SUB	$0x1,%RAX;
0x35418;:0;MOV	%RAX,(%R15);
0x3541b;:0;JE	360e6 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x1116>;
0x35421;:0;MOV	(%RBP),%RAX;
0x35425;:0;TEST	%EAX,%EAX;
0x35427;:0;JS	35437 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x467>;
0x35429;:0;SUB	$0x1,%RAX;
0x3542d;:0;MOV	%RAX,(%RBP);
0x35431;:0;JE	360d9 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x1109>;
0x35437;:0;MOV	0x18(%RSP),%RDI;
0x3543c;:0;XOR	%EAX,%EAX;
0x3543e;:0;MOV	$0x1a,%ECX;
0x35443;:0;CMP	0x46b7e(%RIP),%R12;
0x3544a;:0;MOVL	$0x11,0x40(%RSP);
0x35452;:0;REP_STOSQ	(%RDI);
0x35455;:0;JE	35e53 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xe83>;
0x3545b;:0;LEA	0x40(%RSP),%RDI;
0x35460;:0;SUB	$0x8,%RSP;
0x35464;:0;MOV	$0x1,%EDX;
0x35469;:0;MOV	$0x1d,%ESI;
0x3546e;:0;PUSH	%R12;
0x35470;:0;MOV	0x28(%RSP),%R9;
0x35475;:0;LEA	0x49f84(%RIP),%RCX;
0x3547c;:0;LEA	0x60(%RSP),%R8;
0x35481;:0;CALL	1d1e0 <_ZL34__Pyx_ValidateAndInit_memviewslicePiiiiP14__Pyx_TypeInfoP22__Pyx_BufFmt_StackElemP18__Pyx_memviewsliceP7_object.constprop.0>;
0x35486;:0;POP	%RDX;
0x35487;:0;POP	%RCX;
0x35488;:0;CMP	$-0x1,%EAX;
0x3548b;:0;JE	362f7 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x1327>;
0x35491;:0;MOVDQA	0x120(%RSP),%XMM7;
0x3549a;:0;MOVDQA	0x130(%RSP),%XMM3;
0x354a3;:0;MOVDQA	0x140(%RSP),%XMM2;
0x354ac;:0;MOVDQA	0x150(%RSP),%XMM4;
0x354b5;:0;MOVDQA	0x160(%RSP),%XMM5;
0x354be;:0;MOVAPS	%XMM7,0x50(%RSP);
0x354c3;:0;MOVDQA	0x170(%RSP),%XMM6;
0x354cc;:0;MOVDQA	0x180(%RSP),%XMM7;
0x354d5;:0;MOVAPS	%XMM3,0x60(%RSP);
0x354da;:0;MOV	0x120(%RSP),%R14;
0x354e2;:0;MOVDQA	0x190(%RSP),%XMM3;
0x354eb;:0;MOVAPS	%XMM2,0x70(%RSP);
0x354f0;:0;MOVDQA	0x1a0(%RSP),%XMM2;
0x354f9;:0;MOVAPS	%XMM4,0x80(%RSP);
0x35501;:0;MOV	0x128(%RSP),%RBP;
0x35509;:0;MOVDQA	0x1b0(%RSP),%XMM4;
0x35512;:0;MOVAPS	%XMM5,0x90(%RSP);
0x3551a;:0;MOV	0x170(%RSP),%R15;
0x35522;:0;MOVDQA	0x1c0(%RSP),%XMM5;
0x3552b;:0;MOVAPS	%XMM6,0xa0(%RSP);
0x35533;:0;MOVDQA	0x1d0(%RSP),%XMM6;
0x3553c;:0;MOVAPS	%XMM7,0xb0(%RSP);
0x35544;:0;MOVDQA	0x1e0(%RSP),%XMM7;
0x3554d;:0;MOVAPS	%XMM3,0xc0(%RSP);
0x35555;:0;MOVAPS	%XMM2,0xd0(%RSP);
0x3555d;:0;MOVAPS	%XMM4,0xe0(%RSP);
0x35565;:0;MOVAPS	%XMM5,0xf0(%RSP);
0x3556d;:0;MOVAPS	%XMM6,0x100(%RSP);
0x35575;:0;MOVAPS	%XMM7,0x110(%RSP);
0x3557d;:0;TEST	%R14,%R14;
0x35580;:0;JE	35e44 <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xe74>;
0x35586;:0;MOV	(%R12),%RAX;
0x3558a;:0;TEST	%EAX,%EAX;
0x3558c;:0;JS	3559c <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0x5cc>;
0x3558e;:0;SUB	$0x1,%RAX;
0x35592;:0;MOV	%RAX,(%R12);
0x35596;:0;JE	35dfe <_ZL48__pyx_f_7sklearn_4tree_5_tree_4Tree__apply_denseP36__pyx_obj_7sklearn_4tree_5_tree_TreeP7_object+0xe2e>;
0x3559c;:0;MOVDQA	0x50(%RSP),%XMM2;
0x355a2;:0;MOVDQA	0x60(%RSP),%XMM3;
0x355a8;:0;MOVDQA	0x80(%RSP),%XMM5;
0x355b1;:0;MOVDQA	0x70(%RSP),%XMM4;
0x355b7;:0;MOVDQA	0x90(%RSP),%XMM6;
0x355c0;:0;MOVAPS	%XMM2,0x120(%RSP);
0x355c8;:0;MOVDQA	0xa0(%RSP),%XMM7;
0x355d1;:0;MOVDQA	0xb0(%RSP),%XMM2;
0x355da;:0;MOVAPS	%XMM3,0x130(%RSP);
0x355e2;:0;MOVDQA	0xc0(%RSP),%XMM3;
0x355eb;:0;MOVAPS	%XMM4,0x140(%RSP);
0x355f3;:0;MOVDQA	0xd0(%RSP),%XMM4;
0x355fc;:0;MOVAPS	%XMM5,0x150(%RSP);
0x35604;:0;MOVDQA	0xe0(%RSP),%XMM5;
0x3560d;:0;MOVAPS	%XMM6,0x160(%RSP);
0x35615;:0;MOVDQA	0xf0(%RSP),%XMM6;
0x3561e;:0;MOVAPS	%XMM7,0x170(%RSP);
0x35626;:0;MOVDQA	0x100(%RSP),%XMM7;
0x3562f;:0;MOVAPS	%XMM2,0x180(%RSP);
0x35637;:0;MOVDQA	0x110(%RSP),%XMM2;
0x35640;:0;MOVAPS	%XMM3,0x190(%RSP);
0x35648;:0;MOVAPS	%XMM4,0x1a0(%RSP);
0x35650;:0;MOVAPS	%XMM5,0x1b0(%RSP);
0x35658;:0;MOVAPS	%XMM6,0x1c0(%RSP);
0x35660;:0;MOVAPS	%XMM7,0x1d0(%RSP);
0x35668;:0;MOVAPS	%XMM2,0x1e0(%RSP);
0x35670;:0;CALL	74d0 <PyEval_SaveThread@plt>;
0x35675;:0;CMPQ	$0,0x20(%RSP);
0x3567b;:0;MOV	%RAX,%R12;
