address;source_location;insn;indent
0x522b0;:0;PUSH	%R15;
0x524c2;:0;CALL	9810 <PyPyObject_GetAttr@plt>;
0x524c7;:0;MOV	%RAX,%R14;
0x524ca;:0;MOV	(%R15),%RAX;
0x524cd;:0;SUB	$0x1,%RAX;
0x524d1;:0;TEST	%R14,%R14;
0x524d4;:0;JE	544b8 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x2208>;
0x524da;:0;MOV	%RAX,(%R15);
0x524dd;:0;TEST	%RAX,%RAX;
0x524e0;:0;JE	53c30 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x1980>;
0x524e6;:0;MOV	0x3520b(%RIP),%RBX;
0x524ed;:0;MOV	0x34fec(%RIP),%RDI;
0x524f4;:0;MOV	%RBX,%RSI;
0x524f7;:0;CALL	90d0 <PyPyObject_GetItem@plt>;
0x524fc;:0;MOV	%RAX,%R8;
0x524ff;:0;TEST	%RAX,%RAX;
0x52502;:0;JE	54280 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x1fd0>;
0x52508;:0;ADDQ	$0x1,(%RAX);
0x5250c;:0;MOV	%R8,%RSI;
0x5250f;:0;MOV	$0x3,%EDX;
0x52514;:0;MOV	%R14,%RDI;
0x52517;:0;MOV	%R8,0x10(%RSP);
0x5251c;:0;CALL	9750 <PyPyObject_RichCompare@plt>;
0x52521;:0;MOV	0x10(%RSP),%R8;
0x52526;:0;TEST	%RAX,%RAX;
0x52529;:0;MOV	%RAX,%R15;
0x5252c;:0;JE	54570 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x22c0>;
0x52532;:0;SUBQ	$0x1,(%R14);
0x52536;:0;JE	53ee0 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x1c30>;
0x5253c;:0;SUBQ	$0x1,(%R8);
0x52540;:0;JE	53ed0 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x1c20>;
0x52546;:0;CMP	0x30a13(%RIP),%R15;
0x5254d;:0;SETE	%AL;
0x52550;:0;CMP	0x30a39(%RIP),%R15;
0x52557;:0;SETE	%DL;
0x5255a;:0;OR	%AL,%DL;
0x5255c;:0;JNE	53e30 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x1b80>;
0x52562;:0;CMP	0x309b7(%RIP),%R15;
0x52569;:0;JE	53e30 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x1b80>;
0x5256f;:0;MOV	%R15,%RDI;
0x52572;:0;CALL	9570 <PyPyObject_IsTrue@plt>;
0x52577;:0;MOV	%EAX,%EBX;
0x52579;:0;TEST	%EAX,%EAX;
0x5257b;:0;JS	54903 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x2653>;
0x52581;:0;SUBQ	$0x1,(%R15);
0x52585;:0;JE	53ef8 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x1c48>;
0x5258b;:0;TEST	%EBX,%EBX;
0x5258d;:0;JE	52738 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x488>;
0x52593;:0;MOV	0x3594e(%RIP),%RBX;
0x5259a;:0;MOV	0x34f3f(%RIP),%RDI;
0x525a1;:0;MOV	%RBX,%RSI;
0x525a4;:0;CALL	90d0 <PyPyObject_GetItem@plt>;
0x525a9;:0;MOV	%RAX,%R14;
0x525ac;:0;TEST	%RAX,%RAX;
0x525af;:0;JE	549e8 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x2738>;
0x525b5;:0;ADDQ	$0x1,(%RAX);
0x525b9;:0;MOV	0x35420(%RIP),%RSI;
0x525c0;:0;MOV	%R14,%RDI;
0x525c3;:0;CALL	9810 <PyPyObject_GetAttr@plt>;
0x525c8;:0;MOV	%RAX,%R8;
0x525cb;:0;TEST	%RAX,%RAX;
0x525ce;:0;JE	54b02 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x2852>;
0x525d4;:0;SUBQ	$0x1,(%R14);
0x525d8;:0;JE	54260 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x1fb0>;
0x525de;:0;MOV	0x3554b(%RIP),%RSI;
0x525e5;:0;MOV	%R13,%RDI;
0x525e8;:0;MOV	%R8,0x10(%RSP);
0x525ed;:0;CALL	9810 <PyPyObject_GetAttr@plt>;
0x525f2;:0;MOV	0x10(%RSP),%R8;
0x525f7;:0;TEST	%RAX,%RAX;
0x525fa;:0;MOV	%RAX,%R15;
0x525fd;:0;JE	54b68 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x28b8>;
0x52603;:0;MOV	$0x1,%EDI;
0x52608;:0;CALL	9110 <PyPyTuple_New@plt>;
0x5260d;:0;MOV	0x10(%RSP),%R8;
0x52612;:0;TEST	%RAX,%RAX;
0x52615;:0;MOV	%RAX,%R14;
0x52618;:0;JE	54ba1 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x28f1>;
0x5261e;:0;XOR	%ESI,%ESI;
0x52620;:0;MOV	%R15,%RDX;
0x52623;:0;MOV	%RAX,%RDI;
0x52626;:0;CALL	9170 <PyPyTuple_SetItem@plt>;
0x5262b;:0;MOV	0x10(%RSP),%R8;
0x52630;:0;TEST	%EAX,%EAX;
0x52632;:0;JNE	54338 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x2088>;
0x52638;:0;MOV	%R8,0x20(%RSP);
0x5263d;:0;CALL	91e0 <PyPyDict_New@plt>;
0x52642;:0;MOV	0x20(%RSP),%R8;
0x52647;:0;TEST	%RAX,%RAX;
0x5264a;:0;MOV	%RAX,0x10(%RSP);
0x5264f;:0;JE	54cfa <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x2a4a>;
0x52655;:0;MOV	0x3509c(%RIP),%RBX;
0x5265c;:0;MOV	0x34e7d(%RIP),%RDI;
0x52663;:0;MOV	%RBX,%RSI;
0x52666;:0;CALL	90d0 <PyPyObject_GetItem@plt>;
0x5266b;:0;MOV	0x20(%RSP),%R8;
0x52670;:0;TEST	%RAX,%RAX;
0x52673;:0;MOV	%RAX,%R15;
0x52676;:0;JE	54db4 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x2b04>;
0x5267c;:0;ADDQ	$0x1,(%RAX);
0x52680;:0;MOV	0x354e9(%RIP),%RSI;
0x52687;:0;MOV	0x10(%RSP),%RDI;
0x5268c;:0;MOV	%R15,%RDX;
0x5268f;:0;MOV	%R8,0x20(%RSP);
0x52694;:0;CALL	9690 <PyPyDict_SetItem@plt>;
0x52699;:0;MOV	0x20(%RSP),%R8;
0x5269e;:0;TEST	%EAX,%EAX;
0x526a0;:0;JS	54ce3 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x2a33>;
0x526a6;:0;SUBQ	$0x1,(%R15);
0x526aa;:0;JE	54859 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x25a9>;
0x526b0;:0;MOV	0x10(%RSP),%RDX;
0x526b5;:0;MOV	%R8,%RDI;
0x526b8;:0;MOV	%R14,%RSI;
0x526bb;:0;MOV	%R8,0x20(%RSP);
0x526c0;:0;CALL	97d0 <PyPyObject_Call@plt>;
0x526c5;:0;MOV	0x20(%RSP),%R8;
0x526ca;:0;MOV	%RAX,%R15;
0x526cd;:0;MOV	(%R8),%RAX;
0x526d0;:0;SUB	$0x1,%RAX;
0x526d4;:0;TEST	%R15,%R15;
0x526d7;:0;JE	54f1e <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x2c6e>;
0x526dd;:0;MOV	%RAX,(%R8);
0x526e0;:0;TEST	%RAX,%RAX;
0x526e3;:0;JE	54a98 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x27e8>;
0x526e9;:0;SUBQ	$0x1,(%R14);
0x526ed;:0;JE	54a8b <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x27db>;
0x526f3;:0;MOV	0x10(%RSP),%RCX;
0x526f8;:0;MOV	(%RCX),%RAX;
0x526fb;:0;MOV	%RAX,0x20(%RSP);
0x52700;:0;SUB	$0x1,%RAX;
0x52704;:0;MOV	%RAX,(%RCX);
0x52707;:0;JE	54a7e <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x27ce>;
0x5270d;:0;MOV	0x3541c(%RIP),%RSI;
0x52714;:0;MOV	%R15,%RDX;
0x52717;:0;MOV	%R13,%RDI;
0x5271a;:0;CALL	9120 <PyPyObject_SetAttr@plt>;
0x5271f;:0;TEST	%EAX,%EAX;
0x52721;:0;JS	54eaf <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x2bff>;
0x52727;:0;SUBQ	$0x1,(%R15);
0x5272b;:0;JNE	52738 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x488>;
0x5272d;:0;MOV	%R15,%RDI;
0x52730;:0;CALL	9a50 <_PyPy_Dealloc@plt>;
0x52735;:0;NOPL	(%RAX);
0x52738;:0;MOV	0x355b1(%RIP),%RSI;
0x5273f;:0;MOV	%R13,%RDI;
0x52742;:0;CALL	9810 <PyPyObject_GetAttr@plt>;
0x52747;:0;MOV	%RAX,%R15;
0x5274a;:0;TEST	%RAX,%RAX;
0x5274d;:0;JE	5478d <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x24dd>;
0x52753;:0;MOV	0x35416(%RIP),%RSI;
0x5275a;:0;MOV	%RAX,%RDI;
0x5275d;:0;CALL	9810 <PyPyObject_GetAttr@plt>;
0x52762;:0;MOV	%RAX,0x10(%RSP);
0x52767;:0;TEST	%RAX,%RAX;
0x5276a;:0;JE	547e5 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x2535>;
0x52770;:0;SUBQ	$0x1,(%R15);
0x52774;:0;JE	54490 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x21e0>;
0x5277a;:0;MOV	0x35767(%RIP),%RBX;
0x52781;:0;MOV	0x34d58(%RIP),%RDI;
0x52788;:0;MOV	%RBX,%RSI;
0x5278b;:0;CALL	90d0 <PyPyObject_GetItem@plt>;
0x52790;:0;MOV	%RAX,%R15;
0x52793;:0;TEST	%RAX,%RAX;
0x52796;:0;JE	54987 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x26d7>;
0x5279c;:0;ADDQ	$0x1,(%RAX);
0x527a0;:0;MOV	0x35569(%RIP),%RSI;
0x527a7;:0;MOV	%R15,%RDI;
0x527aa;:0;CALL	9810 <PyPyObject_GetAttr@plt>;
0x527af;:0;MOV	%RAX,%R14;
0x527b2;:0;TEST	%RAX,%RAX;
0x527b5;:0;JE	54acc <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x281c>;
0x527bb;:0;SUBQ	$0x1,(%R15);
0x527bf;:0;JE	54250 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x1fa0>;
0x527c5;:0;MOV	0x10(%RSP),%RBX;
0x527ca;:0;MOV	$0x3,%EDX;
0x527cf;:0;MOV	%R14,%RSI;
0x527d2;:0;MOV	%RBX,%RDI;
0x527d5;:0;CALL	9750 <PyPyObject_RichCompare@plt>;
0x527da;:0;MOV	%RAX,%R15;
0x527dd;:0;TEST	%RAX,%RAX;
0x527e0;:0;JE	54b51 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x28a1>;
0x527e6;:0;MOV	(%RBX),%RAX;
0x527e9;:0;MOV	%RAX,0x20(%RSP);
0x527ee;:0;SUB	$0x1,%RAX;
0x527f2;:0;MOV	%RAX,(%RBX);
0x527f5;:0;JE	542f8 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x2048>;
0x527fb;:0;SUBQ	$0x1,(%R14);
0x527ff;:0;JE	542e8 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x2038>;
0x52805;:0;CMP	0x30754(%RIP),%R15;
0x5280c;:0;SETE	%AL;
0x5280f;:0;CMP	0x3077a(%RIP),%R15;
0x52816;:0;SETE	%DL;
0x52819;:0;OR	%AL,%DL;
0x5281b;:0;JNE	54350 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x20a0>;
0x52821;:0;CMP	0x306f8(%RIP),%R15;
0x52828;:0;JE	54350 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x20a0>;
0x5282e;:0;MOV	%R15,%RDI;
0x52831;:0;CALL	9570 <PyPyObject_IsTrue@plt>;
0x52836;:0;MOV	%EAX,%EBX;
0x52838;:0;TEST	%EAX,%EAX;
0x5283a;:0;JS	54ec1 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x2c11>;
0x52840;:0;SUBQ	$0x1,(%R15);
0x52844;:0;JE	545a0 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x22f0>;
0x5284a;:0;TEST	%EBX,%EBX;
0x5284c;:0;JNE	54520 <_ZL56__pyx_f_7sklearn_4tree_5_tree_11TreeBuilder__check_inputP43__pyx_obj_7sklearn_4tree_5_tree_TreeBuilderP7_object18__Pyx_memviewsliceS3_+0x2270>;
0x52852;:0;MOV	0x3549f(%RIP),%RSI;
0x52859;:0;MOV	%R13,%RDI;
