ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 897;python3.9;gcmodule.c:641-644,object.h:128-128,typeobject.c:3764-3764,pycore_object.h:74-80,pycore_object.h:112-114,dictobject.c:989-989,dictobject.c:993-999,dictobject.c:1006-1006;collect;Outermost;0.03;0.03;0.15;1.00;1.00;20.86;1.68;79255;0.00;11.61;42.00;42.00;42.00;2.01;25.00
Loop 905;python3.9;gcmodule.c:87-87,gcmodule.c:93-93,gcmodule.c:564-565,gcmodule.c:574-587,gcmodule.c:599-603,gcmodule.c:609-614;deduce_unreachable;Single;0.03;0.03;0.13;1.17;1.00;7.30;1.40;2;3.33;12.19;4.20;3.60;4.20;0.57;3.00
Loop 824;python3.9;pycore_pystate.h:55-55,tupleobject.c:88-93,tupleobject.c:115-118,tupleobject.c:126-126,pycore_object.h:39-39,pycore_object.h:46-51;PyTuple_New;Single;0.03;0.03;0.13;2.64;1.00;7.76;2.96;1;14.29;14.29;7.40;2.80;7.40;0.95;2.50
Loop 798;python3.9;eq.h:17-21,dictobject.c:344-344,dictobject.c:350-350,dictobject.c:353-353,dictobject.c:360-360,dictobject.c:890-890,dictobject.c:893-893,dictobject.c:905-906;lookdict_unicode_nodummy;InBetween;0.02;0.02;0.11;1.00;1.00;13.18;1.54;1;0.00;9.66;5.40;5.40;5.40;0.41;3.50
Loop 790;python3.9;eq.h:17-21,dictobject.c:344-353,dictobject.c:360-360,dictobject.c:849-857,dictobject.c:863-864;PyDict_SetDefault;Innermost;0.02;0.02;0.11;1.00;1.00;12.20;1.37;1;0.00;10.66;8.20;8.20;8.20;0.67;6.00
Loop 899;python3.9;object.h:128-128,typeobject.c:3764-3764,dictobject.c:999-999,dictobject.c:1006-1010,pycore_object.h:112-114;collect;Innermost;0.02;0.02;0.09;1.00;1.00;12.62;1.92;37;0.00;11.24;14.40;14.40;14.40;1.14;7.50
Loop 1262;python3.9;unicodeobject.c:1702-1702,unicodeobject.c:2698-2698,unicodeobject.c:2701-2703,unicodeobject.c:2709-2715,unicodeobject.c:2719-2722,unicodeobject.c:2725-2727,unicodeobject.c:2740-2741,unicodeobject.c:2744-2746,unicodeobject.c:2750-2750,unicodeobject.c:2954-2954,unicodeobject.c:3052-3052,unicodeobject.c:3070-3070,unicodeobject.c:5182-5182,unicodeobject.c:14082-14092,unicodeobject.c:14095-14095,unicodeobject.c:14100-14100,object.c:2205-2205,object.c:2209-2209,object.h:408-408,object.h:422-422;PyUnicode_FromFormatV;Outermost;0.02;0.02;0.09;1.00;1.00;28.18;2.14;1;0.00;8.96;49.20;49.20;49.20;1.75;23.00
Loop 907;python3.9;gcmodule.c:466-469;deduce_unreachable;Single;0.02;0.02;0.09;1.00;1.00;8.00;1.00;1;0.00;12.50;2.00;2.00;2.00;0.25;2.00
Loop 2404;python3.9;unicodeobject.c:2305-2316,object.c:1280-1280,object.h:408-408,object.h:422-422,object.h:430-430,typeobject.c:3251-3260,typeobject.c:3268-3270,typeobject.c:3286-3289,typeobject.c:3298-3298,typeobject.c:3309-3309,typeobject.c:6790-6790,typeobject.c:6802-6803,typeobject.c:6809-6818;slot_tp_getattr_hook;Single;0.02;0.02;0.09;1.00;1.00;16.88;2.38;1;0.00;10.04;48.80;48.80;48.80;2.89;20.50
Loop 2052;python3.9;unicodeobject.c:2306-2316,pycore_pystate.h:55-55,abstract.h:62-62,abstract.h:73-74,abstract.h:114-118,string3.h:52-52,pycore_pyerrors.h:14-14,call.c:38-39,call.c:53-57,call.c:359-374,call.c:380-388,call.c:394-396,object.h:408-408,object.h:422-422,object.h:430-430,typeobject.c:1478-1482,typeobject.c:1489-1490,typeobject.c:1519-1520,typeobject.c:1557-1557,typeobject.c:3251-3260,typeobject.c:3268-3270,typeobject.c:3286-3289,typeobject.c:3298-3298,typeobject.c:3309-3309,pycore_object.h:105-105;vectorcall_method;Single;0.02;0.02;0.09;1.00;1.00;23.99;2.74;1;0.00;11.04;50.60;50.60;50.60;2.11;18.50
Loop 1160;python3.9;pycore_pystate.h:55-55,gcmodule.c:1442-1442,gcmodule.c:2285-2287,objimpl.h:69-69,descrobject.c:154-154,object.c:1824-1824,methodobject.c:107-113,object.h:133-133,object.h:138-138,object.h:408-409,pycore_object.h:46-51;method_get;Outermost;0.02;0.02;0.09;4.70;1.00;6.20;6.27;1;5.26;10.61;9.40;2.00;9.40;1.52;1.50
Loop 1070;python3.9;ceval.c:5084-5085,object.c:2205-2205,object.c:2209-2210,object.h:422-422;_PyEval_EvalFrameDefault;Outermost;0.01;0.01;0.07;1.00;1.00;8.00;2.10;5;0.00;12.50;8.40;8.40;8.40;1.05;4.00
Loop 1066;python3.9;ceval.c:5084-5085,object.c:2205-2205,object.c:2209-2210,object.h:422-422;_PyEval_EvalFrameDefault;Outermost;0.01;0.01;0.07;1.00;1.00;8.00;2.15;5;0.00;12.50;8.60;8.60;8.60;1.07;4.00
Loop 893;python3.9;gcmodule.c:313-314;collect;Innermost;0.01;0.01;0.07;1.00;1.00;8.00;1.00;1;0.00;12.50;2.00;2.00;2.00;0.25;2.00
Loop 1144;python3.9;tupleobject.c:236-237,object.h:422-422,object.h:496-496;tupledealloc;Innermost;0.01;0.01;0.07;1.00;1.00;8.00;1.07;1;0.00;12.50;1.60;1.60;1.60;0.20;1.50
Loop 1003;python3.9;object.c:2205-2210,object.h:422-422,object.h:496-496,dictobject.c:596-598;dict_dealloc;Single;0.01;0.01;0.07;1.00;1.00;8.00;2.24;9;0.00;12.50;5.60;5.60;5.60;0.70;2.50
Loop 921;python3.9;gcmodule.c:81-81,gcmodule.c:117-117,gcmodule.c:449-449,typeobject.c:3764-3764,pycore_object.h:112-114,dictobject.c:3133-3136;dict_traverse;Innermost;0.01;0.01;0.07;1.00;1.00;27.06;1.64;1;0.00;10.31;7.40;7.40;7.40;0.27;4.50
Loop 852;python3.9;object.c:2205-2209,object.h:422-422,object.h:496-496,listobject.c:342-345;list_dealloc;Single;0.01;0.01;0.07;1.00;NA;NA;1.30;3;0.00;12.50;1.73;1.73;NA;NA;1.33
Loop 2051;python3.9;unicodeobject.c:2306-2316,pycore_pystate.h:55-55,abstract.h:74-74,abstract.h:103-103,abstract.h:114-118,string3.h:52-52,pycore_pyerrors.h:14-14,call.c:38-39,call.c:53-57,call.c:359-367,call.c:380-396,object.h:408-408,object.h:422-422,object.h:430-430,typeobject.c:1478-1482,typeobject.c:1489-1490,typeobject.c:1515-1515,typeobject.c:3251-3260,typeobject.c:3268-3270,typeobject.c:3286-3289,typeobject.c:3298-3298,typeobject.c:3309-3309,typeobject.c:6495-6495,pycore_object.h:105-105;slot_mp_subscript;Single;0.01;0.01;0.07;1.00;1.00;26.12;2.57;1;0.00;10.32;45.00;45.00;45.00;1.72;17.50
Loop 1327;python3.9;tupleobject.c:406-411;tupleitem;Single;0.01;0.01;0.07;1.00;1.00;16.00;3.00;1;0.00;9.38;3.00;3.00;3.00;0.19;1.00
Loop 934;python3.9;gcmodule.c:93-93,gcmodule.c:99-100,gcmodule.c:241-249,gcmodule.c:483-483,gcmodule.c:490-490,gcmodule.c:497-497,gcmodule.c:506-518,gcmodule.c:534-534,pycore_object.h:114-114;visit_reachable;Single;0.01;0.01;0.07;1.00;1.00;7.13;3.92;1;0.00;12.50;9.80;9.80;9.80;1.38;2.50
Loop 836;python3.9;dictobject.c:377-382,dictobject.c:1040-1040,dictobject.c:1074-1105,dictobject.c:1132-1132;insertdict;Single;0.01;0.01;0.07;1.00;1.00;10.67;4.00;1;0.00;12.05;14.00;14.00;14.00;1.31;3.50
Loop 900;python3.9;gcmodule.c:641-644;collect;Innermost;0.01;0.01;0.04;1.00;1.00;8.00;1.00;1;0.00;12.50;2.00;2.00;2.00;0.25;2.00
Loop 1105;python3.9;getargs.c:282-283,getargs.c:314-317;vgetargs1_impl;Innermost;0.01;0.01;0.04;1.00;1.00;47.54;1.13;3;0.00;4.69;4.33;4.33;4.33;0.09;3.83
Loop 2398;python3.9;moduleobject.c:580-584,moduleobject.c:591-591,object.h:628-628;_PyModule_ClearDict;Single;0.01;0.01;0.04;1.00;1.00;44.31;1.64;1;0.00;7.68;9.00;9.00;9.00;0.20;5.50
Loop 1496;python3.9;pycore_pystate.h:55-55,tupleobject.c:88-88,tupleobject.c:92-93,tupleobject.c:424-428,descrobject.c:290-290,descrobject.c:293-293,descrobject.c:311-311,descrobject.c:315-315,descrobject.c:318-319,object.c:2205-2205,object.c:2209-2209,object.h:408-408,object.h:422-422,pycore_ceval.h:73-73,pycore_ceval.h:83-83,pycore_ceval.h:94-94,pycore_object.h:39-39,pycore_object.h:46-51;method_vectorcall_VARARGS;InBetween;0.01;0.01;0.04;2.86;1.00;10.82;2.86;1;3.70;11.81;18.60;6.50;18.60;1.72;6.50
Loop 1330;python3.9;dictobject.c:2143-2143;dict_subscript;Single;0.01;0.01;0.04;1.00;NA;NA;1.67;1;NA;NA;1.00;1.00;NA;NA;0.60
Loop 1241;python3.9;pycore_pystate.h:55-55,tupleobject.c:397-398,object.c:663-668,object.c:672-674,object.c:678-680,object.c:714-714,object.c:725-725,object.c:738-738,object.c:746-749,object.h:128-128,object.h:408-408,object.h:422-422,object.h:628-628,longobject.c:3060-3066,longobject.c:3079-3079,pycore_ceval.h:73-73,pycore_ceval.h:83-83,pycore_ceval.h:94-94,typeobject.c:1425-1426,typeobject.c:1431-1432;tuplecontains;Outermost;0.01;0.01;0.04;1.00;1.00;22.34;2.05;214;0.00;10.28;32.80;32.80;32.80;1.47;16.00
Loop 1050;python3.9;ceval.c:1259-1259,ceval.c:1625-1626,ceval.c:2242-2242,ceval.c:3734-3734,ceval.c:3743-3745,ceval.c:3820-3820,ceval.c:3826-3826,ceval.c:3846-3847,ceval.c:3850-3850,object.c:2205-2205,object.c:2209-2209,call.c:38-39,pycore_ceval.h:94-94;_PyEval_EvalFrameDefault;Outermost;0.01;0.01;0.04;1.00;1.00;15.60;2.65;1;0.00;9.84;10.60;10.60;10.60;0.68;4.00
Loop 1002;python3.9;object.c:2205-2209,object.h:422-422,object.h:496-496,dictobject.c:2017-2018;dict_dealloc;Single;0.01;0.01;0.04;1.00;1.00;8.00;1.35;3;0.00;12.50;1.80;1.80;1.80;0.23;1.33
Loop 807;python3.9;dictobject.c:341-341,dictobject.c:344-344,dictobject.c:348-348,dictobject.c:353-353,dictobject.c:360-360,dictobject.c:374-374,dictobject.c:377-379,dictobject.c:382-382,dictobject.c:385-385,dictobject.c:393-393,dictobject.c:1176-1181;dictresize;InBetween;0.01;0.01;0.04;1.00;1.00;26.33;2.03;42;0.00;10.16;16.25;16.25;16.25;0.62;8.00
Loop 1639;python3.9;unicodeobject.c:2306-2316,pycore_pystate.h:55-55,object.c:908-908,object.c:916-927,object.c:942-948,object.c:956-958,abstract.c:2463-2470,abstract.c:2488-2488,object.h:422-422,object.h:628-628;object_isinstance;Single;0.01;0.01;0.04;1.00;1.00;21.70;2.97;1;0.00;10.81;17.80;17.80;17.80;0.82;6.00
Loop 1302;python3.9;unicodeobject.c:2306-2316,string3.h:52-52,call.c:471-477,call.c:484-495,object.h:408-408,object.h:422-422,object.h:430-430,typeobject.c:1478-1482,typeobject.c:1489-1490,typeobject.c:3251-3260,typeobject.c:3268-3270,typeobject.c:3286-3289,typeobject.c:3298-3298,typeobject.c:3309-3309,typeobject.c:6966-6966,typeobject.c:6974-6979,typeobject.c:6988-6988;slot_tp_init;Single;0.01;0.01;0.04;1.00;1.00;17.40;2.91;1;0.00;10.61;37.80;37.80;37.80;2.17;13.00
Loop 1173;python3.9;call.c:380-383,call.c:388-388,call.c:396-396,call.c:404-404;_PyFunction_Vectorcall;Outermost;0.01;0.01;0.04;1.00;1.00;14.06;6.00;1;0.00;10.94;6.00;6.00;6.00;0.43;1.00
Loop 1029;python3.9;unicodeobject.c:15701-15701,unicodeobject.c:15708-15708,unicodeobject.c:15712-15712,codeobject.c:30-30,codeobject.c:33-36,codeobject.c:63-66,codeobject.c:81-82,codeobject.c:86-89,codeobject.c:92-93,codeobject.c:97-99,codeobject.c:104-106,object.h:128-128,object.h:422-422,object.h:430-430;intern_string_constants;InBetween;0.01;0.01;0.04;1.00;1.00;29.71;1.32;1;0.00;8.94;30.40;30.40;30.40;1.02;23.00
Loop 936;python3.9;objimpl.h:69-69,object.c:1824-1824,obmalloc.c:572-572,obmalloc.c:1646-1647,object.h:133-143,object.h:408-409,longobject.c:330-330,longobject.c:369-369;PyLong_FromLong;Single;0.01;0.01;0.04;1.00;1.00;9.39;3.30;1;0.00;8.77;6.60;6.60;6.60;0.70;2.00
Loop 874;python3.9;object.c:745-749,object.h:408-408,object.h:422-422,object.h:430-430,dictobject.c:344-344,dictobject.c:350-350,dictobject.c:781-785,dictobject.c:789-789,dictobject.c:805-805;lookdict;Outermost;0.01;0.01;0.04;1.00;1.00;7.24;3.44;20;0.00;12.15;17.20;17.20;17.20;2.38;5.00
Loop 1074;python3.9;ceval.c:5084-5085,object.c:2205-2205,object.c:2209-2210,object.h:422-422;_PyEval_EvalFrameDefault;Outermost;0;0;0.02;1.00;1.00;8.00;2.00;5;0.00;12.50;8.00;8.00;8.00;1.00;4.00
Loop 1072;python3.9;ceval.c:5084-5085,object.c:2205-2205,object.c:2209-2210,object.h:422-422;_PyEval_EvalFrameDefault;Outermost;0;0;0.02;1.00;1.00;8.00;2.00;5;0.00;12.50;8.00;8.00;8.00;1.00;4.00
Loop 1067;python3.9;ceval.c:5084-5085,object.h:422-422;_PyEval_EvalFrameDefault;Innermost;0;0;0.02;1.00;1.00;8.00;1.50;1;0.00;12.50;1.50;1.50;1.50;0.19;1.00
Loop 894;python3.9;gcmodule.c:694-697;collect;Innermost;0;0;0.02;1.00;1.00;8.00;1.00;1;0.00;12.50;4.00;4.00;4.00;0.50;4.00
Loop 2475;python3.9;sre_lib.h:806-813;sre_ucs1_match;Single;0;0;0.02;1.00;1.00;12.97;1.77;1;0.00;9.38;6.20;6.20;6.20;0.48;3.50
Loop 1126;python3.9;dictobject.c:344-346,dictobject.c:893-906;update_one_slot;Innermost;0;0;0.02;1.00;1.00;8.00;1.90;1;0.00;12.50;3.80;3.80;3.80;0.47;2.00
Loop 823;python3.9;object.h:422-422,typeobject.c:7352-7372,typeobject.c:7840-7862;PyType_Ready;Single;0;0;0.02;1.00;1.00;12.44;1.60;25;0.00;12.26;15.20;15.20;15.20;1.22;9.50
Loop 1869;python3.9;pegen.c:737-738;term_raw;Innermost;0;0;0.02;1.00;1.00;16.00;1.00;1;0.00;6.25;2.00;2.00;2.00;0.13;2.00
Loop 1261;python3.9;unicodeobject.c:3083-3083,unicodeobject.c:3090-3092;PyUnicode_FromFormatV;Innermost;0;0;0.02;1.00;NA;NA;1.07;1;NA;NA;1.60;1.60;NA;NA;1.50
Loop 1042;python3.9;ceval.c:4227-4229;_PyEval_EvalCode;Single;0;0;0.02;1.00;1.00;8.00;1.25;2;0.00;12.50;1.25;1.25;1.25;0.16;1.00
Loop 926;python3.9;gcmodule.c:81-81,gcmodule.c:117-117,gcmodule.c:449-449,typeobject.c:3764-3764,dictobject.c:3136-3136,dictobject.c:3142-3143,pycore_object.h:112-114;dict_traverse;Single;0;0;0.02;1.00;1.00;29.54;1.77;10;0.00;10.94;6.20;6.20;6.20;0.21;3.50
Loop 1332;python3.9;object.c:745-749,object.h:408-408,object.h:422-422,object.h:430-430,dictobject.c:341-346,dictobject.c:789-800,dictobject.c:809-810,dictobject.c:821-822;dict_subscript;Innermost;0;0;0.02;1.00;1.00;9.14;2.67;1;0.00;12.30;16.00;16.00;16.00;1.75;6.00
Loop 1118;python3.9;eq.h:23-24;lookdict_unicode;Innermost;0;0;0.02;1.00;1.00;13.71;1.50;1;0.00;7.50;3.00;3.00;3.00;0.22;2.00
Loop 1032;python3.9;codeobject.c:35-36;intern_string_constants;Innermost;0;0;0.02;1.00;1.00;64.00;1.00;2;0.00;1.56;1.25;1.25;1.25;0.02;1.25
Loop 883;python3.9;gcmodule.c:234-234,gcmodule.c:273-284,gcmodule.c:961-969,object.h:408-408,object.h:422-422,object.h:430-430;collect;Innermost;0;0;0.02;1.00;1.00;6.80;4.30;1;0.00;11.33;8.60;8.60;8.60;1.27;2.00
Loop 877;python3.9;dictobject.c:346-346,dictobject.c:789-789,dictobject.c:793-796,dictobject.c:800-800;lookdict;InBetween;0;0;0.02;1.00;1.00;8.00;1.30;1;0.00;12.50;2.60;2.60;2.60;0.33;2.00
Loop 792;python3.9;eq.h:23-24;PyDict_SetDefault;Innermost;0;0;0.02;1.00;1.00;6.91;2.16;1;0.00;10.23;5.40;5.40;5.40;0.78;2.50
Loop 2456;python3.9;pycore_pystate.h:55-55,objimpl.h:69-69,object.c:177-179,object.c:1824-1824,obmalloc.c:99-99,obmalloc.c:127-127,obmalloc.c:572-572,obmalloc.c:595-595,obmalloc.c:605-605,obmalloc.c:627-629,obmalloc.c:683-685,obmalloc.c:1420-1422,obmalloc.c:1434-1439,obmalloc.c:1445-1447,obmalloc.c:1604-1604,obmalloc.c:1608-1609,obmalloc.c:1612-1612,obmalloc.c:1617-1618,obmalloc.c:1621-1621,obmalloc.c:1630-1630,obmalloc.c:1641-1641,obmalloc.c:1646-1647,obmalloc.c:1679-1680,obmalloc.c:1683-1686,obmalloc.c:1692-1695,obmalloc.c:1700-1703,obmalloc.c:1708-1708,obmalloc.c:1715-1719,obmalloc.c:1738-1738,obmalloc.c:1749-1749,obmalloc.c:1756-1756,obmalloc.c:1762-1762,obmalloc.c:1768-1769,obmalloc.c:1772-1777,obmalloc.c:1780-1780,obmalloc.c:1786-1793,obmalloc.c:1807-1808,obmalloc.c:1811-1811,obmalloc.c:1825-1825,obmalloc.c:1828-1828,obmalloc.c:1833-1835,obmalloc.c:1838-1842,obmalloc.c:1865-1865,obmalloc.c:1878-1883,obmalloc.c:1897-1897,obmalloc.c:1916-1916,obmalloc.c:1923-1923,_sre.c.h:257-257,object.h:133-133,object.h:138-138,object.h:143-143,object.h:408-408,object.h:422-422,object.h:496-496,object.h:628-628,_sre.c:198-202,_sre.c:365-371,_sre.c:375-375,_sre.c:380-380,_sre.c:384-384,_sre.c:405-406,_sre.c:411-415,_sre.c:418-418,_sre.c:423-423,_sre.c:430-432,_sre.c:435-437,_sre.c:440-442,_sre.c:445-448,_sre.c:451-452,_sre.c:470-471,_sre.c:475-475,_sre.c:563-568,_sre.c:604-604,_sre.c:608-608,_sre.c:611-611,_sre.c:2330-2330,_sre.c:2334-2334,_sre.c:2340-2346,_sre.c:2350-2350,_sre.c:2353-2363,_sre.c:2366-2366,_sre.c:2370-2370,_sre.c:2373-2373;_sre_SRE_Pattern_match;InBetween;0;0;0.02;2.70;1.00;8.65;2.73;1;9.80;12.74;133.80;49.50;133.80;15.46;49.00
Loop 2396;python3.9;pycore_pystate.h:55-55,tupleobject.c:968-970,gcmodule.c:256-262,gcmodule.c:2350-2357,obmalloc.c:709-709,obmalloc.c:1420-1422,obmalloc.c:1679-1686,obmalloc.c:1692-1708,obmalloc.c:1715-1719,obmalloc.c:1738-1738,obmalloc.c:1749-1749,obmalloc.c:1756-1756,obmalloc.c:1762-1762,obmalloc.c:1768-1780,obmalloc.c:1786-1793,obmalloc.c:1807-1811,obmalloc.c:1825-1842,obmalloc.c:1865-1865,obmalloc.c:1878-1883,obmalloc.c:1891-1891,obmalloc.c:1897-1897;_PyTuple_ClearFreeList;Innermost;0;0;0.02;2.80;1.00;7.21;2.80;472;3.13;11.91;32.20;11.50;32.20;4.47;11.50
Loop 1437;python3.9;genobject.c:143-146,genobject.c:157-157,genobject.c:179-179,genobject.c:197-208,genobject.c:216-218,genobject.c:224-228,pycore_pystate.h:55-55,bltinmodule.c:339-343,object.c:1396-1414,object.h:408-408,object.h:422-422,object.h:487-487,bytesobject.c:1356-1356,longobject.c:4513-4513,pycore_ceval.h:40-40;builtin_all;Single;0;0;0.02;1.00;1.00;12.95;1.87;232;0.00;10.87;25.20;25.20;25.20;1.95;13.50
Loop 1331;python3.9;object.c:775-779,dictobject.c:2140-2141,dictobject.c:2165-2165;dict_subscript;Innermost;0;0;0.02;1.00;1.00;12.80;1.92;1;0.00;11.11;4.80;4.80;4.80;0.38;2.50
Loop 866;python3.9;dictobject.c:344-346,dictobject.c:893-906;_PyDict_GetItemId;Innermost;0;0;0.02;1.00;1.00;8.00;1.75;1;0.00;12.50;3.50;3.50;3.50;0.44;2.00
Loop 857;python3.9;typeobject.c:1432-1433;type_mro_modified;Innermost;0;0;0.02;1.00;1.00;8.00;1.00;1;0.00;12.50;1.00;1.00;1.00;0.13;1.00
