address;source_location;insn;indent
0x43f181;/usr/local/src/conda/python-3.12.0/Include/object.h:644;MOV	0x5033f8(%RIP),%R10D;
0x43f1fb;/usr/local/src/conda/python-3.12.0/Objects/descrobject.c:191;POP	%RBX;
0x43f1fc;:0;POP	%RBP;
0x43f1fd;/usr/local/src/conda/python-3.12.0/Objects/descrobject.c:191;POP	%R12;
0x43f1ff;/usr/local/src/conda/python-3.12.0/Python/structmember.c:24;JMP	5119e0 <PyLong_FromLong>;
0x43f204;/usr/local/src/conda/python-3.12.0/Python/structmember.c:24;MOV	%RSI,%RCX;
0x43f207;/usr/local/src/conda/python-3.12.0/Objects/typeobject.c:2112;MOV	0x100(%RCX),%RCX;(88) 
0x43f20e;/usr/local/src/conda/python-3.12.0/Objects/typeobject.c:2113;TEST	%RCX,%RCX;(88) 
0x43f211;:0;JE	43f291 <member_get.cold+0x110>;(88) 
0x43f213;/usr/local/src/conda/python-3.12.0/Objects/typeobject.c:2110;CMP	%RCX,%RAX;(88) 
0x43f216;:0;JNE	43f207 <member_get.cold+0x86>;(88) 
0x43f218;:0;JMP	54b5c4 <member_get+0x24>;
0x43f21d;/usr/local/src/conda/python-3.12.0/Python/structmember.c:58;MOV	$0x942580,%R12D;
0x43f223;/usr/local/src/conda/python-3.12.0/Python/structmember.c:58;JMP	54b610 <member_get+0x70>;
0x43f228;/usr/local/src/conda/python-3.12.0/Python/structmember.c:33;MOVZX	(%RDI),%EDI;
0x43f22b;/usr/local/src/conda/python-3.12.0/Objects/descrobject.c:191;POP	%RBX;
0x43f22c;:0;POP	%RBP;
0x43f22d;/usr/local/src/conda/python-3.12.0/Objects/descrobject.c:191;POP	%R12;
0x43f22f;/usr/local/src/conda/python-3.12.0/Python/structmember.c:33;JMP	5103a0 <PyLong_FromUnsignedLong>;
0x43f234;/usr/local/src/conda/python-3.12.0/Python/structmember.c:27;MOVZX	(%RDI),%EDI;
0x43f237;/usr/local/src/conda/python-3.12.0/Objects/descrobject.c:191;POP	%RBX;
0x43f238;:0;POP	%RBP;
0x43f239;/usr/local/src/conda/python-3.12.0/Objects/descrobject.c:191;POP	%R12;
0x43f23b;/usr/local/src/conda/python-3.12.0/Python/structmember.c:27;JMP	5103a0 <PyLong_FromUnsignedLong>;
0x43f240;/usr/local/src/conda/python-3.12.0/Python/structmember.c:30;MOVSX	(%RDI),%RDI;
0x43f244;/usr/local/src/conda/python-3.12.0/Objects/descrobject.c:191;POP	%RBX;
0x43f245;:0;POP	%RBP;
0x43f246;/usr/local/src/conda/python-3.12.0/Objects/descrobject.c:191;POP	%R12;
0x43f248;/usr/local/src/conda/python-3.12.0/Python/structmember.c:30;JMP	5119e0 <PyLong_FromLong>;
0x43f24d;/usr/local/src/conda/python-3.12.0/Python/structmember.c:96;MOV	0x50cae4(%RIP),%RDI;
0x43f254;/usr/local/src/conda/python-3.12.0/Python/structmember.c:96;MOV	$0x687728,%ESI;
0x43f259;/usr/local/src/conda/python-3.12.0/Python/structmember.c:97;XOR	%R12D,%R12D;
0x43f25c;/usr/local/src/conda/python-3.12.0/Python/structmember.c:96;CALL	59a420 <PyErr_SetString>;
0x43f261;/usr/local/src/conda/python-3.12.0/Python/structmember.c:97;JMP	54b610 <member_get+0x70>;
0x43f266;/usr/local/src/conda/python-3.12.0/Objects/descrobject.c:191;POP	%RBX;
0x43f267;/usr/local/src/conda/python-3.12.0/Python/structmember.c:67;MOV	$0x1,%ESI;
0x43f26c;/usr/local/src/conda/python-3.12.0/Objects/descrobject.c:191;POP	%RBP;
0x43f26d;/usr/local/src/conda/python-3.12.0/Objects/descrobject.c:191;POP	%R12;
0x43f26f;/usr/local/src/conda/python-3.12.0/Python/structmember.c:67;JMP	511270 <PyUnicode_FromStringAndSize>;
0x43f274;/usr/local/src/conda/python-3.12.0/Python/structmember.c:90;MOV	(%RDI),%RDI;
0x43f277;/usr/local/src/conda/python-3.12.0/Objects/descrobject.c:191;POP	%RBX;
0x43f278;:0;POP	%RBP;
0x43f279;/usr/local/src/conda/python-3.12.0/Objects/descrobject.c:191;POP	%R12;
0x43f27b;/usr/local/src/conda/python-3.12.0/Python/structmember.c:90;JMP	591d40 <PyLong_FromUnsignedLongLong>;
0x43f280;/usr/local/src/conda/python-3.12.0/Objects/descrobject.c:191;POP	%RBX;
0x43f281;/usr/local/src/conda/python-3.12.0/Python/structmember.c:51;PXOR	%XMM0,%XMM0;
0x43f285;/usr/local/src/conda/python-3.12.0/Objects/descrobject.c:191;POP	%RBP;
0x43f286;/usr/local/src/conda/python-3.12.0/Objects/descrobject.c:191;POP	%R12;
0x43f288;/usr/local/src/conda/python-3.12.0/Python/structmember.c:51;CVTSS2SD	(%RDI),%XMM0;
0x43f28c;:0;JMP	514a60 <PyFloat_FromDouble>;
0x43f291;/usr/local/src/conda/python-3.12.0/Include/object.h:382;CMP	$0x93faa0,%RAX;
0x43f297;:0;JE	54b5c4 <member_get+0x24>;
0x43f29d;:0;JMP	54b6a9 <member_get+0x109>;
