address;source_location;insn;indent
0x63ed6b2;:0;CMPB	$0,0x13c14af(%RIP);
0x63ed850;:0;MOV	%ECX,0x8(%R15);
0x63ed854;:0;CMP	$0x1,%EAX;
0x63ed857;:0;JNE	63ed897 <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x5a7>;
0x63ed859;:0;MOV	(%R15),%RAX;
0x63ed85c;:0;MOV	%R15,%RDI;
0x63ed85f;:0;CALLQ	0x10(%RAX);
0x63ed862;:0;CMPQ	$0,0x13224f6(%RIP);
0x63ed86a;:0;JE	63ed87e <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x58e>;
0x63ed86c;:0;MOV	$-0x1,%EAX;
0x63ed871;:0;LOCK XADD	%EAX,0xc(%R15);
0x63ed877;:0;CMP	$0x1,%EAX;
0x63ed87a;:0;JE	63ed88e <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x59e>;
0x63ed87c;:0;JMP	63ed897 <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x5a7>;
0x63ed87e;:0;MOV	0xc(%R15),%EAX;
0x63ed882;:0;LEA	-0x1(%RAX),%ECX;
0x63ed885;:0;MOV	%ECX,0xc(%R15);
0x63ed889;:0;CMP	$0x1,%EAX;
0x63ed88c;:0;JNE	63ed897 <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x5a7>;
0x63ed88e;:0;MOV	(%R15),%RAX;
0x63ed891;:0;MOV	%R15,%RDI;
0x63ed894;:0;CALLQ	0x18(%RAX);
0x63ed897;:0;VMOVAPS	-0x260(%RBP),%XMM0;
0x63ed89f;:0;VXORPS	%XMM1,%XMM1,%XMM1;
0x63ed8a3;:0;VMOVAPS	%XMM1,-0x260(%RBP);
0x63ed8ab;:0;MOV	0x8(%R13),%R15;
0x63ed8af;:0;VMOVUPS	%XMM0,(%R13);
0x63ed8b5;:0;TEST	%R15,%R15;
0x63ed8b8;:0;JE	63ed924 <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x634>;
0x63ed8ba;:0;CMPQ	$0,0x132249e(%RIP);
0x63ed8c2;:0;JE	63ed8d6 <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x5e6>;
0x63ed8c4;:0;MOV	$-0x1,%EAX;
0x63ed8c9;:0;LOCK XADD	%EAX,0x8(%R15);
0x63ed8cf;:0;CMP	$0x1,%EAX;
0x63ed8d2;:0;JE	63ed8e6 <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x5f6>;
0x63ed8d4;:0;JMP	63ed924 <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x634>;
0x63ed8d6;:0;MOV	0x8(%R15),%EAX;
0x63ed8da;:0;LEA	-0x1(%RAX),%ECX;
0x63ed8dd;:0;MOV	%ECX,0x8(%R15);
0x63ed8e1;:0;CMP	$0x1,%EAX;
0x63ed8e4;:0;JNE	63ed924 <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x634>;
0x63ed8e6;:0;MOV	(%R15),%RAX;
0x63ed8e9;:0;MOV	%R15,%RDI;
0x63ed8ec;:0;CALLQ	0x10(%RAX);
0x63ed8ef;:0;CMPQ	$0,0x1322469(%RIP);
0x63ed8f7;:0;JE	63ed90b <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x61b>;
0x63ed8f9;:0;MOV	$-0x1,%EAX;
0x63ed8fe;:0;LOCK XADD	%EAX,0xc(%R15);
0x63ed904;:0;CMP	$0x1,%EAX;
0x63ed907;:0;JE	63ed91b <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x62b>;
0x63ed909;:0;JMP	63ed924 <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x634>;
0x63ed90b;:0;MOV	0xc(%R15),%EAX;
0x63ed90f;:0;LEA	-0x1(%RAX),%ECX;
0x63ed912;:0;MOV	%ECX,0xc(%R15);
0x63ed916;:0;CMP	$0x1,%EAX;
0x63ed919;:0;JNE	63ed924 <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x634>;
0x63ed91b;:0;MOV	(%R15),%RAX;
0x63ed91e;:0;MOV	%R15,%RDI;
0x63ed921;:0;CALLQ	0x18(%RAX);
0x63ed924;:0;MOV	-0x258(%RBP),%RBX;
0x63ed92b;:0;TEST	%RBX,%RBX;
0x63ed92e;:0;JE	63ed994 <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x6a4>;
0x63ed930;:0;CMPQ	$0,0x1322428(%RIP);
0x63ed938;:0;JE	63ed94b <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x65b>;
0x63ed93a;:0;MOV	$-0x1,%EAX;
0x63ed93f;:0;LOCK XADD	%EAX,0x8(%RBX);
0x63ed944;:0;CMP	$0x1,%EAX;
0x63ed947;:0;JE	63ed959 <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x669>;
0x63ed949;:0;JMP	63ed994 <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x6a4>;
0x63ed94b;:0;MOV	0x8(%RBX),%EAX;
0x63ed94e;:0;LEA	-0x1(%RAX),%ECX;
0x63ed951;:0;MOV	%ECX,0x8(%RBX);
0x63ed954;:0;CMP	$0x1,%EAX;
0x63ed957;:0;JNE	63ed994 <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x6a4>;
0x63ed959;:0;MOV	(%RBX),%RAX;
0x63ed95c;:0;MOV	%RBX,%RDI;
0x63ed95f;:0;CALLQ	0x10(%RAX);
0x63ed962;:0;CMPQ	$0,0x13223f6(%RIP);
0x63ed96a;:0;JE	63ed97d <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x68d>;
0x63ed96c;:0;MOV	$-0x1,%EAX;
0x63ed971;:0;LOCK XADD	%EAX,0xc(%RBX);
0x63ed976;:0;CMP	$0x1,%EAX;
0x63ed979;:0;JE	63ed98b <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x69b>;
0x63ed97b;:0;JMP	63ed994 <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x6a4>;
0x63ed97d;:0;MOV	0xc(%RBX),%EAX;
0x63ed980;:0;LEA	-0x1(%RAX),%ECX;
0x63ed983;:0;MOV	%ECX,0xc(%RBX);
0x63ed986;:0;CMP	$0x1,%EAX;
0x63ed989;:0;JNE	63ed994 <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x6a4>;
0x63ed98b;:0;MOV	(%RBX),%RAX;
0x63ed98e;:0;MOV	%RBX,%RDI;
0x63ed991;:0;CALLQ	0x18(%RAX);
0x63ed994;:0;MOV	-0x280(%RBP),%RDI;
0x63ed99b;:0;CALL	76326d0 <_ZN3tsl5mutex6unlockEv@plt>;
0x63ed9a0;:0;MOV	-0x50(%RBP),%RDI;
0x63ed9a4;:0;CMP	%R14,%RDI;
0x63ed9a7;:0;JE	63ed9ae <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x6be>;
0x63ed9a9;:0;CALL	7632540 <_ZdlPv@plt>;
0x63ed9ae;:0;MOV	%FS:0x28,%RAX;
0x63ed9b7;:0;CMP	-0x30(%RBP),%RAX;
0x63ed9bb;:0;JNE	63edab6 <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x7c6>;
0x63ed9d3;:0;LEA	-0x5a37814(%RIP),%RSI;
0x63ed9da;:0;LEA	-0x210(%RBP),%RBX;
0x63ed9e1;:0;MOV	%RBX,%RDI;
0x63ed9e4;:0;MOV	$0x90a,%EDX;
0x63ed9e9;:0;XOR	%ECX,%ECX;
0x63ed9eb;:0;CALL	7632c00 <_ZN3tsl8internal10LogMessageC1EPKcii@plt>;
0x63ed9f0;:0;LEA	-0x59bc2fa(%RIP),%RSI;
0x63ed9f7;:0;MOV	$0x7,%EDX;
0x63ed9fc;:0;MOV	%RBX,%RDI;
0x63ed9ff;:0;CALL	7632a30 <_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l@plt>;
0x63eda04;:0;MOV	-0x260(%RBP),%RSI;
0x63eda0b;:0;LEA	-0x230(%RBP),%RDI;
0x63eda12;:0;CALL	7645790 <_ZNK10tensorflow4data5model4Node9long_nameB5cxx11Ev@plt>;
0x63eda17;:0;MOV	-0x230(%RBP),%RSI;
0x63eda1e;:0;MOV	-0x228(%RBP),%RDX;
0x63eda25;:0;MOV	%RBX,%RDI;
0x63eda28;:0;CALL	7632a30 <_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l@plt>;
0x63eda2d;:0;MOV	%RAX,%RBX;
0x63eda30;:0;LEA	-0x5a3784e(%RIP),%RSI;
0x63eda37;:0;MOV	$0xe,%EDX;
0x63eda3c;:0;MOV	%RAX,%RDI;
0x63eda3f;:0;CALL	7632a30 <_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l@plt>;
0x63eda44;:0;MOV	-0x270(%RBP),%RAX;
0x63eda4b;:0;MOV	(%RAX),%RSI;
0x63eda4e;:0;LEA	-0x250(%RBP),%RDI;
0x63eda55;:0;CALL	7645790 <_ZNK10tensorflow4data5model4Node9long_nameB5cxx11Ev@plt>;
0x63eda5a;:0;MOV	-0x250(%RBP),%RSI;
0x63eda61;:0;MOV	-0x248(%RBP),%RDX;
0x63eda68;:0;MOV	%RBX,%RDI;
0x63eda6b;:0;CALL	7632a30 <_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l@plt>;
0x63eda70;:0;MOV	-0x250(%RBP),%RDI;
0x63eda77;:0;LEA	-0x240(%RBP),%RAX;
0x63eda7e;:0;CMP	%RAX,%RDI;
0x63eda81;:0;JE	63eda88 <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x798>;
0x63eda83;:0;CALL	7632540 <_ZdlPv@plt>;
0x63eda88;:0;MOV	-0x230(%RBP),%RDI;
0x63eda8f;:0;LEA	-0x220(%RBP),%RAX;
0x63eda96;:0;CMP	%RAX,%RDI;
0x63eda99;:0;JE	63edaa0 <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x7b0>;
0x63eda9b;:0;CALL	7632540 <_ZdlPv@plt>;
0x63edaa0;:0;LEA	-0x210(%RBP),%RDI;
0x63edaa7;:0;CALL	7632c10 <_ZN3tsl8internal10LogMessageD1Ev@plt>;
0x63edaac;:0;JMP	63ed6bf <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x3cf>;
0x63edab6;:0;CALL	7632560 <__stack_chk_fail@plt>;
0x63edabb;:0;LEA	0x13c10ae(%RIP),%RDI;
0x63edac2;:0;CALL	7632c20 <__cxa_guard_acquire@plt>;
0x63edac7;:0;TEST	%EAX,%EAX;
0x63edac9;:0;JE	63ed6b2 <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x3c2>;
0x63edacf;:0;LEA	-0x5a37910(%RIP),%RDI;
0x63edad6;:0;MOV	$0x3,%ESI;
0x63edadb;:0;CALL	7632c30 <_ZN3tsl8internal10LogMessage16VmoduleActivatedEPKci@plt>;
0x63edae0;:0;MOV	%AL,0x13c1082(%RIP);
0x63edae6;:0;LEA	0x13c1083(%RIP),%RDI;
0x63edaed;:0;CALL	7632c40 <__cxa_guard_release@plt>;
0x63edaf2;:0;JMP	63ed6b2 <_ZN10tensorflow4data5model5Model7AddNodeESt8functionIFSt10shared_ptrINS1_4NodeEENS5_4ArgsEEERKNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEES6_PS6_+0x3c2>;
