address;source_location;insn;indent
0x665e5d0;:0;MOV	(%RDI),%RAX;
0x665e6b7;:0;IMUL	%R8,%RDX;
0x665e6bb;:0;XOR	%RBX,%RDX;
0x665e6be;:0;LEA	-0x61c88647(%RCX),%EBX;
0x665e6c4;:0;SHR	$0x20,%RDX;
0x665e6c8;:0;XOR	%RBX,%RDX;
0x665e6cb;:0;MOV	%RDX,%RBX;
0x665e6ce;:0;IMUL	%RDI,%RBX;
0x665e6d2;:0;XOR	%R14,%RBX;
0x665e6d5;:0;LEA	0x76cf5d0a(%RSI),%R14D;
0x665e6dc;:0;SHR	$0x20,%RBX;
0x665e6e0;:0;XOR	%R14,%RBX;
0x665e6e3;:0;MOV	%RBX,%R14;
0x665e6e6;:0;IMUL	%R8,%R14;
0x665e6ea;:0;XOR	%R11,%R14;
0x665e6ed;:0;LEA	-0x255992d5(%RCX),%R11D;
0x665e6f4;:0;SHR	$0x20,%R14;
0x665e6f8;:0;XOR	%R11,%R14;
0x665e6fb;:0;MOV	%R14,%R11;
0x665e6fe;:0;IMUL	%RDI,%R11;
0x665e702;:0;XOR	%R15,%R11;
0x665e705;:0;LEA	-0x126145ec(%RSI),%R15D;
0x665e70c;:0;SHR	$0x20,%R11;
0x665e710;:0;XOR	%R15,%R11;
0x665e713;:0;MOV	%R11,%R15;
0x665e716;:0;IMUL	%R10,%R15;
0x665e71a;:0;IMUL	%R9,%R14;
0x665e71e;:0;IMUL	%R10,%RBX;
0x665e722;:0;IMUL	%R9,%RDX;
0x665e726;:0;IMUL	%RDI,%RAX;
0x665e72a;:0;XOR	%RDX,%RAX;
0x665e72d;:0;LEA	0x32370b8f(%RSI),%EDX;
0x665e733;:0;SHR	$0x20,%RAX;
0x665e737;:0;XOR	%RDX,%RAX;
0x665e73a;:0;MOV	%RAX,%R12;
0x665e73d;:0;IMUL	%R8,%R12;
0x665e741;:0;XOR	%RBX,%R12;
0x665e744;:0;LEA	0x78dde6e4(%RCX),%EDX;
0x665e74a;:0;SHR	$0x20,%R12;
0x665e74e;:0;XOR	%RDX,%R12;
0x665e751;:0;MOV	%R12,%R13;
0x665e754;:0;IMUL	%RDI,%R13;
0x665e758;:0;XOR	%R14,%R13;
0x665e75b;:0;LEA	-0x56f99767(%RSI),%EDX;
0x665e761;:0;SHR	$0x20,%R13;
0x665e765;:0;XOR	%RDX,%R13;
0x665e768;:0;MOV	%R13,%RDX;
0x665e76b;:0;IMUL	%R8,%RDX;
0x665e76f;:0;XOR	%R15,%RDX;
0x665e772;:0;LEA	-0x4ab325aa(%RCX),%EBX;
0x665e778;:0;SHR	$0x20,%RDX;
0x665e77c;:0;XOR	%RBX,%RDX;
0x665e77f;:0;MOV	%RDX,%R14;
0x665e782;:0;IMUL	%R9,%R14;
0x665e786;:0;IMUL	%R10,%R13;
0x665e78a;:0;IMUL	%R9,%R12;
0x665e78e;:0;IMUL	%R10,%RAX;
0x665e792;:0;IMUL	%R8,%R11;
0x665e796;:0;XOR	%RAX,%R11;
0x665e799;:0;LEA	0x1715609d(%RCX),%EAX;
0x665e79f;:0;SHR	$0x20,%R11;
0x665e7a3;:0;XOR	%RAX,%R11;
0x665e7a6;:0;MOV	%R11,%R15;
0x665e7a9;:0;IMUL	%RDI,%R15;
0x665e7ad;:0;XOR	%R12,%R15;
0x665e7b0;:0;LEA	0x646e171e(%RSI),%EAX;
0x665e7b6;:0;SHR	$0x20,%R15;
0x665e7ba;:0;XOR	%RAX,%R15;
0x665e7bd;:0;MOV	%R15,%RBX;
0x665e7c0;:0;IMUL	%R8,%RBX;
0x665e7c4;:0;XOR	%R13,%RBX;
0x665e7c7;:0;LEA	0x5384540f(%RCX),%EAX;
0x665e7cd;:0;SHR	$0x20,%RBX;
0x665e7d1;:0;XOR	%RAX,%RBX;
0x665e7d4;:0;MOV	%RBX,%RAX;
0x665e7d7;:0;IMUL	%RDI,%RAX;
0x665e7db;:0;XOR	%R14,%RAX;
0x665e7de;:0;LEA	-0x24c28bd8(%RSI),%R14D;
0x665e7e5;:0;SHR	$0x20,%RAX;
0x665e7e9;:0;XOR	%R14,%RAX;
0x665e7ec;:0;MOV	%RAX,%R14;
0x665e7ef;:0;IMUL	%R9,%R11;
0x665e7f3;:0;IMUL	%RDI,%RDX;
0x665e7f7;:0;XOR	%R11,%RDX;
0x665e7fa;:0;LEA	0x1fd5c5a3(%RSI),%R11D;
0x665e801;:0;SHR	$0x20,%RDX;
0x665e805;:0;XOR	%R11,%RDX;
0x665e808;:0;MOV	%RDX,%R11;
0x665e80b;:0;IMUL	%R10,%R11;
0x665e80f;:0;IMUL	%R8,%RAX;
0x665e813;:0;XOR	%R11,%RAX;
0x665e816;:0;IMUL	%R10,%R14;
0x665e81a;:0;IMUL	%R10,%R15;
0x665e81e;:0;IMUL	%R8,%RDX;
0x665e822;:0;XOR	%R15,%RDX;
0x665e825;:0;LEA	-0xe443238(%RCX),%R8D;
0x665e82c;:0;SHR	$0x20,%RDX;
0x665e830;:0;XOR	%R8,%RDX;
0x665e833;:0;MOV	%RDX,%R8;
0x665e836;:0;IMUL	%R9,%R8;
0x665e83a;:0;IMUL	%R9,%RBX;
0x665e83e;:0;IMUL	%RDI,%RDX;
0x665e842;:0;XOR	%RBX,%RDX;
0x665e845;:0;ADD	$-0x695add53,%ESI;
0x665e84b;:0;SHR	$0x20,%RDX;
0x665e84f;:0;XOR	%RSI,%RDX;
0x665e852;:0;OR	%R8,%RDX;
0x665e855;:0;ADD	$-0x700cb87f,%ECX;
0x665e85b;:0;SHR	$0x20,%RAX;
0x665e85f;:0;XOR	%RCX,%RAX;
0x665e862;:0;OR	%R14,%RAX;
0x665e865;:0;POP	%RBX;
0x665e866;:0;POP	%R12;
0x665e868;:0;POP	%R13;
0x665e86a;:0;POP	%R14;
0x665e86c;:0;POP	%R15;
0x665e86e;:0;POP	%RBP;
0x665e86f;:0;RET;
