address;source_location;insn;indent
0x62db470;:0;MOV	%FS:0x28,%RAX;
0x62db5d0;:0;JE	62db470 <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE8NodeDoneERKN4absl12lts_202308026StatusEPNS5_13InlinedVectorINS2_10TaggedNodeELm8ESaISA_EEEPNS_22NodeExecStatsInterfaceEPNS2_20TaggedNodeReadyQueueE+0xa0>;
0x62db5d6;:0;CALL	7632530 <_ZN4absl12lts_202308026Status15UnrefNonInlinedEm@plt>;
0x62db5db;:0;JMP	62db470 <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE8NodeDoneERKN4absl12lts_202308026StatusEPNS5_13InlinedVectorINS2_10TaggedNodeELm8ESaISA_EEEPNS_22NodeExecStatsInterfaceEPNS2_20TaggedNodeReadyQueueE+0xa0>;
0x62db5e0;:0;CALL	7632560 <__stack_chk_fail@plt>;
0x62db5e5;:0;LEA	-0x590b98c(%RIP),%RSI;
0x62db5ec;:0;LEA	-0x1b8(%RBP),%R15;
0x62db5f3;:0;MOV	%R15,%RDI;
0x62db5f6;:0;MOV	$0x4dd,%EDX;
0x62db5fb;:0;XOR	%ECX,%ECX;
0x62db5fd;:0;CALL	7632c00 <_ZN3tsl8internal10LogMessageC1EPKcii@plt>;
0x62db602;:0;LEA	-0x591291f(%RIP),%RSI;
0x62db609;:0;MOV	$0x1,%EDX;
0x62db60e;:0;MOV	%R15,%RDI;
0x62db611;:0;CALL	7632a30 <_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l@plt>;
0x62db616;:0;MOV	0xb8(%RBX),%RAX;
0x62db61d;:0;MOV	(%RAX),%RDI;
0x62db620;:0;MOV	(%RDI),%RAX;
0x62db623;:0;CALLQ	0x80(%RAX);
0x62db629;:0;MOV	(%RAX),%RSI;
0x62db62c;:0;MOV	0x8(%RAX),%RDX;
0x62db630;:0;MOV	%R15,%RDI;
0x62db633;:0;CALL	7632a30 <_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l@plt>;
0x62db638;:0;MOV	%RAX,%R12;
0x62db63b;:0;LEA	-0x5905304(%RIP),%RSI;
0x62db642;:0;MOV	$0x1b,%EDX;
0x62db647;:0;MOV	%RAX,%RDI;
0x62db64a;:0;CALL	7632a30 <_ZSt16__ostream_insertIcSt11char_traitsIcEERSt13basic_ostreamIT_T0_ES6_PKS3_l@plt>;
0x62db64f;:0;MOV	%R12,%RDI;
0x62db652;:0;MOV	%R14,%RSI;
0x62db655;:0;CALL	7634190 <_ZN4absl12lts_20230802lsERSoRKNS0_6StatusE@plt>;
0x62db65a;:0;MOV	%R15,%RDI;
0x62db65d;:0;CALL	7632c10 <_ZN3tsl8internal10LogMessageD1Ev@plt>;
0x62db662;:0;JMP	62db57c <_ZN10tensorflow12_GLOBAL__N_113ExecutorStateINS_21SimplePropagatorStateEE8NodeDoneERKN4absl12lts_202308026StatusEPNS5_13InlinedVectorINS2_10TaggedNodeELm8ESaISA_EEEPNS_22NodeExecStatsInterfaceEPNS2_20TaggedNodeReadyQueueE+0x1ac>;
